accession	taxid	description	kingdom	phylum	class	domain	contig
JQ627435.1	171245	Uncultured Chlorophyta clone B1_7_1E_107 small subunit ribosomal RNA gene, partial sequence	Viridiplantae	Chlorophyta	NA	Eukaryota	ptg000002l
EU123942.1	160068	Trebouxia aggregata strain SAG 219-1d 18S ribosomal RNA gene, partial sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000002l
JN003187.1	100272	Uncultured eukaryote clone Euk41 18S ribosomal RNA gene, partial sequence	NA	NA	NA	Eukaryota	ptg000002l
JN003179.1	100272	Uncultured eukaryote clone Euk29 18S ribosomal RNA gene, partial sequence	NA	NA	NA	Eukaryota	ptg000002l
JN003171.1	100272	Uncultured eukaryote clone Euk19 18S ribosomal RNA gene, partial sequence	NA	NA	NA	Eukaryota	ptg000002l
JN003170.1	100272	Uncultured eukaryote clone Euk15 18S ribosomal RNA gene, partial sequence	NA	NA	NA	Eukaryota	ptg000002l
EU087910.1	479544	Monophlebulus sp. CMU-2007 histone H3 gene, partial cds	Metazoa	Arthropoda	Insecta	Eukaryota	ptg000003l
EU087910.1	479544	Monophlebulus sp. CMU-2007 histone H3 gene, partial cds	Metazoa	Arthropoda	Insecta	Eukaryota	ptg000008l
EU087910.1	479544	Monophlebulus sp. CMU-2007 histone H3 gene, partial cds	Metazoa	Arthropoda	Insecta	Eukaryota	ptg000020l
XM_005846437.1	554065	Chlorella variabilis hypothetical protein (CHLNCDRAFT_56219) mRNA, complete cds	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000003l
XM_005648121.1	574566	Coccomyxa subellipsoidea C-169 histone H3 partial mRNA	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000003l
XM_005645617.1	574566	Coccomyxa subellipsoidea C-169 EMP/nonaspanin domain family protein partial mRNA	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000003l
BK014551.1	1917417	TPA_exp: Trebouxia sp. TZW2008 telomerase RNA gene, complete sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000003l
AP025001.1	2315456	Coccomyxa sp. Obi DNA, chromosome 14, complete sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000003l
AP025001.1	2315456	Coccomyxa sp. Obi DNA, chromosome 14, complete sequence	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000008l
BT080819.1	344056	Caligus clemensi clone ccle-evs-503-037 Histone H3 putative mRNA, complete cds	Metazoa	Arthropoda	Hexanauplia	Eukaryota	ptg000003l
OW028584.1	880429	Alitta virens genome assembly, chromosome: 12	Metazoa	Annelida	Polychaeta	Eukaryota	ptg000003l
XM_042631674.1	60698	PREDICTED: Macadamia integrifolia histone H3 (LOC122067829), mRNA	Viridiplantae	Streptophyta	Magnoliopsida	Eukaryota	ptg000003l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000004l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000021l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000022l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000024l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000026l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000027l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000028l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000030l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000031l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000032l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000033l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000035l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000036l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000038l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000039l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000040l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000044l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000045l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000046l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000047l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000049l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000051l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000052l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000053l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000055l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000056l
EU123946.1	160068	Trebouxia aggregata strain SAG 219-1d NADH dehydrogenase subunit 4L (nad4L), NADH dehydrogenase subunit 6 (nad6), ATP synthase F0 subunit beta (atp4), cytochrome c oxidase subunit 3 (cox3), cytochrome c oxidase subunit 2 (cox2), and ATP synthase F0 subunit 8 (atp8) genes, complete cds; tRNA-Tyr (trnY(gua)) gene, complete sequence; ribosomal protein L16 (rpl16) gene, complete cds; tRNA-Val (trnV(uac)) and tRNA-Ser (trnS(uga)) genes, complete sequence; ribosomal protein S11 (rps11) and SecY-independant transporter protein (mttB) genes, complete cds; and tRNA-Leu (trnL(caa)) gene, complete sequence; mitochondrial	Viridiplantae	Chlorophyta	Trebouxiophyceae	Eukaryota	ptg000057l
