contigName	contigLen	totalAvgDepth	GTX0536.bam	GTX0536.bam-var
ptg000161l	18694	163.096	163.096	30389.9
ptg000162l	15896	58.4725	58.4725	570.838
ptg000163l	13629	13.8285	13.8285	134.399
ptg000164l	14684	123.899	123.899	3155.69
ptg000165l	12358	84.0594	84.0594	1317.06
ptg000166l	15391	50.6635	50.6635	533.664
ptg000167l	12838	114.176	114.176	2427.7
ptg000168l	13994	58.9028	58.9028	604.312
ptg000169l	13062	81.733	81.733	2423.87
ptg000170l	13744	76.3529	76.3529	1478.82
ptg000171l	14499	114.834	114.834	3863.07
ptg000172l	13978	72.8687	72.8687	1211.84
ptg000173l	11637	84.8091	84.8091	1802.2
ptg000174l	12793	67.5358	67.5358	504.348
