,T. sp. A48,T. SL0000003,descriptions
IPR036291,248,221,NAD(P)-binding domain superfamily
IPR000571,38,24,"Zinc finger, CCCH-type"
IPR009244,1,0,"Mediator complex, subunit Med7"
IPR037212,1,0,"Mediator complex, subunit Med7/Med21-like"
IPR044888,1,0,"Mediator complex, subunit Med7 superfmaily"
IPR000742,10,9,EGF-like domain
IPR000884,6,4,Thrombospondin type-1 (TSP1) repeat
IPR002049,4,1,Laminin-type EGF domain
IPR013273,1,0,ADAMTS/ADAMTS-like
IPR036383,6,4,Thrombospondin type-1 (TSP1) repeat superfamily
IPR019410,17,12,Lysine methyltransferase
IPR029063,198,153,S-adenosyl-L-methionine-dependent methyltransferase superfamily
IPR001126,8,8,UmuC domain
IPR017961,5,6,"DNA polymerase, Y-family, little finger domain"
IPR022880,2,2,DNA polymerase IV
IPR036775,7,6,"DNA polymerase, Y-family, little finger domain superfamily"
IPR041298,1,1,"DNA polymerase eta, ubiquitin-binding zinc finger"
IPR043128,19,8,Reverse transcriptase/Diguanylate cyclase domain
IPR043502,37,16,DNA/RNA polymerase superfamily
IPR002871,1,1,"NIF system FeS cluster assembly, NifU, N-terminal"
IPR011339,1,1,Iron-sulfur cluster assembly scaffold protein IscU
IPR000023,2,2,Phosphofructokinase domain
IPR022953,2,2,ATP-dependent 6-phosphofructokinase
IPR035966,2,2,Phosphofructokinase superfamily
IPR006814,1,0,Photosystem II PsbR
IPR001005,39,23,SANT/Myb domain
IPR009057,56,39,Homeobox-like domain superfamily
IPR017884,13,11,SANT domain
IPR017930,30,22,Myb domain
IPR004827,40,28,Basic-leucine zipper domain
IPR012675,20,11,Beta-grasp domain superfamily
IPR015221,1,0,Ubiquitin-related modifier 1
IPR016155,1,0,"Molybdopterin synthase/thiamin biosynthesis sulphur carrier, beta-grasp"
IPR003035,6,7,RWP-RK domain
IPR044607,4,3,Transcription factor RKD-like
IPR001830,3,2,"Glycosyl transferase, family 20"
IPR003337,4,3,Trehalose-phosphatase
IPR023214,108,81,HAD superfamily
IPR036412,107,80,HAD-like superfamily
IPR006843,10,9,Plastid lipid-associated protein/fibrillin conserved domain
IPR039633,10,7,Plastid-lipid-associated protein
IPR011989,177,140,Armadillo-like helical
IPR016024,252,181,Armadillo-type fold
IPR028939,5,5,"Pyrroline-5-carboxylate reductase, catalytic, N-terminal"
IPR003439,68,62,"ABC transporter-like, ATP-binding domain"
IPR003593,188,146,AAA+ ATPase domain
IPR015856,2,2,"ABC transporter, CbiO/EcfA subunit"
IPR002347,91,78,Short-chain dehydrogenase/reductase SDR
IPR000595,31,29,Cyclic nucleotide-binding domain
IPR003938,4,4,"Potassium channel, voltage-dependent, EAG/ELK/ERG"
IPR005821,11,11,Ion transport domain
IPR014710,59,53,RmlC-like jelly roll fold
IPR018490,32,30,Cyclic nucleotide-binding domain superfamily
IPR024741,2,1,Condensin-2 complex subunit G2
IPR002562,18,14,3'-5' exonuclease domain
IPR012337,96,38,Ribonuclease H-like superfamily
IPR029491,2,1,Helicase Helix-turn-helix domain
IPR036397,74,38,Ribonuclease H superfamily
IPR001478,16,13,PDZ domain
IPR004447,6,5,C-terminal-processing peptidase S41A
IPR005151,6,5,Tail specific protease
IPR029045,27,26,ClpP/crotonase-like domain superfamily
IPR036034,21,17,PDZ superfamily
IPR002641,7,8,Patatin-like phospholipase domain
IPR016035,11,11,Acyl transferase/acyl hydrolase/lysophospholipase
IPR025344,2,2,"ARC6, IMS domain"
IPR044685,2,2,Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 6-like
IPR025799,9,8,Protein arginine N-methyltransferase
IPR030465,1,1,Centrosomal protein of 131kDa
IPR002067,18,17,Mitochondrial carrier protein
IPR018108,44,35,Mitochondrial substrate/solute carrier
IPR023395,44,35,Mitochondrial carrier domain superfamily
IPR001965,38,23,"Zinc finger, PHD-type"
IPR011011,44,26,"Zinc finger, FYVE/PHD-type"
IPR013083,216,114,"Zinc finger, RING/FYVE/PHD-type"
IPR019786,31,15,"Zinc finger, PHD-type, conserved site"
IPR019787,30,18,"Zinc finger, PHD-finger"
IPR026741,4,6,Protein strawberry notch
IPR026937,4,5,"Strawberry notch, helicase C domain"
IPR039187,4,4,"Strawberry notch, AAA domain"
IPR001680,208,142,WD40 repeat
IPR015943,254,177,WD40/YVTN repeat-like-containing domain superfamily
IPR017383,2,1,Actin-related protein 2/3 complex subunit 1
IPR036322,226,152,WD40-repeat-containing domain superfamily
IPR009071,14,13,High mobility group box domain
IPR036910,14,15,High mobility group box domain superfamily
IPR014867,2,2,Spore coat protein CotH/Invasin CotH2/3/7
IPR002110,87,66,Ankyrin repeat
IPR036770,95,73,Ankyrin repeat-containing domain superfamily
IPR001789,13,8,"Signal transduction response regulator, receiver domain"
IPR003594,14,10,Histidine kinase/HSP90-like ATPase
IPR003661,5,3,"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain"
IPR004358,7,3,"Signal transduction histidine kinase-related protein, C-terminal"
IPR005467,8,5,Histidine kinase domain
IPR011006,13,8,CheY-like superfamily
IPR036097,5,3,"Signal transduction histidine kinase, dimerisation/phosphoacceptor domain superfamily"
IPR036890,27,18,Histidine kinase/HSP90-like ATPase superfamily
IPR001917,2,1,"Aminotransferase, class-II, pyridoxal-phosphate binding site"
IPR004839,19,17,"Aminotransferase, class I/classII"
IPR015421,61,50,"Pyridoxal phosphate-dependent transferase, major domain"
IPR015422,45,38,"Pyridoxal phosphate-dependent transferase, small domain"
IPR015424,61,50,Pyridoxal phosphate-dependent transferase
IPR004472,1,0,Dethiobiotin synthase BioD
IPR005814,10,6,Aminotransferase class-III
IPR000086,19,14,NUDIX hydrolase domain
IPR015797,24,16,NUDIX hydrolase-like domain superfamily
IPR020084,10,5,"NUDIX hydrolase, conserved site"
IPR022927,1,0,RNA pyrophosphohydrolase RppH
IPR002684,1,1,Biotin synthase/Biotin biosynthesis bifunctional protein BioAB
IPR006638,6,7,"Elp3/MiaA/NifB-like, radical SAM core domain"
IPR007197,13,12,Radical SAM
IPR010722,1,1,Biotin and thiamin synthesis-associated domain
IPR013785,65,57,Aldolase-type TIM barrel
IPR024177,1,1,Biotin synthase
IPR007052,14,8,CS domain
IPR008978,23,15,HSP20-like chaperone
IPR000210,31,28,BTB/POZ domain
IPR000225,32,28,Armadillo
IPR011333,51,38,SKP1/BTB/POZ domain superfamily
IPR044282,1,1,Armadillo repeat protein ABAP1/ARIA
IPR000504,118,90,RNA recognition motif domain
IPR012677,129,99,Nucleotide-binding alpha-beta plait domain superfamily
IPR017334,1,1,Eukaryotic translation initiation factor 3 subunit G
IPR024675,1,1,"Eukaryotic translation initiation factor 3 subunit G, N-terminal"
IPR034240,1,1,"eIF3G, RNA recognition motif"
IPR035979,130,101,RNA-binding domain superfamily
IPR000330,37,31,"SNF2, N-terminal"
IPR001650,120,92,"Helicase, C-terminal"
IPR014001,128,94,"Helicase superfamily 1/2, ATP-binding domain"
IPR038718,37,30,"SNF2-like, N-terminal domain superfamily"
IPR001245,47,46,"Serine-threonine/tyrosine-protein kinase, catalytic domain"
IPR004273,15,12,Dynein heavy chain region D6 P-loop domain
IPR013602,14,14,"Dynein heavy chain, linker"
IPR024317,14,12,"Dynein heavy chain, AAA module D4"
IPR024743,14,12,"Dynein heavy chain, coiled coil stalk"
IPR026980,2,2,
IPR035699,14,13,"Dynein heavy chain, hydrolytic ATP-binding dynein motor region"
IPR035706,14,12,"Dynein heavy chain, ATP-binding dynein motor region"
IPR041228,13,12,"Dynein heavy chain, C-terminal domain"
IPR041466,13,11,"Dynein heavy chain, AAA 5 extension domain"
IPR041589,13,11,"Dynein heavy chain 3, AAA+ lid domain"
IPR041658,15,12,Dynein heavy chain AAA lid domain
IPR042219,15,12,Dynein heavy chain AAA lid domain superfamily
IPR042222,14,12,"Dynein heavy chain, domain 2, N-terminal"
IPR042228,14,12,"Dynein heavy chain, linker, subdomain 3"
IPR043157,14,12,"Dynein heavy chain, AAA1 domain, small subdomain"
IPR043160,13,12,"Dynein heavy chain, C-terminal domain, barrel region"
IPR001929,4,5,Germin
IPR006045,7,7,Cupin 1
IPR011051,24,20,RmlC-like cupin domain superfamily
IPR006640,3,2,SprT-like
IPR007191,1,1,"Exocyst complex component Sec8, N-terminal"
IPR039682,1,1,Exocyst complex component Sec8/EXOC4
IPR002073,21,19,"3'5'-cyclic nucleotide phosphodiesterase, catalytic domain"
IPR036971,21,18,"3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily"
IPR002938,18,20,FAD-binding domain
IPR003196,1,0,"Transcription initiation factor IIF, beta subunit"
IPR036388,66,51,Winged helix-like DNA-binding domain superfamily
IPR036390,51,44,Winged helix DNA-binding domain superfamily
IPR040450,1,1,"TFIIF beta subunit, HTH domain"
IPR019775,88,67,"WD40 repeat, conserved site"
IPR040323,1,1,EARP and GARP complex-interacting protein 1
IPR000286,10,5,Histone deacetylase family
IPR003084,4,1,Histone deacetylase
IPR023696,11,6,Ureohydrolase domain superfamily
IPR023801,11,6,Histone deacetylase domain
IPR037138,11,6,Histone deacetylase domain superfamily
IPR006683,5,3,Thioesterase domain
IPR033120,2,2,Hotdog acyl-CoA thioesterase (ACOT)-type domain
IPR040170,1,1,Cytosolic acyl coenzyme A thioester hydrolase
IPR002719,2,2,"Retinoblastoma-associated protein, B-box"
IPR002720,2,1,"Retinoblastoma-associated protein, A-box"
IPR024599,1,1,"Retinoblastoma-associated protein, N-terminal"
IPR028309,2,3,Retinoblastoma protein family
IPR036915,21,19,Cyclin-like superfamily
IPR001045,2,2,Spermidine/spermine synthases
IPR030374,2,2,Polyamine biosynthesis domain
IPR035246,2,2,"Spermidine synthase, tetramerisation domain"
IPR037163,2,2,"Spermidine synthase, tetramerisation domain superfamily"
IPR001360,7,4,Glycoside hydrolase family 1
IPR017853,68,56,Glycoside hydrolase superfamily
IPR001388,6,6,Synaptobrevin-like
IPR010908,5,5,Longin domain
IPR011012,19,17,Longin-like domain superfamily
IPR042855,6,6,"v-SNARE, coiled-coil homology domain"
IPR001440,4,6,Tetratricopeptide repeat 1
IPR029489,2,2,"O-GlcNAc transferase, C-terminal"
IPR037919,1,1,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110kDa subunit
IPR003131,11,6,Potassium channel tetramerisation-type BTB domain
IPR006447,10,8,"Myb domain, plants"
IPR005097,5,4,"Saccharopine dehydrogenase, NADP binding domain"
IPR005545,1,0,YCII-related
IPR011008,6,4,Dimeric alpha-beta barrel
IPR015353,8,9,"Rubisco LSMT, substrate-binding domain"
IPR036464,15,13,"Rubisco LSMT, substrate-binding domain superfamily"
IPR006342,4,4,Methyltransferase FkbM
IPR004000,7,8,Actin family
IPR015623,1,1,
IPR043129,31,27,"ATPase, nucleotide binding domain"
IPR000569,13,12,HECT domain
IPR020683,70,50,Domain of unknown function DUF3447
IPR035983,13,12,"HECT, E3 ligase catalytic domain"
IPR006016,11,5,UspA
IPR005669,2,1,Thiosulphate/Sulfate-binding protein
IPR042575,1,1,"Ubiquitin-associated protein 1, C-terminal"
IPR015882,1,1,"Beta-hexosaminidase, bacterial type, N-terminal"
IPR015883,2,2,"Glycoside hydrolase family 20, catalytic domain"
IPR025705,1,2,Beta-hexosaminidase
IPR029018,2,2,"Beta-hexosaminidase-like, domain 2"
IPR004147,21,15,ABC1 atypical kinase-like domain
IPR034646,1,1,ADCK3-like domain
IPR004119,4,1,Ecdysteroid kinase-like
IPR015897,2,0,CHK kinase-like
IPR001727,4,4,Gdt1 family
IPR004316,3,1,SWEET sugar transporter
IPR005576,2,2,"RNA polymerase Rpb7-like , N-terminal"
IPR012340,86,62,"Nucleic acid-binding, OB-fold"
IPR013238,1,1,"RNA polymerase III, subunit Rpc25"
IPR036898,3,2,"RNA polymerase Rpb7-like, N-terminal domain superfamily"
IPR045113,3,2,RNA polymerase subunit Rpb7-like
IPR002809,2,2,Integral membrane protein EMC3/TMCO1-like
IPR008568,1,1,ER membrane protein complex subunit 3
IPR039123,6,4,Protein phosphatase PTC7 homolog
IPR010285,7,0,DNA helicase Pif1-like
IPR001878,19,19,"Zinc finger, CCHC-type"
IPR036875,17,18,"Zinc finger, CCHC-type superfamily"
IPR000717,18,12,Proteasome component (PCI) domain
IPR037754,2,1,
IPR040134,3,2,26S Proteasome non-ATPase regulatory subunit 12/COP9 signalosome complex subunit 4
IPR021183,1,1,"N-terminal acetyltransferase A, auxiliary subunit"
IPR007572,1,0,Uncharacterised protein family Ycf20
IPR032482,2,1,Protein of unknown function DUF5054
IPR006735,2,1,Replication termination factor 2
IPR027799,2,1,"Replication termination factor 2, RING-finger"
IPR011016,13,3,"Zinc finger, RING-CH-type"
IPR003690,8,9,"Transcription termination factor, mitochondrial/chloroplastic"
IPR038538,10,10,"MTERF superfamily, mitochondrial/chloroplastic"
IPR029302,1,1,Intraflagellar transport protein 43
IPR001487,15,11,Bromodomain
IPR018359,6,4,"Bromodomain, conserved site"
IPR036427,15,11,Bromodomain-like superfamily
IPR000631,2,1,ATP/ADP-dependent (S)-NAD(P)H-hydrate dehydratase
IPR029056,19,15,Ribokinase-like
IPR000872,1,1,Tafazzin
IPR002123,11,8,Phospholipid/glycerol acyltransferase
IPR024129,1,1,Sphingomyelin phosphodiesterase 4
IPR002524,5,4,Cation efflux protein
IPR027469,5,4,Cation efflux transmembrane domain superfamily
IPR027470,2,2,"Cation efflux protein, cytoplasmic domain"
IPR036837,2,2,"Cation efflux protein, cytoplasmic domain superfamily"
IPR027109,2,1,SWR1-complex protein 4/DNA methyltransferase 1-associated protein 1
IPR032563,2,1,"DAMP1, SANT/Myb-like domain"
IPR000169,5,4,"Cysteine peptidase, cysteine active site"
IPR000668,9,6,"Peptidase C1A, papain C-terminal"
IPR025660,4,3,"Cysteine peptidase, histidine active site"
IPR038765,103,66,Papain-like cysteine peptidase superfamily
IPR039417,7,4,Papain-like cysteine endopeptidase
IPR005805,3,4,"Rieske iron-sulphur protein, C-terminal"
IPR006076,16,9,FAD dependent oxidoreductase
IPR017941,15,15,Rieske [2Fe-2S] iron-sulphur domain
IPR036922,15,16,Rieske [2Fe-2S] iron-sulphur domain superfamily
IPR003954,6,5,"RNA recognition motif domain, eukaryote"
IPR009145,1,1,U2 auxiliary factor small subunit
IPR006652,12,12,Kelch repeat type 1
IPR011043,10,8,"Galactose oxidase/kelch, beta-propeller"
IPR015915,29,29,Kelch-type beta propeller
IPR025661,5,3,"Cysteine peptidase, asparagine active site"
IPR033157,1,1,Cathepsin Z
IPR003613,41,26,U-box domain
IPR002059,3,4,"Cold-shock protein, DNA-binding"
IPR011129,3,3,Cold shock domain
IPR019844,3,3,Cold-shock (CSD) domain
IPR007234,1,1,"Vps53, N-terminal"
IPR039766,1,1,Vacuolar protein sorting-associated protein 53
IPR000253,19,13,Forkhead-associated (FHA) domain
IPR008984,19,13,SMAD/FHA domain superfamily
IPR001087,5,5,GDSL lipase/esterase
IPR036514,19,16,SGNH hydrolase superfamily
IPR013103,8,0,"Reverse transcriptase, RNA-dependent DNA polymerase"
IPR002313,3,1,"Lysine-tRNA ligase, class II"
IPR004364,8,4,"Aminoacyl-tRNA synthetase, class II (D/K/N)"
IPR004365,11,5,"OB-fold nucleic acid binding domain, AA-tRNA synthetase-type"
IPR006195,19,14,"Aminoacyl-tRNA synthetase, class II"
IPR018149,3,1,"Lysyl-tRNA synthetase, class II, C-terminal"
IPR044136,3,1,"Lysine-tRNA ligase, class II, N-terminal"
IPR007881,1,0,UNC-50
IPR002735,2,2,Translation initiation factor IF2/IF5 domain
IPR003307,4,2,W2 domain
IPR016021,21,10,
IPR016189,2,2,"Translation initiation factor IF2/IF5, N-terminal"
IPR016190,2,1,"Translation initiation factor IF2/IF5, zinc-binding"
IPR008278,2,1,4'-phosphopantetheinyl transferase domain
IPR037143,2,2,4'-phosphopantetheinyl transferase domain superfamily
IPR010995,2,2,"DNA repair Rad51/transcription factor NusA, alpha-helical"
IPR011940,1,1,Meiotic recombination protein Dmc1
IPR013632,9,5,"DNA recombination and repair protein Rad51-like, C-terminal"
IPR016467,3,4,"DNA recombination and repair protein, RecA-like"
IPR020587,3,3,"DNA recombination and repair protein RecA, monomer-monomer interface"
IPR020588,11,7,"DNA recombination and repair protein RecA-like, ATP-binding domain"
IPR033925,4,4,
IPR001394,33,30,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase"
IPR001607,6,2,"Zinc finger, UBP-type"
IPR018200,24,22,"Ubiquitin specific protease, conserved site"
IPR028889,31,29,Ubiquitin specific protease domain
IPR002637,1,1,Ham1-like protein
IPR027502,1,1,Inosine triphosphate pyrophosphatase
IPR029001,3,3,Inosine triphosphate pyrophosphatase-like
IPR001898,3,3,Solute carrier family 13
IPR030676,2,2,Citrate carrier CitT-related
IPR000048,26,15,"IQ motif, EF-hand binding site"
IPR018488,11,12,"Cyclic nucleotide-binding, conserved site"
IPR002794,3,3,"Protein of unknown function DUF92, TMEM19"
IPR000795,20,19,Translational (tr)-type GTP-binding domain
IPR009000,31,28,"Translation protein, beta-barrel domain superfamily"
IPR039263,2,2,
IPR009852,1,1,"Centromere protein J, C-terminal domain"
IPR026581,1,1,T-complex protein 10 family
IPR000299,1,1,FERM domain
IPR000857,1,1,MyTH4 domain
IPR001752,41,36,Kinesin motor domain
IPR011993,37,23,PH-like domain superfamily
IPR014352,4,5,FERM/acyl-CoA-binding protein superfamily
IPR019748,1,1,FERM central domain
IPR019749,1,1,Band 4.1 domain
IPR019821,29,26,"Kinesin motor domain, conserved site"
IPR035963,1,1,"FERM superfamily, second domain"
IPR036961,44,39,Kinesin motor domain superfamily
IPR038185,1,1,MyTH4 domain superfamily
IPR000131,3,3,"ATP synthase, F1 complex, gamma subunit"
IPR035968,2,2,"ATP synthase, F1 complex, gamma subunit superfamily"
IPR009716,2,2,Ferroportin-1
IPR001441,1,1,Decaprenyl diphosphate synthase-like
IPR018520,1,1,"Di-trans-poly-cis-decaprenylcistransferase-like, conserved site"
IPR036424,2,1,Decaprenyl diphosphate synthase-like superfamily
IPR000152,3,2,EGF-type aspartate/asparagine hydroxylation site
IPR001547,18,13,"Glycoside hydrolase, family 5"
IPR001881,3,2,EGF-like calcium-binding domain
IPR018097,3,2,"EGF-like calcium-binding, conserved site"
IPR045053,12,8,"Mannan endo-1,4-beta-mannosidase-like"
IPR003265,9,5,HhH-GPD domain
IPR011257,12,7,DNA glycosylase
IPR005708,1,1,"Homogentisate 1,2-dioxygenase"
IPR017871,48,42,"ABC transporter-like, conserved site"
IPR032524,2,2,"ABC transporter Uup, C-terminal"
IPR037118,4,4,"Valyl-tRNA synthetase, tRNA-binding arm superfamily"
IPR043533,6,5,
IPR001202,20,16,WW domain
IPR004087,13,13,K Homology domain
IPR004088,15,13,"K Homology domain, type 1"
IPR036020,17,14,WW domain superfamily
IPR036612,23,17,"K Homology domain, type 1 superfamily"
IPR004895,3,3,Prenylated rab acceptor PRA1
IPR002579,4,3,Peptide methionine sulphoxide reductase MrsB domain
IPR011057,10,6,Mss4-like superfamily
IPR028427,2,2,Peptide methionine sulfoxide reductase MsrB
IPR007276,1,1,Nucleolar protein 14
IPR002659,9,7,"Glycosyl transferase, family 31"
IPR002048,81,60,EF-hand domain
IPR002872,2,2,Proline dehydrogenase domain
IPR011992,92,66,EF-hand domain pair
IPR015659,2,2,Proline oxidase family
IPR018247,64,51,"EF-Hand 1, calcium-binding site"
IPR029041,4,3,FAD-linked oxidoreductase-like
IPR000245,2,2,V-ATPase proteolipid subunit
IPR002379,2,3,V-ATPase proteolipid subunit C-like domain
IPR011555,1,1,"V-ATPase proteolipid subunit C, eukaryotic"
IPR035921,2,3,F/V-ATP synthase subunit C superfamily
IPR025749,2,1,Sphingomyelin synthase-like domain
IPR000994,11,9,Peptidase M24
IPR007865,5,3,"Aminopeptidase P, N-terminal"
IPR029149,7,4,"Creatinase/Aminopeptidase P/Spt16, N-terminal"
IPR036005,11,9,Creatinase/aminopeptidase-like
IPR003855,3,2,Potassium transporter
IPR000073,41,34,Alpha/beta hydrolase fold-1
IPR014541,2,2,"Predicted amidinotransferase, FN0238 type"
IPR013320,20,12,Concanavalin A-like lectin/glucanase domain superfamily
IPR013806,1,0,Kringle-like fold
IPR036943,1,0,Fibronectin type II domain superfamily
IPR001173,7,5,Glycosyltransferase 2-like
IPR026461,2,1,"Transferase 2, rSAM/selenodomain-associated"
IPR029044,82,61,Nucleotide-diphospho-sugar transferases
IPR013120,3,3,"Fatty acyl-coenzyme A reductase, NAD-binding domain"
IPR026055,3,3,Fatty acyl-CoA reductase
IPR004942,1,0,Roadblock/LAMTOR2 domain
IPR016561,1,0,Dynein light chain roadblock-type 1/2
IPR006575,8,5,RWD domain
IPR016135,37,27,Ubiquitin-conjugating enzyme/RWD-like
IPR040213,1,1,GIR2-like
IPR014729,65,49,Rossmann-like alpha/beta/alpha sandwich fold
IPR036653,2,2,"CinA-like, C-terminal"
IPR004254,4,1,AdipoR/Haemolysin-III-related
IPR001344,21,19,"Chlorophyll A-B binding protein, plant and chromista"
IPR022796,35,27,Chlorophyll A-B binding protein
IPR023329,31,28,
IPR036140,3,2,Profilin superfamily
IPR006145,11,6,"Pseudouridine synthase, RsuA/RluA-like"
IPR006224,7,3,"Pseudouridine synthase, RluA-like, conserved site"
IPR020103,25,16,"Pseudouridine synthase, catalytic domain superfamily"
IPR036629,2,2,YjbJ superfamily
IPR003774,3,1,Protein of unknown function UPF0301
IPR005302,4,3,"Molybdenum cofactor sulfurase, C-terminal"
IPR005303,4,2,"MOSC, N-terminal beta barrel"
IPR011037,9,8,"Pyruvate kinase-like, insert domain superfamily"
IPR007853,3,1,"Zinc finger, DNL-type"
IPR024158,3,1,Mitochondrial import protein TIM15
IPR007587,2,2,SIT4 phosphatase-associated protein family
IPR001031,3,3,Thioesterase
IPR006162,6,4,Phosphopantetheine attachment site
IPR009081,5,6,Phosphopantetheine binding ACP domain
IPR011032,32,30,GroES-like superfamily
IPR013968,2,2,"Polyketide synthase, ketoreductase domain"
IPR014030,6,5,"Beta-ketoacyl synthase, N-terminal"
IPR014031,6,5,"Beta-ketoacyl synthase, C-terminal"
IPR016039,13,11,Thiolase-like
IPR018201,5,5,"Beta-ketoacyl synthase, active site"
IPR020806,3,3,"Polyketide synthase, phosphopantetheine-binding domain"
IPR020807,2,2,"Polyketide synthase, dehydratase domain"
IPR020841,6,5,"Polyketide synthase, beta-ketoacyl synthase domain"
IPR020843,23,24,"Polyketide synthase, enoylreductase domain"
IPR036736,8,6,ACP-like superfamily
IPR042104,2,3,"Polyketide synthase, dehydratase domain superfamily"
IPR002364,6,4,"Quinone oxidoreductase/zeta-crystallin, conserved site"
IPR013149,20,20,"Alcohol dehydrogenase-like, C-terminal"
IPR000873,19,16,AMP-dependent synthetase/ligase domain
IPR025110,12,10,"AMP-binding enzyme, C-terminal domain"
IPR042099,19,15,"ANL, N-terminal domain"
IPR000209,12,11,Peptidase S8/S53 domain
IPR003137,6,4,PA domain
IPR008979,21,18,Galactose-binding-like domain superfamily
IPR015500,12,11,"Peptidase S8, subtilisin-related"
IPR022398,8,7,"Peptidase S8, subtilisin, His-active site"
IPR023828,12,11,"Peptidase S8, subtilisin, Ser-active site"
IPR034058,2,1,"TagA/B/C/D, peptidase domain"
IPR036852,12,11,Peptidase S8/S53 domain superfamily
IPR025986,2,1,"RNA-polymerase II-associated protein 3-like, C-terminal domain"
