Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
hypothetical protein Rsub_07348 [Raphidocelis subcapitata],Raphidocelis subcapitata,146,146,89%,5e-36,29.62,566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBF94080.1?report=genbank&log$=prottop&blast_rank=19&RID=ZV3S50D2016"",""GBF94080.1"")"
hypothetical protein ABPG75_000498 [Micractinium tetrahymenae],Micractinium tetrahymenae,139,139,87%,5e-34,32.49,446,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL4434057.1?report=genbank&log$=prottop&blast_rank=20&RID=ZV3S50D2016"",""KAL4434057.1"")"
MAG: C4-dicarboxylate transporter malic acid transport [Trebouxia sp. A1-2],Trebouxia sp. A1-2,126,126,34%,4e-32,46.67,154,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA6425379.1?report=genbank&log$=prottop&blast_rank=21&RID=ZV3S50D2016"",""KAA6425379.1"")"
transducin beta 3 isoform B [Chlorella sorokiniana],Chlorella sorokiniana,132,132,63%,2e-30,29.34,2943,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PRW60888.1?report=genbank&log$=prottop&blast_rank=22&RID=ZV3S50D2016"",""PRW60888.1"")"
transducin beta 3 isoform A [Chlorella sorokiniana],Chlorella sorokiniana,132,132,63%,2e-30,29.34,2928,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PRW60889.1?report=genbank&log$=prottop&blast_rank=23&RID=ZV3S50D2016"",""PRW60889.1"")"
hypothetical protein COHA_009792 [Chlorella ohadii],Chlorella ohadii,130,130,67%,3e-30,32.62,639,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI7836333.1?report=genbank&log$=prottop&blast_rank=24&RID=ZV3S50D2016"",""KAI7836333.1"")"
putative dipeptidase [Chlorella vulgaris],Chlorella vulgaris,130,130,78%,6e-30,31.48,999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL4859977.1?report=genbank&log$=prottop&blast_rank=25&RID=ZV3S50D2016"",""KAL4859977.1"")"
hypothetical protein MNEG_8916 [Monoraphidium neglectum],Monoraphidium neglectum,110,110,61%,4e-24,30.23,361,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013898068.1?report=genbank&log$=prottop&blast_rank=26&RID=ZV3S50D2016"",""XP_013898068.1"")"
hypothetical protein WJX82_006416 [Trebouxia sp. C0006],Trebouxia sp. C0006,112,112,23%,8e-24,59.55,824,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL0052699.1?report=genbank&log$=prottop&blast_rank=27&RID=ZV3S50D2016"",""KAL0052699.1"")"
hypothetical protein ABPG75_009261 [Micractinium tetrahymenae],Micractinium tetrahymenae,104,104,55%,6e-23,30.84,248,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL4425245.1?report=genbank&log$=prottop&blast_rank=28&RID=ZV3S50D2016"",""KAL4425245.1"")"
hypothetical protein ABPG75_009264 [Micractinium tetrahymenae],Micractinium tetrahymenae,93.2,93.2,55%,6e-19,29.44,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL4425248.1?report=genbank&log$=prottop&blast_rank=29&RID=ZV3S50D2016"",""KAL4425248.1"")"
hypothetical protein OEZ86_006979 [Tetradesmus obliquus],Tetradesmus obliquus,71.6,71.6,40%,6e-11,29.94,326,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WIA33879.1?report=genbank&log$=prottop&blast_rank=30&RID=ZV3S50D2016"",""WIA33879.1"")"
hypothetical protein QBZ16_001079 [Prototheca wickerhamii],Prototheca wickerhamii,63.2,63.2,70%,4e-08,23.10,302,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK2076147.1?report=genbank&log$=prottop&blast_rank=31&RID=ZV3S50D2016"",""KAK2076147.1"")"
voltage-dependent anion channel-domain-containing protein [Scenedesmus sp. NREL 46B-D3],Scenedesmus sp. NREL 46B-D3,54.3,54.3,25%,3e-05,31.48,279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF6263912.1?report=genbank&log$=prottop&blast_rank=32&RID=ZV3S50D2016"",""KAF6263912.1"")"
hypothetical protein COHA_008212 [Chlorella ohadii],Chlorella ohadii,53.5,53.5,23%,3e-05,37.78,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI7838031.1?report=genbank&log$=prottop&blast_rank=33&RID=ZV3S50D2016"",""KAI7838031.1"")"
hypothetical protein APUTEX25_004829 [Auxenochlorella protothecoides],Auxenochlorella protothecoides,44.7,44.7,78%,0.039,22.33,305,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RMZ53341.1?report=genbank&log$=prottop&blast_rank=34&RID=ZV3S50D2016"",""RMZ53341.1"")"



		


