Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
putative plasma membrane-type proton ATPase [Coccomyxa subellipsoidea C-169],Coccomyxa subellipsoidea C-169,156,156,93%,1e-39,49.74,1063,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005647875.1?report=genbank&log$=prottop&blast_rank=13&RID=ZVA8TM44016"",""XP_005647875.1"")"
Plasma membrane ATPase [Coccomyxa sp. Obi],Coccomyxa sp. Obi,154,154,91%,5e-39,43.55,1395,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/BDA49594.1?report=genbank&log$=prottop&blast_rank=14&RID=ZVA8TM44016"",""BDA49594.1"")"
hypothetical protein CEUSTIGMA_g8365.t1 [Chlamydomonas eustigma],Chlamydomonas eustigma,153,153,99%,1e-38,43.59,1120,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GAX80930.1?report=genbank&log$=prottop&blast_rank=15&RID=ZVA8TM44016"",""GAX80930.1"")"
plasma-membrane proton-e [Coccomyxa subellipsoidea C-169],Coccomyxa subellipsoidea C-169,152,152,89%,3e-38,45.83,1217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005643733.1?report=genbank&log$=prottop&blast_rank=16&RID=ZVA8TM44016"",""XP_005643733.1"")"
hypothetical protein [Sanguina aurantia],Sanguina aurantia,144,144,87%,4e-38,46.96,314,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEW5300835.1?report=genbank&log$=prottop&blast_rank=17&RID=ZVA8TM44016"",""MEW5300835.1"")"
hypothetical protein WJX75_000844 [Coccomyxa subellipsoidea],Coccomyxa subellipsoidea,151,151,95%,5e-38,47.67,1062,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9905489.1?report=genbank&log$=prottop&blast_rank=18&RID=ZVA8TM44016"",""KAK9905489.1"")"
hypothetical protein OEZ85_003210 [Tetradesmus obliquus],Tetradesmus obliquus,150,150,94%,1e-37,45.32,1153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WIA14720.1?report=genbank&log$=prottop&blast_rank=19&RID=ZVA8TM44016"",""WIA14720.1"")"
hypothetical protein FOA52_007442 [Chlamydomonas sp. UWO 241],Chlamydomonas sp. UWO 241,150,150,97%,1e-37,43.59,1085,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG1652728.1?report=genbank&log$=prottop&blast_rank=20&RID=ZVA8TM44016"",""KAG1652728.1"")"
hypothetical protein OEZ86_013179 [Tetradesmus obliquus],Tetradesmus obliquus,149,149,98%,3e-37,45.32,1174,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WIA34892.1?report=genbank&log$=prottop&blast_rank=21&RID=ZVA8TM44016"",""WIA34892.1"")"
hypothetical protein WJX73_006394 [Symbiochloris irregularis],Symbiochloris irregularis,148,148,90%,8e-37,42.86,1074,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9802623.1?report=genbank&log$=prottop&blast_rank=22&RID=ZVA8TM44016"",""KAK9802623.1"")"
hypothetical protein KSW81_002214 [Chlorella desiccata (nom. nud.)],Chlorella desiccata (nom. nud.),147,147,88%,1e-36,43.01,1035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG7668322.1?report=genbank&log$=prottop&blast_rank=23&RID=ZVA8TM44016"",""KAG7668322.1"")"
hypothetical protein MNEG_7267 [Monoraphidium neglectum],Monoraphidium neglectum,146,146,88%,3e-36,47.49,1035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_013899713.1?report=genbank&log$=prottop&blast_rank=24&RID=ZVA8TM44016"",""XP_013899713.1"")"
MAG: putative plasma membrane-type proton ATPase [Monoraphidium minutum],Monoraphidium minutum,143,143,97%,3e-35,44.95,1090,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI8467454.1?report=genbank&log$=prottop&blast_rank=25&RID=ZVA8TM44016"",""KAI8467454.1"")"
plasma membrane ATPase [Haematococcus lacustris],Haematococcus lacustris,142,142,87%,7e-35,44.94,1041,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GFH22678.1?report=genbank&log$=prottop&blast_rank=26&RID=ZVA8TM44016"",""GFH22678.1"")"
hypothetical protein QJQ45_006315 [Haematococcus lacustris],Haematococcus lacustris,142,142,87%,7e-35,44.94,1080,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ9507337.1?report=genbank&log$=prottop&blast_rank=27&RID=ZVA8TM44016"",""KAJ9507337.1"")"
hypothetical protein QJQ45_019137 [Haematococcus lacustris],Haematococcus lacustris,142,142,87%,9e-35,44.94,1346,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ9507686.1?report=genbank&log$=prottop&blast_rank=28&RID=ZVA8TM44016"",""KAJ9507686.1"")"
hypothetical protein WJX73_003965 [Symbiochloris irregularis],Symbiochloris irregularis,142,142,91%,9e-35,43.13,1114,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK9798585.1?report=genbank&log$=prottop&blast_rank=29&RID=ZVA8TM44016"",""KAK9798585.1"")"
hypothetical protein QJQ45_004733 [Haematococcus lacustris],Haematococcus lacustris,142,142,87%,1e-34,44.94,1319,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ9507100.1?report=genbank&log$=prottop&blast_rank=30&RID=ZVA8TM44016"",""KAJ9507100.1"")"
plasma-membrane proton-efflux P-type ATPase [Micractinium conductrix],Micractinium conductrix,140,140,90%,3e-34,39.20,971,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PSC74572.1?report=genbank&log$=prottop&blast_rank=31&RID=ZVA8TM44016"",""PSC74572.1"")"
hypothetical protein OEZ85_003205 [Tetradesmus obliquus],Tetradesmus obliquus,135,135,98%,3e-34,43.35,342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WIA14715.1?report=genbank&log$=prottop&blast_rank=32&RID=ZVA8TM44016"",""WIA14715.1"")"
"hypothetical protein QJQ45_021335, partial [Haematococcus lacustris]",Haematococcus lacustris,140,140,87%,3e-34,44.38,1072,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ9508004.1?report=genbank&log$=prottop&blast_rank=33&RID=ZVA8TM44016"",""KAJ9508004.1"")"
hypothetical protein QJQ45_021608 [Haematococcus lacustris],Haematococcus lacustris,140,140,87%,5e-34,44.38,1313,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAJ9508211.1?report=genbank&log$=prottop&blast_rank=34&RID=ZVA8TM44016"",""KAJ9508211.1"")"
plasma membrane H+-ATPase [Prototheca wickerhamii],Prototheca wickerhamii,139,139,90%,9e-34,42.64,1035,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAK2076072.1?report=genbank&log$=prottop&blast_rank=35&RID=ZVA8TM44016"",""KAK2076072.1"")"
hypothetical protein HYH02_005560 [Chlamydomonas schloesseri],Chlamydomonas schloesseri,139,139,89%,1e-33,44.13,1086,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG2449411.1?report=genbank&log$=prottop&blast_rank=36&RID=ZVA8TM44016"",""KAG2449411.1"")"
hypothetical protein ABPG75_012215 [Micractinium tetrahymenae],Micractinium tetrahymenae,138,138,88%,2e-33,40.59,1565,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL4457350.1?report=genbank&log$=prottop&blast_rank=37&RID=ZVA8TM44016"",""KAL4457350.1"")"
Plasma membrane ATPase [Auxenochlorella protothecoides],Auxenochlorella protothecoides,138,138,89%,2e-33,41.79,798,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_011396827.1?report=genbank&log$=prottop&blast_rank=38&RID=ZVA8TM44016"",""XP_011396827.1"")"
hypothetical protein APUTEX25_000420 [Auxenochlorella protothecoides],Auxenochlorella protothecoides,137,137,89%,3e-33,41.79,1010,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RMZ54903.1?report=genbank&log$=prottop&blast_rank=39&RID=ZVA8TM44016"",""RMZ54903.1"")"
hypothetical protein HYH03_005008 [Edaphochlamys debaryana],Edaphochlamys debaryana,137,137,97%,3e-33,42.79,1095,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG2497004.1?report=genbank&log$=prottop&blast_rank=40&RID=ZVA8TM44016"",""KAG2497004.1"")"
hypothetical protein COHA_007533 [Chlorella ohadii],Chlorella ohadii,137,137,90%,4e-33,43.09,1057,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI7838737.1?report=genbank&log$=prottop&blast_rank=41&RID=ZVA8TM44016"",""KAI7838737.1"")"
hypothetical protein VaNZ11_004843 [Volvox africanus],Volvox africanus,136,136,89%,8e-33,42.70,1082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GLI62247.1?report=genbank&log$=prottop&blast_rank=42&RID=ZVA8TM44016"",""GLI62247.1"")"
hypothetical protein Vafri_16800 [Volvox africanus],Volvox africanus,136,136,89%,9e-33,42.70,1082,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GIL62612.1?report=genbank&log$=prottop&blast_rank=43&RID=ZVA8TM44016"",""GIL62612.1"")"
hypothetical protein H632_c12p1 [Helicosporidium sp. ATCC 50920],Helicosporidium sp. ATCC 50920,136,136,90%,9e-33,40.72,730,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KDD77131.1?report=genbank&log$=prottop&blast_rank=44&RID=ZVA8TM44016"",""KDD77131.1"")"
g4068 [Coccomyxa elongata],Coccomyxa elongata,135,135,88%,2e-32,42.16,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL8464533.1?report=genbank&log$=prottop&blast_rank=45&RID=ZVA8TM44016"",""CAL8464533.1"")"
hypothetical protein HXX76_008366 [Chlamydomonas incerta],Chlamydomonas incerta,135,135,89%,2e-32,42.46,1084,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG2433300.1?report=genbank&log$=prottop&blast_rank=46&RID=ZVA8TM44016"",""KAG2433300.1"")"
hypothetical protein [Sanguina aurantia],Sanguina aurantia,134,134,87%,3e-32,42.55,864,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEW5313699.1?report=genbank&log$=prottop&blast_rank=47&RID=ZVA8TM44016"",""MEW5313699.1"")"
uncharacterized protein CHLRE_10g459200v5 [Chlamydomonas reinhardtii],Chlamydomonas reinhardtii,134,134,97%,5e-32,40.67,1081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_001698580.1?report=genbank&log$=prottop&blast_rank=48&RID=ZVA8TM44016"",""XP_001698580.1"")"
plasma-membrane proton-efflux P-type ATPase isoform B [Chlorella sorokiniana],Chlorella sorokiniana,134,134,90%,6e-32,41.90,1217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PRW57643.1?report=genbank&log$=prottop&blast_rank=49&RID=ZVA8TM44016"",""PRW57643.1"")"
plasma-membrane proton-efflux P-type ATPase isoform A [Chlorella sorokiniana],Chlorella sorokiniana,134,134,90%,8e-32,41.90,1259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PRW57642.1?report=genbank&log$=prottop&blast_rank=50&RID=ZVA8TM44016"",""PRW57642.1"")"
hypothetical protein Vretifemale_17957 [Volvox reticuliferus],Volvox reticuliferus,133,133,89%,1e-31,42.13,1080,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GIL90316.1?report=genbank&log$=prottop&blast_rank=51&RID=ZVA8TM44016"",""GIL90316.1"")"
hypothetical protein Agub_g13014 [Astrephomene gubernaculifera],Astrephomene gubernaculifera,132,132,89%,2e-31,41.34,1081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GFR50748.1?report=genbank&log$=prottop&blast_rank=52&RID=ZVA8TM44016"",""GFR50748.1"")"
H+-translocating ATPase P-type [Dunaliella maritima],Dunaliella maritima,132,132,87%,3e-31,40.00,1131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QEH60479.1?report=genbank&log$=prottop&blast_rank=53&RID=ZVA8TM44016"",""QEH60479.1"")"
RecName: Full=Plasma membrane ATPase; AltName: Full=Proton pump [Dunaliella bioculata],Dunaliella bioculata,132,132,87%,3e-31,40.00,1131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P54211.1?report=genbank&log$=prottop&blast_rank=54&RID=ZVA8TM44016"",""P54211.1"")"
hypothetical protein Ndes2437B_g07485 [Chlorella desiccata (nom. nud.)],Chlorella desiccata (nom. nud.),130,130,55%,8e-31,54.55,956,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL4526231.1?report=genbank&log$=prottop&blast_rank=55&RID=ZVA8TM44016"",""KAL4526231.1"")"
Plasma membrane ATPase [Chlorella vulgaris],Chlorella vulgaris,130,130,90%,9e-31,37.75,1077,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL4858311.1?report=genbank&log$=prottop&blast_rank=56&RID=ZVA8TM44016"",""KAL4858311.1"")"
hypothetical protein D9Q98_007739 [Chlorella vulgaris],Chlorella vulgaris,130,130,90%,9e-31,37.75,1047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI3425764.1?report=genbank&log$=prottop&blast_rank=57&RID=ZVA8TM44016"",""KAI3425764.1"")"
uncharacterized protein VOLCADRAFT_103448 [Volvox carteri f. nagariensis],Volvox carteri f. nagariensis,129,129,89%,2e-30,40.22,1098,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_002947352.1?report=genbank&log$=prottop&blast_rank=58&RID=ZVA8TM44016"",""XP_002947352.1"")"
hypothetical protein GPECTOR_39g455 [Gonium pectorale],Gonium pectorale,129,129,89%,2e-30,41.90,1074,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXZ46961.1?report=genbank&log$=prottop&blast_rank=59&RID=ZVA8TM44016"",""KXZ46961.1"")"
plasma membrane H+-ATPase [Pleodorina starrii],Pleodorina starrii,127,127,89%,8e-30,40.45,1081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GLC48896.1?report=genbank&log$=prottop&blast_rank=60&RID=ZVA8TM44016"",""GLC48896.1"")"
plasma membrane H+-ATPase [Pleodorina starrii],Pleodorina starrii,127,127,89%,2e-29,40.45,1081,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GLC36546.1?report=genbank&log$=prottop&blast_rank=61&RID=ZVA8TM44016"",""GLC36546.1"")"
Plasma membrane ATPase [Tetrabaena socialis],Tetrabaena socialis,125,125,89%,6e-29,40.11,1102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PNH02174.1?report=genbank&log$=prottop&blast_rank=62&RID=ZVA8TM44016"",""PNH02174.1"")"
hypothetical protein M9434_002870 [Picochlorum sp. BPE23],Picochlorum sp. BPE23,124,124,61%,2e-28,57.38,1034,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI8104312.1?report=genbank&log$=prottop&blast_rank=63&RID=ZVA8TM44016"",""KAI8104312.1"")"
hypothetical protein GPECTOR_26g566 [Gonium pectorale],Gonium pectorale,124,124,89%,2e-28,40.78,1077,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KXZ48663.1?report=genbank&log$=prottop&blast_rank=64&RID=ZVA8TM44016"",""KXZ48663.1"")"
hypothetical protein M9435_000091 [Picochlorum sp. BPE23],Picochlorum sp. BPE23,123,123,61%,3e-28,58.20,1034,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAI8104917.1?report=genbank&log$=prottop&blast_rank=65&RID=ZVA8TM44016"",""KAI8104917.1"")"
RecName: Full=Plasma membrane ATPase; AltName: Full=Proton pump [Dunaliella acidophila],Dunaliella acidophila,122,122,87%,5e-28,37.99,1103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/P54210.1?report=genbank&log$=prottop&blast_rank=66&RID=ZVA8TM44016"",""P54210.1"")"
Plasma membrane ATPase [Picochlorum sp. SENEW3],Picochlorum sp. SENEW3,121,121,61%,1e-27,55.74,1034,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WPT15449.1?report=genbank&log$=prottop&blast_rank=67&RID=ZVA8TM44016"",""WPT15449.1"")"
plasma membrane ATPase [Dunaliella salina],Dunaliella salina,114,114,61%,3e-25,45.45,1193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF5830974.1?report=genbank&log$=prottop&blast_rank=68&RID=ZVA8TM44016"",""KAF5830974.1"")"
hypothetical protein ABPG77_005772 [Micractinium sp. CCAP 211/92],Micractinium sp. CCAP 211/92,113,113,88%,8e-25,42.08,1039,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAL4418761.1?report=genbank&log$=prottop&blast_rank=69&RID=ZVA8TM44016"",""KAL4418761.1"")"
g12458 [Coccomyxa viridis],Coccomyxa viridis,112,112,61%,3e-24,49.59,1045,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAL5229181.1?report=genbank&log$=prottop&blast_rank=70&RID=ZVA8TM44016"",""CAL5229181.1"")"
hypothetical protein CHLNCDRAFT_133797 [Chlorella variabilis],Chlorella variabilis,108,108,100%,4e-23,33.97,551,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_005847733.1?report=genbank&log$=prottop&blast_rank=71&RID=ZVA8TM44016"",""XP_005847733.1"")"
plasma-membrane proton-efflux P-type ATPase [Raphidocelis subcapitata],Raphidocelis subcapitata,107,107,83%,1e-22,37.95,1160,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GBF93844.1?report=genbank&log$=prottop&blast_rank=72&RID=ZVA8TM44016"",""GBF93844.1"")"
Plasma membrane ATPase [Porphyridium purpureum],Porphyridium purpureum,90.9,90.9,61%,6e-17,41.67,1032,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAA8496232.1?report=genbank&log$=prottop&blast_rank=73&RID=ZVA8TM44016"",""KAA8496232.1"")"
plasma-membrane proton-efflux P-type ATPase [Sphaeroforma arctica JP610],Sphaeroforma arctica JP610,86.7,86.7,85%,2e-15,33.33,964,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014154558.1?report=genbank&log$=prottop&blast_rank=74&RID=ZVA8TM44016"",""XP_014154558.1"")"
plasma-membrane proton-efflux P-type ATPase [Sphaeroforma arctica JP610],Sphaeroforma arctica JP610,75.9,75.9,57%,9e-12,35.71,1053,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_014159606.1?report=genbank&log$=prottop&blast_rank=75&RID=ZVA8TM44016"",""XP_014159606.1"")"
hypothetical protein Ae201684_009038 [Aphanomyces euteiches],Aphanomyces euteiches,50.1,50.1,53%,0.006,30.48,1109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0734170.1?report=genbank&log$=prottop&blast_rank=76&RID=ZVA8TM44016"",""KAF0734170.1"")"
hypothetical protein Ae201684_009038 [Aphanomyces euteiches],Aphanomyces euteiches,50.1,50.1,53%,0.006,30.48,980,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0734171.1?report=genbank&log$=prottop&blast_rank=77&RID=ZVA8TM44016"",""KAF0734171.1"")"
hypothetical protein AC1031_010810 [Aphanomyces cochlioides],Aphanomyces cochlioides,50.1,50.1,53%,0.007,30.48,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG9400594.1?report=genbank&log$=prottop&blast_rank=78&RID=ZVA8TM44016"",""KAG9400594.1"")"
hypothetical protein Ae201684_009048 [Aphanomyces euteiches],Aphanomyces euteiches,50.1,50.1,53%,0.007,30.48,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0734181.1?report=genbank&log$=prottop&blast_rank=79&RID=ZVA8TM44016"",""KAF0734181.1"")"
hypothetical protein AC1031_010816 [Aphanomyces cochlioides],Aphanomyces cochlioides,50.1,50.1,53%,0.007,30.48,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAG9400602.1?report=genbank&log$=prottop&blast_rank=80&RID=ZVA8TM44016"",""KAG9400602.1"")"
hypothetical protein Ae201684P_003306 [Aphanomyces euteiches],Aphanomyces euteiches,50.1,50.1,53%,0.007,30.48,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9073804.1?report=genbank&log$=prottop&blast_rank=81&RID=ZVA8TM44016"",""KAH9073804.1"")"
hypothetical protein Ae201684_009047 [Aphanomyces euteiches],Aphanomyces euteiches,50.1,50.1,53%,0.007,30.48,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0734180.1?report=genbank&log$=prottop&blast_rank=82&RID=ZVA8TM44016"",""KAF0734180.1"")"
hypothetical protein Ae201684P_003271 [Aphanomyces euteiches],Aphanomyces euteiches,50.1,50.1,53%,0.007,30.48,1068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9073768.1?report=genbank&log$=prottop&blast_rank=83&RID=ZVA8TM44016"",""KAH9073768.1"")"
hypothetical protein LEN26_020661 [Aphanomyces euteiches],Aphanomyces euteiches,49.3,49.3,53%,0.009,30.19,280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9085110.1?report=genbank&log$=prottop&blast_rank=84&RID=ZVA8TM44016"",""KAH9085110.1"")"
hypothetical protein AeRB84_003607 [Aphanomyces euteiches],Aphanomyces euteiches,48.9,48.9,53%,0.009,30.19,280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9154266.1?report=genbank&log$=prottop&blast_rank=85&RID=ZVA8TM44016"",""KAH9154266.1"")"
"hypothetical protein AeMF1_008581, partial [Aphanomyces euteiches]",Aphanomyces euteiches,49.3,49.3,53%,0.011,30.48,676,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9118108.1?report=genbank&log$=prottop&blast_rank=86&RID=ZVA8TM44016"",""KAH9118108.1"")"
"hypothetical protein LEN26_019942, partial [Aphanomyces euteiches]",Aphanomyces euteiches,48.5,48.5,53%,0.015,30.19,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9087591.1?report=genbank&log$=prottop&blast_rank=87&RID=ZVA8TM44016"",""KAH9087591.1"")"
"hypothetical protein AeMF1_003851, partial [Aphanomyces euteiches]",Aphanomyces euteiches,48.5,48.5,53%,0.015,30.19,350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9125559.1?report=genbank&log$=prottop&blast_rank=88&RID=ZVA8TM44016"",""KAH9125559.1"")"
"hypothetical protein AeRB84_013860, partial [Aphanomyces euteiches]",Aphanomyces euteiches,48.5,48.5,53%,0.017,30.19,360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9142034.1?report=genbank&log$=prottop&blast_rank=89&RID=ZVA8TM44016"",""KAH9142034.1"")"
hypothetical protein As57867_001769 [Aphanomyces stellatus],Aphanomyces stellatus,48.1,48.1,55%,0.017,27.27,279,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0718320.1?report=genbank&log$=prottop&blast_rank=90&RID=ZVA8TM44016"",""KAF0718320.1"")"
"hypothetical protein AeRB84_009158, partial [Aphanomyces euteiches]",Aphanomyces euteiches,47.8,47.8,54%,0.032,29.91,436,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAH9147166.1?report=genbank&log$=prottop&blast_rank=91&RID=ZVA8TM44016"",""KAH9147166.1"")"
"hypothetical protein As57867_017384, partial [Aphanomyces stellatus]",Aphanomyces stellatus,47.4,47.4,53%,0.044,27.36,396,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KAF0691293.1?report=genbank&log$=prottop&blast_rank=92&RID=ZVA8TM44016"",""KAF0691293.1"")"



		


