Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Rhinocladiella mackenziei CBS 650.93 uncharacterized protein (Z518_06727), partial mRNA",Rhinocladiella mackenziei CBS 650.93,329,329,99%,7e-108,52.80,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_013414858.1?report=genbank&log$=nucltop&blast_rank=25&RID=ZUKKA6V0016"",""XM_013414858.1"")"
"Colletotrichum phormii short-chain dehydrogenase (BDP81DRAFT_422079), mRNA",Colletotrichum phormii,333,333,100%,7e-108,50.59,1360,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060589964.1?report=genbank&log$=nucltop&blast_rank=26&RID=ZUKKA6V0016"",""XM_060589964.1"")"
"Fulvia fulva Short-chain dehydrogenase/reductase prx1 (CLAFUR5_07417), partial mRNA",Fulvia fulva,329,329,99%,8e-108,50.89,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_047906565.1?report=genbank&log$=nucltop&blast_rank=27&RID=ZUKKA6V0016"",""XM_047906565.1"")"
"Zasmidium cellare ATCC 36951 uncharacterized protein (M409DRAFT_62478), partial mRNA",Zasmidium cellare ATCC 36951,329,329,99%,9e-108,49.70,1014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033815191.1?report=genbank&log$=nucltop&blast_rank=28&RID=ZUKKA6V0016"",""XM_033815191.1"")"
"Colletotrichum abscissum short-chain dehydrogenase (CABS01_15968), partial mRNA",Colletotrichum abscissum,329,329,100%,9e-108,50.59,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060549300.1?report=genbank&log$=nucltop&blast_rank=29&RID=ZUKKA6V0016"",""XM_060549300.1"")"
"Colletotrichum scovillei short-chain dehydrogenase (HER10_EVM0009446), mRNA",Colletotrichum scovillei,330,330,100%,7e-107,50.89,1335,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035478932.1?report=genbank&log$=nucltop&blast_rank=30&RID=ZUKKA6V0016"",""XM_035478932.1"")"
"Ilyonectria robusta WW domain-containing oxidoreductase (BGZ61DRAFT_487910), partial mRNA",Ilyonectria robusta,326,326,98%,1e-106,52.55,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046250045.1?report=genbank&log$=nucltop&blast_rank=31&RID=ZUKKA6V0016"",""XM_046250045.1"")"
"Capronia coronata CBS 617.96 uncharacterized protein (A1O1_04660), partial mRNA",Capronia coronata CBS 617.96,326,326,99%,1e-106,52.66,1011,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_007725551.1?report=genbank&log$=nucltop&blast_rank=32&RID=ZUKKA6V0016"",""XM_007725551.1"")"
"Aspergillus nomiae NRRL 13137 short-chain dehydrogenase (ANOM_005472), partial mRNA",Aspergillus nomiae NRRL 13137,325,325,99%,1e-106,49.85,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015550729.1?report=genbank&log$=nucltop&blast_rank=33&RID=ZUKKA6V0016"",""XM_015550729.1"")"
"Colletotrichum tamarilloi short-chain dehydrogenase (CTAM01_02181), partial mRNA",Colletotrichum tamarilloi,326,326,100%,1e-106,50.30,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060518220.1?report=genbank&log$=nucltop&blast_rank=34&RID=ZUKKA6V0016"",""XM_060518220.1"")"
"Verticillium nonalfalfae uncharacterized protein (D7B24_007332), partial mRNA",Verticillium nonalfalfae,326,326,99%,1e-106,50.59,1020,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_028641442.1?report=genbank&log$=nucltop&blast_rank=35&RID=ZUKKA6V0016"",""XM_028641442.1"")"
"Colletotrichum orchidophilum short-chain dehydrogenase (CORC01_12182), partial mRNA",Colletotrichum orchidophilum,326,326,100%,1e-106,49.70,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_022623803.1?report=genbank&log$=nucltop&blast_rank=36&RID=ZUKKA6V0016"",""XM_022623803.1"")"
"Colletotrichum spaethianum WW domain-containing oxidoreductase (ColSpa_06631), partial mRNA",Colletotrichum spaethianum,325,325,99%,2e-106,50.90,1011,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_049272843.1?report=genbank&log$=nucltop&blast_rank=37&RID=ZUKKA6V0016"",""XM_049272843.1"")"
"Aspergillus wentii DTO 134E9 uncharacterized protein (ASPWEDRAFT_171048), partial mRNA",Aspergillus wentii DTO 134E9,325,325,99%,2e-106,52.10,1002,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_040830715.1?report=genbank&log$=nucltop&blast_rank=38&RID=ZUKKA6V0016"",""XM_040830715.1"")"
"Colletotrichum navitas short chain dehydrogenase (LY79DRAFT_511425), partial mRNA",Colletotrichum navitas,325,325,100%,2e-106,52.07,1020,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060554266.1?report=genbank&log$=nucltop&blast_rank=39&RID=ZUKKA6V0016"",""XM_060554266.1"")"
"Coniosporium apollinis CBS 100218 uncharacterized protein (W97_03861), partial mRNA",Coniosporium apollinis CBS 100218,325,325,98%,3e-106,49.70,1047,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_007781755.1?report=genbank&log$=nucltop&blast_rank=40&RID=ZUKKA6V0016"",""XM_007781755.1"")"
"Penicillium cosmopolitanum uncharacterized protein (N7509_012004), partial mRNA",Penicillium cosmopolitanum,324,324,99%,4e-106,51.64,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_056636641.1?report=genbank&log$=nucltop&blast_rank=41&RID=ZUKKA6V0016"",""XM_056636641.1"")"
"Aspergillus pseudoviridinutans uncharacterized protein (Asppvi_005998), partial mRNA",Aspergillus pseudoviridinutans,324,324,99%,5e-106,51.50,1005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_043301906.1?report=genbank&log$=nucltop&blast_rank=42&RID=ZUKKA6V0016"",""XM_043301906.1"")"
"Colletotrichum acutatum short-chain dehydrogenase (BDZ83DRAFT_375008), mRNA",Colletotrichum acutatum,329,329,100%,6e-106,50.30,1418,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060502675.1?report=genbank&log$=nucltop&blast_rank=43&RID=ZUKKA6V0016"",""XM_060502675.1"")"
Phaeoacremonium minimum UCRPA7 putative ww domain-containing oxidoreductase protein partial mRNA,Phaeoacremonium minimum UCRPA7,324,324,98%,7e-106,51.34,1020,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_007915167.1?report=genbank&log$=nucltop&blast_rank=44&RID=ZUKKA6V0016"",""XM_007915167.1"")"
"Cercospora beticola uncharacterized protein (RHO25_008607), partial mRNA",Cercospora beticola,324,324,98%,8e-106,50.30,1044,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_023604424.2?report=genbank&log$=nucltop&blast_rank=45&RID=ZUKKA6V0016"",""XM_023604424.2"")"
"Fusarium redolens uncharacterized protein (BKA55DRAFT_545505), partial mRNA",Fusarium redolens,323,323,99%,9e-106,51.79,1014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046190823.1?report=genbank&log$=nucltop&blast_rank=46&RID=ZUKKA6V0016"",""XM_046190823.1"")"
"Fusarium solani uncharacterized protein (MRS44_015299), partial mRNA",Fusarium solani,323,323,98%,1e-105,49.24,1011,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046282673.2?report=genbank&log$=nucltop&blast_rank=47&RID=ZUKKA6V0016"",""XM_046282673.2"")"
"Verruconis gallopava uncharacterized protein (PV09_00259), mRNA",Verruconis gallopava,325,325,99%,1e-105,50.15,1206,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016352973.1?report=genbank&log$=nucltop&blast_rank=48&RID=ZUKKA6V0016"",""XM_016352973.1"")"
"Fusarium flagelliforme uncharacterized protein (B0J16DRAFT_362414), partial mRNA",Fusarium flagelliforme,324,324,98%,1e-105,50.00,1067,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046129806.1?report=genbank&log$=nucltop&blast_rank=49&RID=ZUKKA6V0016"",""XM_046129806.1"")"
"Alternaria arborescens hypothetical protein (AA0111_g7100), partial mRNA",Alternaria arborescens,323,323,99%,1e-105,51.49,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_028653398.1?report=genbank&log$=nucltop&blast_rank=50&RID=ZUKKA6V0016"",""XM_028653398.1"")"
"Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_73270), mRNA",Fusarium vanettenii 77-13-4,326,326,99%,2e-105,50.90,1268,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003039274.1?report=genbank&log$=nucltop&blast_rank=51&RID=ZUKKA6V0016"",""XM_003039274.1"")"
"Alternaria dauci uncharacterized protein (ACET3X_005611), mRNA",Alternaria dauci,325,325,100%,2e-105,52.21,1223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_069451835.1?report=genbank&log$=nucltop&blast_rank=52&RID=ZUKKA6V0016"",""XM_069451835.1"")"
"Aspergillus bombycis short-chain dehydrogenase (ABOM_003809), partial mRNA",Aspergillus bombycis,323,323,99%,2e-105,50.15,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_022530939.1?report=genbank&log$=nucltop&blast_rank=53&RID=ZUKKA6V0016"",""XM_022530939.1"")"
"Pseudogymnoascus verrucosus uncharacterized protein (VE01_01049), mRNA",Pseudogymnoascus verrucosus,328,328,99%,2e-105,53.15,1478,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_018270577.2?report=genbank&log$=nucltop&blast_rank=54&RID=ZUKKA6V0016"",""XM_018270577.2"")"
"Fusarium graminearum PH-1 uncharacterized protein (FGSG_03818), partial mRNA",Fusarium graminearum PH-1,322,322,99%,3e-105,50.75,1011,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_011323565.1?report=genbank&log$=nucltop&blast_rank=55&RID=ZUKKA6V0016"",""XM_011323565.1"")"
"Talaromyces atroroseus hypothetical protein (UA08_04732), partial mRNA",Talaromyces atroroseus,322,322,99%,3e-105,51.80,1005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_020267034.1?report=genbank&log$=nucltop&blast_rank=56&RID=ZUKKA6V0016"",""XM_020267034.1"")"
"Cercospora kikuchii uncharacterized protein (CKM354_000572600), partial mRNA",Cercospora kikuchii,323,323,98%,3e-105,50.00,1044,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_044801008.1?report=genbank&log$=nucltop&blast_rank=57&RID=ZUKKA6V0016"",""XM_044801008.1"")"
"Talaromyces rugulosus uncharacterized protein (TRUGW13939_07664), partial mRNA",Talaromyces rugulosus,322,322,99%,3e-105,53.25,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035490802.1?report=genbank&log$=nucltop&blast_rank=58&RID=ZUKKA6V0016"",""XM_035490802.1"")"
"Penicillium argentinense NAD(P)-binding protein (N7532_011188), partial mRNA",Penicillium argentinense,322,322,99%,3e-105,51.64,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_056623679.1?report=genbank&log$=nucltop&blast_rank=59&RID=ZUKKA6V0016"",""XM_056623679.1"")"
"Fusarium solani uncharacterized protein (MRS44_017670), partial mRNA",Fusarium solani,322,322,99%,3e-105,50.73,1023,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_065615579.1?report=genbank&log$=nucltop&blast_rank=60&RID=ZUKKA6V0016"",""XM_065615579.1"")"
"Fusarium venenatum uncharacterized protein (EDB82DRAFT_481902), mRNA",Fusarium venenatum,328,328,99%,3e-105,50.45,1556,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_025732626.2?report=genbank&log$=nucltop&blast_rank=61&RID=ZUKKA6V0016"",""XM_025732626.2"")"
"Alternaria postmessia uncharacterized protein (J4E82_009418), partial mRNA",Alternaria postmessia,322,322,99%,3e-105,51.49,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_051735643.1?report=genbank&log$=nucltop&blast_rank=62&RID=ZUKKA6V0016"",""XM_051735643.1"")"
Alternaria alternata NAD(P)-binding protein partial mRNA,Alternaria alternata,322,322,99%,3e-105,51.49,1008,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_018527836.1?report=genbank&log$=nucltop&blast_rank=63&RID=ZUKKA6V0016"",""XM_018527836.1"")"
"Fusarium tjaetaba alcohol dehydrogenase (FTJAE_2123), partial mRNA",Fusarium tjaetaba,322,322,99%,3e-105,50.60,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037348285.1?report=genbank&log$=nucltop&blast_rank=64&RID=ZUKKA6V0016"",""XM_037348285.1"")"
"Aspergillus brasiliensis CBS 101740 uncharacterized protein (ASPBRDRAFT_116535), partial mRNA",Aspergillus brasiliensis CBS 101740,322,322,99%,3e-105,51.20,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_067616988.1?report=genbank&log$=nucltop&blast_rank=65&RID=ZUKKA6V0016"",""XM_067616988.1"")"
"Ilyonectria robusta uncharacterized protein (BGZ61DRAFT_540347), partial mRNA",Ilyonectria robusta,322,322,99%,4e-105,51.04,999,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_046254893.1?report=genbank&log$=nucltop&blast_rank=66&RID=ZUKKA6V0016"",""XM_046254893.1"")"
"Botrytis sinoallii uncharacterized protein (EAF02_001463), partial mRNA",Botrytis sinoallii,322,322,99%,4e-105,49.85,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038897511.1?report=genbank&log$=nucltop&blast_rank=67&RID=ZUKKA6V0016"",""XM_038897511.1"")"
"Lasiodiplodia theobromae Short-chain dehydrogenase (LTHEOB_7646), partial mRNA",Lasiodiplodia theobromae,322,322,100%,6e-105,48.51,1023,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_035517035.1?report=genbank&log$=nucltop&blast_rank=68&RID=ZUKKA6V0016"",""XM_035517035.1"")"
"Lindgomyces ingoldianus NAD(P)-binding protein (BDR25DRAFT_303710), mRNA",Lindgomyces ingoldianus,325,325,99%,6e-105,50.00,1354,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033690061.1?report=genbank&log$=nucltop&blast_rank=69&RID=ZUKKA6V0016"",""XM_033690061.1"")"
"Penicillium antarcticum short-chain dehydrogenase (N7508_004660), partial mRNA",Penicillium antarcticum,321,321,98%,7e-105,52.12,984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_058462726.1?report=genbank&log$=nucltop&blast_rank=70&RID=ZUKKA6V0016"",""XM_058462726.1"")"
"Botrytis fragariae putative ww domain-containing oxidoreductase protein (Bfra_009812), partial mRNA",Botrytis fragariae,321,321,99%,8e-105,49.56,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037340150.1?report=genbank&log$=nucltop&blast_rank=71&RID=ZUKKA6V0016"",""XM_037340150.1"")"
"Penicillium macrosclerotiorum uncharacterized protein (N7462_004447), partial mRNA",Penicillium macrosclerotiorum,321,321,100%,1e-104,49.55,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_057076173.1?report=genbank&log$=nucltop&blast_rank=72&RID=ZUKKA6V0016"",""XM_057076173.1"")"
"Aspergillus lentulus short-chain dehydrogenase TIC 32, chloroplastic (IFM58399_05238), partial mRNA",Aspergillus lentulus,321,321,99%,1e-104,51.80,1005,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_033559649.1?report=genbank&log$=nucltop&blast_rank=73&RID=ZUKKA6V0016"",""XM_033559649.1"")"
"Penicillium roqueforti uncharacterized protein (LCP9604111_1080), partial mRNA",Penicillium roqueforti,321,321,98%,1e-104,49.09,1023,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039074527.1?report=genbank&log$=nucltop&blast_rank=74&RID=ZUKKA6V0016"",""XM_039074527.1"")"
"Fusarium solani uncharacterized protein (MRS44_018494), partial mRNA",Fusarium solani,324,324,99%,2e-104,50.60,1350,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_065615973.1?report=genbank&log$=nucltop&blast_rank=75&RID=ZUKKA6V0016"",""XM_065615973.1"")"
"Fusarium pseudograminearum CS3096 uncharacterized protein (FPSE_04556), partial mRNA",Fusarium pseudograminearum CS3096,320,320,99%,2e-104,50.30,1011,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009257674.1?report=genbank&log$=nucltop&blast_rank=76&RID=ZUKKA6V0016"",""XM_009257674.1"")"
"Fusarium subglutinans alcohol dehydrogenase (FSUBG_8857), partial mRNA",Fusarium subglutinans,320,320,99%,2e-104,50.60,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_036687307.1?report=genbank&log$=nucltop&blast_rank=77&RID=ZUKKA6V0016"",""XM_036687307.1"")"
"Botrytis byssoidea uncharacterized protein (EAE97_011604), partial mRNA",Botrytis byssoidea,320,320,99%,2e-104,50.15,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038882119.1?report=genbank&log$=nucltop&blast_rank=78&RID=ZUKKA6V0016"",""XM_038882119.1"")"
"Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_270284), partial mRNA",Fusarium oxysporum Fo47,320,320,99%,2e-104,51.80,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_054703595.1?report=genbank&log$=nucltop&blast_rank=79&RID=ZUKKA6V0016"",""XM_054703595.1"")"
"Verticillium dahliae VdLs.17 WW domain-containing oxidoreductase (VDAG_09151), partial mRNA",Verticillium dahliae VdLs.17,320,320,99%,2e-104,52.24,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_009655453.1?report=genbank&log$=nucltop&blast_rank=80&RID=ZUKKA6V0016"",""XM_009655453.1"")"
"Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_53150), partial mRNA",Fusarium vanettenii 77-13-4,320,320,98%,2e-104,48.64,1011,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_003041813.1?report=genbank&log$=nucltop&blast_rank=81&RID=ZUKKA6V0016"",""XM_003041813.1"")"
"Fusarium fujikuroi IMI 58289 related to reductases (FFUJ_10645), partial mRNA",Fusarium fujikuroi IMI 58289,320,320,99%,3e-104,50.30,996,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_023569453.1?report=genbank&log$=nucltop&blast_rank=82&RID=ZUKKA6V0016"",""XM_023569453.1"")"
"Botrytis deweyae uncharacterized protein (EAE98_007225), partial mRNA",Botrytis deweyae,320,320,99%,3e-104,49.56,1017,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_038954848.1?report=genbank&log$=nucltop&blast_rank=83&RID=ZUKKA6V0016"",""XM_038954848.1"")"
