Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Oryza sativa Japonica Group short-chain dehydrogenase TIC 32, chloroplastic (LOC4347912), mRNA; nuclear gene for chloroplast product",Oryza sativa Japonica Group,164,164,88%,6e-44,36.45,1284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NM_001422957.1?report=genbank&log$=nucltop&blast_rank=30&RID=ZV48DA1N016"",""NM_001422957.1"")"
"PREDICTED: Malus sylvestris short-chain dehydrogenase TIC 32, chloroplastic-like (LOC126629238), transcript variant X1, mRNA",Malus sylvestris,163,163,93%,8e-44,35.02,1233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050299205.1?report=genbank&log$=nucltop&blast_rank=31&RID=ZV48DA1N016"",""XM_050299205.1"")"
"PREDICTED: Malus domestica short-chain dehydrogenase TIC 32, chloroplastic-like (LOC114826170), mRNA",Malus domestica,163,163,93%,9e-44,35.02,1235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_029106168.2?report=genbank&log$=nucltop&blast_rank=32&RID=ZV48DA1N016"",""XM_029106168.2"")"
"PREDICTED: Lolium perenne short-chain dehydrogenase TIC 32, chloroplastic (LOC127294149), mRNA",Lolium perenne,163,163,87%,9e-44,38.44,1255,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_051323903.2?report=genbank&log$=nucltop&blast_rank=33&RID=ZV48DA1N016"",""XM_051323903.2"")"
"PREDICTED: Oryza brachyantha short-chain dehydrogenase TIC 32, chloroplastic-like (LOC102710737), mRNA",Oryza brachyantha,162,162,87%,1e-43,37.07,1210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006662721.2?report=genbank&log$=nucltop&blast_rank=34&RID=ZV48DA1N016"",""XM_006662721.2"")"
"PREDICTED: Lolium rigidum short-chain dehydrogenase TIC 32, chloroplastic-like (LOC124703394), mRNA",Lolium rigidum,163,163,93%,1e-43,37.22,1264,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_047235610.1?report=genbank&log$=nucltop&blast_rank=35&RID=ZV48DA1N016"",""XM_047235610.1"")"
"PREDICTED: Ananas comosus short-chain dehydrogenase TIC 32, chloroplastic-like (LOC109723264), transcript variant X1, mRNA",Ananas comosus,165,165,87%,1e-43,36.24,1529,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_020251580.1?report=genbank&log$=nucltop&blast_rank=36&RID=ZV48DA1N016"",""XM_020251580.1"")"
"PREDICTED: Spinacia oleracea short-chain dehydrogenase TIC 32 B, chloroplastic (LOC110806094), mRNA",Spinacia oleracea,164,164,87%,1e-43,37.63,1369,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_022011733.2?report=genbank&log$=nucltop&blast_rank=37&RID=ZV48DA1N016"",""XM_022011733.2"")"
"PREDICTED: Ananas comosus short-chain dehydrogenase TIC 32, chloroplastic-like (LOC109723264), transcript variant X2, mRNA",Ananas comosus,164,164,87%,1e-43,36.24,1522,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_020251581.1?report=genbank&log$=nucltop&blast_rank=38&RID=ZV48DA1N016"",""XM_020251581.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC121989182), mRNA",Zingiber officinale,163,163,95%,1e-43,37.92,1323,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042543064.1?report=genbank&log$=nucltop&blast_rank=39&RID=ZV48DA1N016"",""XM_042543064.1"")"
"PREDICTED: Ananas comosus short-chain dehydrogenase TIC 32, chloroplastic-like (LOC109723264), transcript variant X4, mRNA",Ananas comosus,162,162,95%,2e-43,35.26,1245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_020251583.1?report=genbank&log$=nucltop&blast_rank=40&RID=ZV48DA1N016"",""XM_020251583.1"")"
"PREDICTED: Hibiscus syriacus short-chain dehydrogenase TIC 32, chloroplastic-like (LOC120157419), mRNA",Hibiscus syriacus,161,161,96%,2e-43,33.84,1105,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_039168541.1?report=genbank&log$=nucltop&blast_rank=41&RID=ZV48DA1N016"",""XM_039168541.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC122056664), mRNA",Zingiber officinale,164,164,95%,3e-43,37.54,1491,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042618720.1?report=genbank&log$=nucltop&blast_rank=42&RID=ZV48DA1N016"",""XM_042618720.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC122052179), transcript variant X1, mRNA",Zingiber officinale,163,163,95%,3e-43,37.54,1427,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042613584.1?report=genbank&log$=nucltop&blast_rank=43&RID=ZV48DA1N016"",""XM_042613584.1"")"
"PREDICTED: Malus sylvestris short-chain dehydrogenase TIC 32, chloroplastic-like (LOC126629241), mRNA",Malus sylvestris,161,161,93%,3e-43,34.70,1201,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050299211.1?report=genbank&log$=nucltop&blast_rank=44&RID=ZV48DA1N016"",""XM_050299211.1"")"
"PREDICTED: Lolium rigidum short-chain dehydrogenase TIC 32, chloroplastic-like (LOC124703574), mRNA",Lolium rigidum,160,160,87%,3e-43,38.44,1108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_047235783.1?report=genbank&log$=nucltop&blast_rank=45&RID=ZV48DA1N016"",""XM_047235783.1"")"
"PREDICTED: Setaria viridis short-chain dehydrogenase TIC 32, chloroplastic (LOC117833727), transcript variant X1, mRNA",Setaria viridis,162,162,87%,3e-43,36.82,1269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_034713326.2?report=genbank&log$=nucltop&blast_rank=46&RID=ZV48DA1N016"",""XM_034713326.2"")"
"PREDICTED: Lolium rigidum short-chain dehydrogenase TIC 32, chloroplastic-like (LOC124691261), transcript variant X2, mRNA",Lolium rigidum,160,160,87%,3e-43,35.91,1051,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_047224535.1?report=genbank&log$=nucltop&blast_rank=47&RID=ZV48DA1N016"",""XM_047224535.1"")"
"PREDICTED: Phalaenopsis equestris short-chain dehydrogenase TIC 32, chloroplastic-like (LOC110019440), mRNA",Phalaenopsis equestris,161,161,87%,4e-43,36.15,1183,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_020717102.1?report=genbank&log$=nucltop&blast_rank=48&RID=ZV48DA1N016"",""XM_020717102.1"")"
"PREDICTED: Oryza brachyantha short-chain dehydrogenase TIC 32, chloroplastic-like (LOC102700752), mRNA",Oryza brachyantha,164,164,86%,4e-43,38.91,1599,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_006663197.3?report=genbank&log$=nucltop&blast_rank=49&RID=ZV48DA1N016"",""XM_006663197.3"")"
"PREDICTED: Gossypium hirsutum short-chain dehydrogenase TIC 32, chloroplastic (LOC107901446), transcript variant X1, mRNA",Gossypium hirsutum,162,162,93%,5e-43,34.80,1384,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_016827463.2?report=genbank&log$=nucltop&blast_rank=50&RID=ZV48DA1N016"",""XM_016827463.2"")"
"PREDICTED: Setaria italica short-chain dehydrogenase TIC 32, chloroplastic (LOC101786015), mRNA",Setaria italica,162,162,87%,6e-43,36.82,1375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_004978803.4?report=genbank&log$=nucltop&blast_rank=51&RID=ZV48DA1N016"",""XM_004978803.4"")"
"PREDICTED: Lolium rigidum short-chain dehydrogenase TIC 32, chloroplastic-like (LOC124691277), mRNA",Lolium rigidum,160,160,87%,7e-43,35.91,1214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_047224553.1?report=genbank&log$=nucltop&blast_rank=52&RID=ZV48DA1N016"",""XM_047224553.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC122052182), mRNA",Zingiber officinale,162,162,87%,7e-43,38.64,1378,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042613588.1?report=genbank&log$=nucltop&blast_rank=53&RID=ZV48DA1N016"",""XM_042613588.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC122056666), mRNA",Zingiber officinale,162,162,87%,7e-43,38.64,1375,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042618722.1?report=genbank&log$=nucltop&blast_rank=54&RID=ZV48DA1N016"",""XM_042618722.1"")"
"PREDICTED: Amborella trichopoda short-chain dehydrogenase TIC 32, chloroplastic (LOC18422853), transcript variant X1, mRNA",Amborella trichopoda,161,161,93%,8e-43,36.68,1342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_011626640.2?report=genbank&log$=nucltop&blast_rank=55&RID=ZV48DA1N016"",""XM_011626640.2"")"
"PREDICTED: Triticum aestivum short-chain dehydrogenase TIC 32, chloroplastic-like (LOC123087429), mRNA",Triticum aestivum,161,161,88%,8e-43,36.54,1367,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_044509433.1?report=genbank&log$=nucltop&blast_rank=56&RID=ZV48DA1N016"",""XM_044509433.1"")"
"PREDICTED: Pyrus x bretschneideri short-chain dehydrogenase TIC 32, chloroplastic-like (LOC103942459), transcript variant X1, mRNA",Pyrus x bretschneideri,160,160,95%,9e-43,34.67,1278,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_048565595.1?report=genbank&log$=nucltop&blast_rank=57&RID=ZV48DA1N016"",""XM_048565595.1"")"
"PREDICTED: Gossypium arboreum short-chain dehydrogenase TIC 32, chloroplastic-like (LOC108456666), mRNA",Gossypium arboreum,161,161,95%,9e-43,34.77,1342,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_017755238.2?report=genbank&log$=nucltop&blast_rank=58&RID=ZV48DA1N016"",""XM_017755238.2"")"
"PREDICTED: Triticum dicoccoides short-chain dehydrogenase TIC 32, chloroplastic-like (LOC119287219), mRNA",Triticum dicoccoides,161,161,88%,9e-43,36.54,1374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_037566744.1?report=genbank&log$=nucltop&blast_rank=59&RID=ZV48DA1N016"",""XM_037566744.1"")"
Picea glauca clone GQ03309_D19 mRNA sequence,Picea glauca,163,163,87%,1e-42,38.85,1660,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/BT112050.1?report=genbank&log$=nucltop&blast_rank=60&RID=ZV48DA1N016"",""BT112050.1"")"
"PREDICTED: Ricinus communis short-chain dehydrogenase TIC 32, chloroplastic (LOC8280994), transcript variant X4, mRNA",Ricinus communis,162,162,87%,1e-42,35.93,1449,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015715781.3?report=genbank&log$=nucltop&blast_rank=61&RID=ZV48DA1N016"",""XM_015715781.3"")"
"PREDICTED: Nicotiana attenuata short-chain dehydrogenase TIC 32, chloroplastic-like (LOC109209164), mRNA",Nicotiana attenuata,161,161,87%,1e-42,36.61,1347,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_019372374.1?report=genbank&log$=nucltop&blast_rank=62&RID=ZV48DA1N016"",""XM_019372374.1"")"
"PREDICTED: Dendrobium catenatum short-chain dehydrogenase TIC 32, chloroplastic (LOC110106329), transcript variant X1, mRNA",Dendrobium catenatum,160,160,95%,1e-42,38.15,1277,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_020836196.2?report=genbank&log$=nucltop&blast_rank=63&RID=ZV48DA1N016"",""XM_020836196.2"")"
"PREDICTED: Prunus dulcis short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC117631217), mRNA",Prunus dulcis,159,159,87%,1e-42,37.16,1115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_034364246.1?report=genbank&log$=nucltop&blast_rank=64&RID=ZV48DA1N016"",""XM_034364246.1"")"
"PREDICTED: Cynara cardunculus var. scolymus short-chain dehydrogenase TIC 32, chloroplastic-like (LOC112524629), mRNA",Cynara cardunculus var. scolymus,160,160,87%,1e-42,36.36,1275,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_025134550.1?report=genbank&log$=nucltop&blast_rank=65&RID=ZV48DA1N016"",""XM_025134550.1"")"
"Oryza sativa (indica cultivar-group) cDNA clone:OSIGCSA002B17, full insert sequence",Oryza sativa Indica Group,160,160,87%,1e-42,37.37,1243,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CT829986.1?report=genbank&log$=nucltop&blast_rank=66&RID=ZV48DA1N016"",""CT829986.1"")"
"PREDICTED: Malus sylvestris short-chain dehydrogenase TIC 32, chloroplastic-like (LOC126629238), transcript variant X2, mRNA",Malus sylvestris,160,160,93%,1e-42,34.70,1235,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_050299206.1?report=genbank&log$=nucltop&blast_rank=67&RID=ZV48DA1N016"",""XM_050299206.1"")"
"PREDICTED: Oryza sativa Japonica Group short-chain dehydrogenase TIC 32, chloroplastic (LOC4349944), mRNA",Oryza sativa Japonica Group,160,160,87%,1e-42,37.37,1241,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_015759644.3?report=genbank&log$=nucltop&blast_rank=68&RID=ZV48DA1N016"",""XM_015759644.3"")"
"Oryza sativa Japonica Group cDNA clone:001-104-G08, full insert sequence",Oryza sativa Japonica Group,160,160,87%,1e-42,37.37,1240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AK062546.1?report=genbank&log$=nucltop&blast_rank=69&RID=ZV48DA1N016"",""AK062546.1"")"
"PREDICTED: Lactuca sativa short-chain dehydrogenase TIC 32, chloroplastic (LOC111887353), mRNA",Lactuca sativa,160,160,87%,1e-42,36.03,1265,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_023883520.3?report=genbank&log$=nucltop&blast_rank=70&RID=ZV48DA1N016"",""XM_023883520.3"")"
"PREDICTED: Pyrus communis short-chain dehydrogenase TIC 32, chloroplastic-like (LOC137733533), transcript variant X1, mRNA",Pyrus communis,160,160,95%,1e-42,34.67,1256,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_068472676.1?report=genbank&log$=nucltop&blast_rank=71&RID=ZV48DA1N016"",""XM_068472676.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC121985207), mRNA",Zingiber officinale,160,160,96%,2e-42,36.36,1286,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042538512.1?report=genbank&log$=nucltop&blast_rank=72&RID=ZV48DA1N016"",""XM_042538512.1"")"
"PREDICTED: Ananas comosus short-chain dehydrogenase TIC 32, chloroplastic-like (LOC109703612), mRNA",Ananas comosus,160,160,87%,2e-42,36.03,1269,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_020224296.1?report=genbank&log$=nucltop&blast_rank=73&RID=ZV48DA1N016"",""XM_020224296.1"")"
"PREDICTED: Lupinus angustifolius short-chain dehydrogenase TIC 32, chloroplastic (LOC109335934), mRNA",Lupinus angustifolius,159,159,93%,2e-42,34.59,1193,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_019572210.1?report=genbank&log$=nucltop&blast_rank=74&RID=ZV48DA1N016"",""XM_019572210.1"")"
"Arabidopsis thaliana At4g23430 mRNA, complete cds",Arabidopsis thaliana,157,157,94%,2e-42,33.64,969,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/BT030011.1?report=genbank&log$=nucltop&blast_rank=75&RID=ZV48DA1N016"",""BT030011.1"")"
"PREDICTED: Zingiber officinale short-chain dehydrogenase TIC 32 B, chloroplastic-like (LOC122052180), mRNA",Zingiber officinale,158,158,95%,2e-42,35.49,1097,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_042613586.1?report=genbank&log$=nucltop&blast_rank=76&RID=ZV48DA1N016"",""XM_042613586.1"")"
"PREDICTED: Herrania umbratica short-chain dehydrogenase TIC 32, chloroplastic-like (LOC110410770), mRNA",Herrania umbratica,161,161,96%,2e-42,34.25,1456,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_021420634.1?report=genbank&log$=nucltop&blast_rank=77&RID=ZV48DA1N016"",""XM_021420634.1"")"
