Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Streptomyces lincolnensis strain B48 chromosome, complete genome",Streptomyces lincolnensis,224,648,95%,2e-61,40.60,10008966,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP046024.1?report=genbank&log$=nucltop&blast_rank=18&RID=ZV4CMEA8016"",""CP046024.1"")"
Streptomyces lincolnensis strain NRRL 2936 chromosome,Streptomyces lincolnensis,224,648,95%,2e-61,40.60,10319054,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP016438.1?report=genbank&log$=nucltop&blast_rank=19&RID=ZV4CMEA8016"",""CP016438.1"")"
"Streptomyces sp. HP-A2021 chromosome, complete genome",Streptomyces sp. HP-A2021,224,419,96%,2e-61,41.23,9607552,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP094344.1?report=genbank&log$=nucltop&blast_rank=20&RID=ZV4CMEA8016"",""CP094344.1"")"
"Acaryochloris marina MBIC10699 DNA, complete genome",Acaryochloris marina MBIC10699,223,555,95%,6e-61,40.13,6415507,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP026075.1?report=genbank&log$=nucltop&blast_rank=21&RID=ZV4CMEA8016"",""AP026075.1"")"
"Acaryochloris marina MBIC11017, complete genome",Acaryochloris marina MBIC11017,223,555,95%,6e-61,40.13,6503724,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP000828.1?report=genbank&log$=nucltop&blast_rank=22&RID=ZV4CMEA8016"",""CP000828.1"")"
"Deinococcus sp. AJ005 chromosome, complete genome",Deinococcus sp. AJ005,223,487,96%,7e-61,41.64,3380712,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP044990.1?report=genbank&log$=nucltop&blast_rank=23&RID=ZV4CMEA8016"",""CP044990.1"")"
"Streptomyces europaeiscabiei strain NBC_00515 chromosome, complete genome",Streptomyces europaeiscabiei,223,472,95%,1e-60,40.80,10755582,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107841.1?report=genbank&log$=nucltop&blast_rank=24&RID=ZV4CMEA8016"",""CP107841.1"")"
"Streptomyces europaeiscabiei strain NBC_00363 chromosome, complete genome",Streptomyces europaeiscabiei,223,472,95%,1e-60,40.80,10757626,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107972.1?report=genbank&log$=nucltop&blast_rank=25&RID=ZV4CMEA8016"",""CP107972.1"")"
"Caulobacter segnis strain TK0059 chromosome, complete genome",Caulobacter segnis,222,546,98%,1e-60,40.43,4655467,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP027850.1?report=genbank&log$=nucltop&blast_rank=26&RID=ZV4CMEA8016"",""CP027850.1"")"
"Caulobacter segnis ATCC 21756, complete genome",Caulobacter segnis ATCC 21756,222,546,98%,1e-60,40.43,4655622,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP002008.1?report=genbank&log$=nucltop&blast_rank=27&RID=ZV4CMEA8016"",""CP002008.1"")"
"Streptomyces aurantiacus strain Qhu-M197 chromosome, complete genome",Streptomyces aurantiacus,222,516,95%,1e-60,40.62,9539225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP114283.1?report=genbank&log$=nucltop&blast_rank=28&RID=ZV4CMEA8016"",""CP114283.1"")"
"PREDICTED: Hydra vulgaris probable oxidoreductase (LOC100206727), transcript variant X3, mRNA",Hydra vulgaris,209,209,93%,1e-60,38.94,1169,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_004211763.4?report=genbank&log$=nucltop&blast_rank=29&RID=ZV4CMEA8016"",""XM_004211763.4"")"
"PREDICTED: Hydra vulgaris uncharacterized LOC105849526 (LOC105849526), mRNA",Hydra vulgaris,211,211,92%,2e-60,38.80,1300,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_047273827.2?report=genbank&log$=nucltop&blast_rank=30&RID=ZV4CMEA8016"",""XM_047273827.2"")"
"Sphingomonas sp. S2-65 chromosome, complete genome",Sphingomonas sp. S2-65,221,325,90%,2e-60,42.62,3797930,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP090953.1?report=genbank&log$=nucltop&blast_rank=31&RID=ZV4CMEA8016"",""CP090953.1"")"
"Streptomyces europaeiscabiei strain NBC_00497 chromosome, complete genome",Streptomyces europaeiscabiei,221,341,95%,2e-60,40.80,10906898,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107863.1?report=genbank&log$=nucltop&blast_rank=32&RID=ZV4CMEA8016"",""CP107863.1"")"
"Streptomyces europaeiscabiei strain NBC_00494 chromosome, complete genome",Streptomyces europaeiscabiei,221,341,95%,3e-60,40.80,11363729,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107866.1?report=genbank&log$=nucltop&blast_rank=33&RID=ZV4CMEA8016"",""CP107866.1"")"
"MAG: Cellvibrionales bacterium isolate NCC532_bact_1677 chromosome, complete genome",Cellvibrionales bacterium,221,362,93%,3e-60,42.81,3621925,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP121321.1?report=genbank&log$=nucltop&blast_rank=34&RID=ZV4CMEA8016"",""CP121321.1"")"
"PREDICTED: Hydra vulgaris probable oxidoreductase (LOC100206727), transcript variant X2, mRNA",Hydra vulgaris,209,209,93%,3e-60,38.94,1253,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002160372.5?report=genbank&log$=nucltop&blast_rank=35&RID=ZV4CMEA8016"",""XM_002160372.5"")"
"Streptomyces graminofaciens A-8890 DNA, nearly complete genome",Streptomyces graminofaciens,221,493,95%,4e-60,40.49,11602651,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP018448.1?report=genbank&log$=nucltop&blast_rank=36&RID=ZV4CMEA8016"",""AP018448.1"")"
"Sphingopyxis sp. USTB-05 chromosome, complete genome",Sphingopyxis sp. USTB-05,221,335,94%,4e-60,39.52,4679489,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP084712.1?report=genbank&log$=nucltop&blast_rank=37&RID=ZV4CMEA8016"",""CP084712.1"")"
"PREDICTED: Hydra vulgaris probable oxidoreductase (LOC100206727), transcript variant X1, mRNA",Hydra vulgaris,209,209,93%,4e-60,38.94,1282,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002160398.5?report=genbank&log$=nucltop&blast_rank=38&RID=ZV4CMEA8016"",""XM_002160398.5"")"
"Rhizobium sp. BT04 chromosome, complete genome",Rhizobium sp. BT04,220,220,96%,7e-60,39.26,4676374,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP125652.1?report=genbank&log$=nucltop&blast_rank=39&RID=ZV4CMEA8016"",""CP125652.1"")"
"MAG: Candidatus Azotimanducaceae bacterium isolate 6c3cbb43-d816-42a9-b97b-2acc9adc6924 genome assembly, chromosome: 1",Candidatus Azotimanducaceae bacterium,220,363,92%,8e-60,42.35,5015856,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/OZ244212.1?report=genbank&log$=nucltop&blast_rank=40&RID=ZV4CMEA8016"",""OZ244212.1"")"
"uncultured Sphingopyxis sp. isolate UC10 genome assembly, chromosome: SPPYR",uncultured Sphingopyxis sp.,220,519,94%,8e-60,39.32,4139859,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LT598653.1?report=genbank&log$=nucltop&blast_rank=41&RID=ZV4CMEA8016"",""LT598653.1"")"
"Terriglobus saanensis SP1PR4, complete genome",Terriglobus saanensis SP1PR4,220,491,94%,8e-60,42.59,5095226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP002467.1?report=genbank&log$=nucltop&blast_rank=42&RID=ZV4CMEA8016"",""CP002467.1"")"
"Sphingobium sp. AP49 chromosome, complete genome",Sphingobium sp. AP49,220,384,92%,9e-60,42.09,4506188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP124576.1?report=genbank&log$=nucltop&blast_rank=43&RID=ZV4CMEA8016"",""CP124576.1"")"
"Streptomyces europaeiscabiei strain NBC_00514 chromosome, complete genome",Streptomyces europaeiscabiei,219,339,95%,1e-59,40.49,10588014,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107844.1?report=genbank&log$=nucltop&blast_rank=44&RID=ZV4CMEA8016"",""CP107844.1"")"
"Streptomyces europaeiscabiei strain NBC_00480 chromosome, complete genome",Streptomyces europaeiscabiei,219,339,95%,1e-59,40.49,11915655,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107883.1?report=genbank&log$=nucltop&blast_rank=45&RID=ZV4CMEA8016"",""CP107883.1"")"
"Rhizobium leguminosarum strain Vaf12 chromosome, complete genome",Rhizobium leguminosarum,219,567,97%,1e-59,39.54,5090627,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP171844.1?report=genbank&log$=nucltop&blast_rank=46&RID=ZV4CMEA8016"",""CP171844.1"")"
"Sphingomonas sp. CL5.1 chromosome, complete genome",Sphingomonas sp. CL5.1,219,219,92%,1e-59,41.08,4441086,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP050137.1?report=genbank&log$=nucltop&blast_rank=47&RID=ZV4CMEA8016"",""CP050137.1"")"
"Caulobacter sp. UC70_42 chromosome, complete genome",Caulobacter sp. UC70_42,219,531,95%,2e-59,40.12,5544056,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP171994.1?report=genbank&log$=nucltop&blast_rank=48&RID=ZV4CMEA8016"",""CP171994.1"")"
"PREDICTED: Ruditapes philippinarum retinol dehydrogenase 12-like (LOC132718577), transcript variant X2, mRNA",Ruditapes philippinarum,210,210,88%,2e-59,41.22,1540,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060702294.1?report=genbank&log$=nucltop&blast_rank=49&RID=ZV4CMEA8016"",""XM_060702294.1"")"
"Granulicella sp. WH15 chromosome, complete genome",Granulicella sp. WH15,219,532,91%,2e-59,42.90,4673153,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP042596.1?report=genbank&log$=nucltop&blast_rank=50&RID=ZV4CMEA8016"",""CP042596.1"")"
Paracoccus denitrificans strain R-1 chromosome 2,Paracoccus denitrificans,218,218,92%,2e-59,41.01,1720549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP087987.1?report=genbank&log$=nucltop&blast_rank=51&RID=ZV4CMEA8016"",""CP087987.1"")"
"PREDICTED: Ruditapes philippinarum retinol dehydrogenase 13-like (LOC132751684), transcript variant X1, mRNA",Ruditapes philippinarum,210,210,88%,2e-59,41.22,1614,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_060741902.1?report=genbank&log$=nucltop&blast_rank=52&RID=ZV4CMEA8016"",""XM_060741902.1"")"
"Rhizobium laguerreae strain WSM1455 chromosome, complete genome",Rhizobium laguerreae,218,390,97%,2e-59,40.11,4819348,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP088090.1?report=genbank&log$=nucltop&blast_rank=53&RID=ZV4CMEA8016"",""CP088090.1"")"
"Asaia bogorensis NBRC 16594 DNA, complete genome",Asaia bogorensis NBRC 16594,218,313,98%,3e-59,40.76,3198265,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP014690.1?report=genbank&log$=nucltop&blast_rank=54&RID=ZV4CMEA8016"",""AP014690.1"")"
"PREDICTED: Hydra vulgaris probable oxidoreductase (LOC100200689), transcript variant X1, mRNA",Hydra vulgaris,207,207,93%,3e-59,37.38,1280,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_047275533.2?report=genbank&log$=nucltop&blast_rank=55&RID=ZV4CMEA8016"",""XM_047275533.2"")"
"Caulobacter mirabilis strain FWC 38 chromosome, complete genome",Caulobacter mirabilis,218,412,95%,3e-59,39.63,4577265,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP024201.1?report=genbank&log$=nucltop&blast_rank=56&RID=ZV4CMEA8016"",""CP024201.1"")"
"Streptomyces sp. NBC_00310 chromosome, complete genome",Streptomyces sp. NBC_00310,218,480,95%,3e-59,40.00,10667068,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP130714.1?report=genbank&log$=nucltop&blast_rank=57&RID=ZV4CMEA8016"",""CP130714.1"")"
"Streptomyces sp. NBC_00104 chromosome, complete genome",Streptomyces sp. NBC_00104,218,615,95%,3e-59,40.00,10684609,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP108215.1?report=genbank&log$=nucltop&blast_rank=58&RID=ZV4CMEA8016"",""CP108215.1"")"
"Streptomyces sp. NBC_00487 chromosome, complete genome",Streptomyces sp. NBC_00487,218,480,95%,3e-59,40.00,10744805,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107877.1?report=genbank&log$=nucltop&blast_rank=59&RID=ZV4CMEA8016"",""CP107877.1"")"
"Paraburkholderia aromaticivorans strain BN5 plasmid pBN1, complete sequence",Paraburkholderia aromaticivorans,218,346,91%,3e-59,41.96,664981,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP022991.1?report=genbank&log$=nucltop&blast_rank=60&RID=ZV4CMEA8016"",""CP022991.1"")"
"Methylovirgula ligni strain BW863 chromosome, complete genome",Methylovirgula ligni,218,340,98%,4e-59,41.72,3298588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP025086.1?report=genbank&log$=nucltop&blast_rank=61&RID=ZV4CMEA8016"",""CP025086.1"")"
"MAG: Candidatus Sphingomonas phytovorans isolate MAG_3606 chromosome, complete genome",Candidatus Sphingomonas phytovorans,218,218,89%,4e-59,41.97,5454146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP119314.1?report=genbank&log$=nucltop&blast_rank=62&RID=ZV4CMEA8016"",""CP119314.1"")"
"Sphingopyxis fribergensis strain Kp5.2, complete genome",Sphingopyxis fribergensis,218,620,98%,4e-59,40.43,4993584,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP009122.1?report=genbank&log$=nucltop&blast_rank=63&RID=ZV4CMEA8016"",""CP009122.1"")"
"PREDICTED: Hydra vulgaris probable oxidoreductase (LOC100198993), transcript variant X1, mRNA",Hydra vulgaris,207,207,93%,4e-59,38.24,1313,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_002158959.5?report=genbank&log$=nucltop&blast_rank=64&RID=ZV4CMEA8016"",""XM_002158959.5"")"
"Stenotrophomonas sp. 59 chromosome, complete genome",Stenotrophomonas sp. 59,218,218,92%,4e-59,41.46,4602113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP127408.1?report=genbank&log$=nucltop&blast_rank=65&RID=ZV4CMEA8016"",""CP127408.1"")"
"Pseudoxanthomonas sp. JBR18 chromosome, complete genome",Pseudoxanthomonas sp. JBR18,218,546,94%,4e-59,41.90,4596555,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP116339.1?report=genbank&log$=nucltop&blast_rank=66&RID=ZV4CMEA8016"",""CP116339.1"")"
Sphingopyxis sp. BSN-002 chromosome,Sphingopyxis sp. BSN-002,218,342,94%,5e-59,40.56,3732198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP091804.1?report=genbank&log$=nucltop&blast_rank=67&RID=ZV4CMEA8016"",""CP091804.1"")"
"Phenylobacterium montanum strain S6 chromosome, complete genome",Phenylobacterium montanum,218,310,95%,5e-59,42.72,5553470,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP073078.1?report=genbank&log$=nucltop&blast_rank=68&RID=ZV4CMEA8016"",""CP073078.1"")"
Streptomyces sp. NBC_00481 chromosome,Streptomyces sp. NBC_00481,217,765,95%,6e-59,40.00,10379698,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107882.1?report=genbank&log$=nucltop&blast_rank=69&RID=ZV4CMEA8016"",""CP107882.1"")"
"Streptomyces sp. NBC_00391 chromosome, complete genome",Streptomyces sp. NBC_00391,217,906,95%,6e-59,40.00,10628885,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP107944.1?report=genbank&log$=nucltop&blast_rank=70&RID=ZV4CMEA8016"",""CP107944.1"")"
"Rhizobium leguminosarum strain Norway chromosome, complete genome",Rhizobium leguminosarum,217,569,97%,6e-59,39.26,4906123,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP025012.1?report=genbank&log$=nucltop&blast_rank=71&RID=ZV4CMEA8016"",""CP025012.1"")"
"Streptomyces sp. NBC_00024 chromosome, complete genome",Streptomyces sp. NBC_00024,217,615,95%,6e-59,40.00,11459578,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP108298.1?report=genbank&log$=nucltop&blast_rank=72&RID=ZV4CMEA8016"",""CP108298.1"")"
Capsaspora owczarzaki ATCC 30864 oxidoreductase mRNA,Capsaspora owczarzaki ATCC 30864,205,205,88%,7e-59,42.00,1141,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_004345078.2?report=genbank&log$=nucltop&blast_rank=73&RID=ZV4CMEA8016"",""XM_004345078.2"")"
"Rhizobium sp. MJ22 chromosome, complete genome",Rhizobium sp. MJ22,217,217,96%,7e-59,38.97,4590180,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP118687.1?report=genbank&log$=nucltop&blast_rank=74&RID=ZV4CMEA8016"",""CP118687.1"")"
"Edaphobacter sp. 12200R-103 chromosome, complete genome",Edaphobacter sp. 12200R-103,217,346,91%,8e-59,40.63,4554841,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP048114.1?report=genbank&log$=nucltop&blast_rank=75&RID=ZV4CMEA8016"",""CP048114.1"")"
"Deinococcus swuensis strain DY59, complete genome",Deinococcus radiopugnans,216,333,96%,1e-58,42.07,3531443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP010028.1?report=genbank&log$=nucltop&blast_rank=76&RID=ZV4CMEA8016"",""CP010028.1"")"
"Rhizobium leguminosarum bv. trifolii WSM1325 chromosome, complete genome",Rhizobium leguminosarum bv. trifolii WSM1325,216,569,97%,1e-58,39.60,4767043,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP001622.1?report=genbank&log$=nucltop&blast_rank=77&RID=ZV4CMEA8016"",""CP001622.1"")"
"Deinococcus sp. D7000 chromosome, complete genome",Deinococcus sp. D7000,216,334,96%,1e-58,42.07,3492515,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP058534.1?report=genbank&log$=nucltop&blast_rank=78&RID=ZV4CMEA8016"",""CP058534.1"")"
Capsaspora owczarzaki ATCC 30864 short-chain dehydrogenase/reductase SDR partial mRNA,Capsaspora owczarzaki ATCC 30864,202,202,88%,1e-58,42.00,984,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XM_004345254.1?report=genbank&log$=nucltop&blast_rank=79&RID=ZV4CMEA8016"",""XM_004345254.1"")"
"Rhizobium tumorigenes strain 932 plasmid pRt932, complete sequence",Rhizobium tumorigenes,216,216,93%,2e-58,38.75,756443,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP117262.1?report=genbank&log$=nucltop&blast_rank=80&RID=ZV4CMEA8016"",""CP117262.1"")"
"Rhizobium tumorigenes strain 1078 plasmid pRt1078, complete sequence",Rhizobium tumorigenes,216,216,93%,2e-58,38.75,834411,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP117256.1?report=genbank&log$=nucltop&blast_rank=81&RID=ZV4CMEA8016"",""CP117256.1"")"
"Lichenicola cladoniae strain PAMC 26569 chromosome, complete genome",Lichenicola cladoniae,216,380,93%,2e-58,39.18,4799761,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP053708.1?report=genbank&log$=nucltop&blast_rank=82&RID=ZV4CMEA8016"",""CP053708.1"")"
"Rhizobium leguminosarum strain OyaliB chromosome, complete genome",Rhizobium leguminosarum,216,391,97%,2e-58,38.97,4851563,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP071399.1?report=genbank&log$=nucltop&blast_rank=83&RID=ZV4CMEA8016"",""CP071399.1"")"
"Sphingomonas alpina strain DSM 22537 chromosome, complete genome",Sphingomonas alpina,216,404,94%,2e-58,41.18,5197460,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP061038.1?report=genbank&log$=nucltop&blast_rank=84&RID=ZV4CMEA8016"",""CP061038.1"")"
"Caulobacter sp. NIBR1757 chromosome, complete genome",Caulobacter sp. NIBR1757,216,409,93%,2e-58,40.25,4470728,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP115463.1?report=genbank&log$=nucltop&blast_rank=85&RID=ZV4CMEA8016"",""CP115463.1"")"
"Rhizobium leguminosarum strain ATCC 14479 chromosome, complete genome",Rhizobium leguminosarum,216,397,97%,2e-58,38.97,4883137,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP030760.1?report=genbank&log$=nucltop&blast_rank=86&RID=ZV4CMEA8016"",""CP030760.1"")"
"Arthrobacter sp. NtRootA1 DNA, complete genome",Arthrobacter sp. NtRootA1,216,354,100%,2e-58,40.52,5279883,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/AP024630.1?report=genbank&log$=nucltop&blast_rank=87&RID=ZV4CMEA8016"",""AP024630.1"")"
"Rhizobium leguminosarum strain TpK chromosome, complete genome",Rhizobium leguminosarum,216,404,97%,3e-58,38.29,4878696,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/CP090549.1?report=genbank&log$=nucltop&blast_rank=88&RID=ZV4CMEA8016"",""CP090549.1"")"
