target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq	change	GeneID	Feature	Contig	Start	Stop	Strand	Name	Product	Alias.Synonyms	EC_number	BUSCO	PFAM	InterPro	COG	GO.Terms	Protease	CAZyme	is_secreted
GTX0536PRED_009511-T1	5.69898693837923e-45	7.04465081457802e-44	3.28411089198339	0.233390275704694	7.77428671619419	2.38355568233683	0.000612110984399995	0.0331444611044545	0.118233752565083	0.118233752565083	thallus	GTX0536PRED_009511	mRNA	GTX0536_12	2859456	2861393	-	CAB8	Chlorophyll a-b binding protein 8, chloroplastic	NA	NA		PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
GTX0536PRED_008374-T1	0.0126007991328177	0.0399975592383332	3.27007557862837	1.31072679330481	1.89552451950483	5.70664076293652	0.024237694419109	3.72413625471642	1.48874839098364	3.72413625471642	thallus	GTX0536PRED_008374	mRNA	GTX0536_10	3280934	3281984	-		hypothetical protein	NA	NA				NA				No
GTX0536PRED_011534-T1	0.015259997625476	0.0470272552170852	3.21419419782283	1.32481311227921	1.92700173922515	5.70048270185896	0.0519996455863515	3.77737442525056	1.55051272812452	3.77737442525056	thallus	GTX0536PRED_011534	mRNA	GTX0536_17	704317	704997	+		hypothetical protein	NA	NA			IPR029063 S-adenosyl-L-methionine-dependent methyltransferase superfamily;IPR041698 Methyltransferase domain 25	NA				No
GTX0536PRED_003140-T1	1.05291544217372e-41	1.25722584286786e-40	3.11525956482817	0.230263462199301	7.72002384385493	2.13247546778317	0.000616430252535017	0.0161117485966229	0.115066323254393	0.115066323254393	thallus	GTX0536PRED_003140	mRNA	GTX0536_3	4216501	4218035	+		hypothetical protein	NA	NA		PF00504	IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA				No
GTX0536PRED_009172-T1	9.53516066333403e-06	5.72926355916815e-05	3.08793352091284	0.697451189735691	4.16716733197893	2.39408445477967	0.0674757624926412	0.281022093223631	0.993843863828227	0.993843863828227	thallus	GTX0536PRED_009172	mRNA	GTX0536_12	1089873	1095425	-		hypothetical protein	NA	NA		PF00246;PF18027	IPR000834 Peptidase M14, carboxypeptidase A;IPR040626 Cytosolic carboxypeptidase, N-terminal	NA	GO_function: GO:0008270 - zinc ion binding [Evidence IEA];GO_function: GO:0004181 - metallocarboxypeptidase activity [Evidence IEA];GO_process: GO:0006508 - proteolysis [Evidence IEA]	M14B		No
GTX0536PRED_008317-T2	0.0138640563143628	0.0433696120603142	3.02063996432407	1.22751994660266	3.53748517811801	4.94956642207382	0.484198470754024	2.8033765531894	2.39388094091665	2.8033765531894	thallus	GTX0536PRED_008317	mRNA	GTX0536_10	2887051	2890462	-	MOB1A	MOB kinase activator 1A	NA	NA	5550at3041	PF03637	IPR005301 MOB kinase activator family;IPR036703 MOB kinase activator superfamily	NA				No
GTX0536PRED_002477-T1	0.00864184865836633	0.029345755741881	3.00094089087498	1.1428208109518	1.54550394146143	4.52945473833299	0.0296290324822654	2.8199114895785	0.877292008260852	2.8199114895785	thallus	GTX0536PRED_002477	mRNA	GTX0536_3	965910	967429	-		hypothetical protein	NA	NA		PF07719	IPR011990 Tetratricopeptide-like helical domain superfamily;IPR013105 Tetratricopeptide repeat 2;IPR019734 Tetratricopeptide repeat	NA	GO_function: GO:0005515 - protein binding [Evidence IEA]			No
GTX0536PRED_002945-T2	0.0068315276755823	0.024021637415644	3.00052311515882	1.10927240110755	3.49421478062107	2.20130115758112	0.176989076928463	0.086321955227747	2.507706035491	2.507706035491	thallus	GTX0536PRED_002945	mRNA	GTX0536_3	3253001	3255406	-		hypothetical protein	NA	NA	9101at3041	PF05700	IPR008409 Pre-mRNA-splicing factor SPF27	NA	GO_process: GO:0006397 - mRNA processing [Evidence IEA]			No
GTX0536PRED_008759-T1	5.37139871879053e-41	6.38650203598569e-40	2.99277710269602	0.223195304419175	7.57934630252947	2.01878417143142	0.000832549902367827	0.0709361772020477	0.107857218638944	0.107857218638944	thallus	GTX0536PRED_008759	mRNA	GTX0536_11	2041479	2044296	-		hypothetical protein	NA	NA		PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
GTX0536PRED_001613-T2	1.67742799310057e-07	1.20688793554877e-06	2.93457710701874	0.560896858890627	5.6917044367429	2.49669608156919	0.0282255333468787	0.658186000427752	0.105169991686633	0.658186000427752	thallus	GTX0536PRED_001613	mRNA	GTX0536_2	2245227	2248688	-		hypothetical protein	NA	NA		PF00004	IPR003959 ATPase, AAA-type, core;IPR027417 P-loop containing nucleoside triphosphate hydrolase;IPR044960 Ribulose bisphosphate carboxylase/oxygenase activase-like	NA	GO_function: GO:0005524 - ATP binding [Evidence IEA];GO_function: GO:0016887 - ATPase [Evidence IEA]			No
GTX0536PRED_011267-T1	6.35174270000719e-12	5.65809206864133e-11	2.88737864672554	0.420194500448351	7.5795185117623	2.16567844656653	0.00164707860140153	0.383582197486684	0.107865205785114	0.383582197486684	thallus	GTX0536PRED_011267	mRNA	GTX0536_16	1614786	1618525	-		hypothetical protein	NA	NA		PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
GTX0536PRED_009339-T1	3.6289384810147e-35	4.2077691643501e-34	2.88390350285737	0.233067917620035	7.20294847382306	1.92126224766691	0.000927165310503144	0.11759062572311	0.0947149787184721	0.11759062572311	thallus	GTX0536PRED_009339	mRNA	GTX0536_12	1958773	1960397	+		hypothetical protein	NA	NA	10951at3041		IPR017498 Photosystem I PsaO	NA				No
GTX0536PRED_009613-T2	7.02789357029103e-43	8.42746553770797e-42	2.88174941356506	0.209937798258214	6.53712675396144	1.86025127772177	0.00710075073886584	0.0466379176188391	0.0890604401066028	0.0890604401066028	thallus	GTX0536PRED_009613	mRNA	GTX0536_13	372779	374263	-	RPS20A	40S ribosomal protein S20-1, variant 2	NA	NA		PF00338	IPR001848 Ribosomal protein S10;IPR005729 Ribosomal protein S10, eukaryotic/archaeal;IPR027486 Ribosomal protein S10 domain;IPR036838 Ribosomal protein S10 domain superfamily	NA	GO_component: GO:0015935 - small ribosomal subunit [Evidence IEA];GO_component: GO:0005840 - ribosome [Evidence IEA];GO_function: GO:0003735 - structural constituent of ribosome [Evidence IEA];GO_process: GO:0006412 - translation [Evidence IEA]			No
GTX0536PRED_006688-T1	1.50054114677968e-36	1.76172320412711e-35	2.86108388938551	0.226586210554622	6.27167612266457	1.8868086151468	0.00378941484577236	0.108227990565508	0.0924877663295586	0.108227990565508	thallus	GTX0536PRED_006688	mRNA	GTX0536_8	1232765	1233901	+		hypothetical protein	NA	NA		PF01241	IPR000549 Photosystem I reaction center subunit V/PsaK;IPR016370 Photosystem I reaction center subunit V/PsaK, plant;IPR023618 Photosystem I PsaG/PsaK domain, chloroplastic	NA	GO_component: GO:0009522 - photosystem I [Evidence IEA];GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0015979 - photosynthesis [Evidence IEA]			No
GTX0536PRED_002260-T1	1.60688158993928e-26	1.79637838301579e-25	2.85669795552209	0.268043234171079	5.15947178412926	1.83867184261817	0.00932111583035487	0.055290456593693	0.147436357736682	0.147436357736682	thallus	GTX0536PRED_002260	mRNA	GTX0536_2	5386089	5390526	-	FAD7	Omega-3 fatty acid desaturase, chloroplastic	NA	NA		PF00487	IPR005804 Fatty acid desaturase domain;IPR021863 Fatty acid desaturase, N-terminal	NA	GO_function: GO:0016717 - oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water [Evidence IEA];GO_process: GO:0006629 - lipid metabolic process [Evidence IEA]			No
GTX0536PRED_009539-T2	0.00370902233643497	0.0143551954152228	2.83085177165908	0.975515321292745	3.74490443126594	2.2225359065635	0.233244583012657	0.293519332618216	1.84303936333692	1.84303936333692	thallus	GTX0536PRED_009539	mRNA	GTX0536_12	3014614	3018140	-		hypothetical protein	NA	NA		PF12146;PF12697	IPR022742 Serine aminopeptidase, S33;IPR029058 Alpha/Beta hydrolase fold	NA		S33		No
GTX0536PRED_012647-T1	0.00206862873427235	0.00847382807061055	2.8112274518921	0.912677449384856	1.65425509908526	2.13570829926014	0.767021945822914	-0.30989146048864	1.05038923952032	1.05038923952032	thallus	GTX0536PRED_012647	mRNA	GTX0536_10	2604762	2605127	+		hypothetical protein	NA	NA				NA				No
GTX0536PRED_002766-T1	8.23462222538794e-29	9.31707659856394e-28	2.79963233690007	0.251368594672566	8.04172783362664	1.74238833001386	0.000408852819092472	0.0354712176650219	0.137451882572167	0.137451882572167	thallus	GTX0536PRED_002766	mRNA	GTX0536_3	2425761	2428694	+		hypothetical protein	NA	NA	4754at3041	PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
GTX0536PRED_006393-T1	9.16315657157364e-26	1.0162773652109e-24	2.78230946441692	0.265122560068393	5.18177990136461	1.70520351748699	0.00913829483903377	0.00886659389585238	0.144221643758534	0.144221643758534	thallus	GTX0536PRED_006393	mRNA	GTX0536_7	3603218	3603517	+		hypothetical protein	NA	NA				NA				No
GTX0536PRED_010014-T2	0.0023005021935586	0.00928807072679916	2.68731818127997	0.881545376642859	3.9824335281535	2.54463796058439	0.371434902340905	0.705230547010342	1.32410455456179	1.32410455456179	thallus	GTX0536PRED_010014	mRNA	GTX0536_13	2715219	2723462	-		hypothetical protein	NA	NA		PF01077;PF03460	IPR005117 Nitrite/Sulfite reductase ferredoxin-like domain;IPR006066 Nitrite/sulphite reductase iron-sulphur/sirohaem-binding site;IPR006067 Nitrite/sulphite reductase 4Fe-4S domain;IPR036136 Nitrite/Sulfite reductase ferredoxin-like domain superfamily	NA	GO_function: GO:0016491 - oxidoreductase activity [Evidence IEA];GO_function: GO:0051536 - iron-sulfur cluster binding [Evidence IEA];GO_function: GO:0020037 - heme binding [Evidence IEA]			No
GTX0536PRED_000191-T2	4.18298275077726e-07	2.87190448288452e-06	2.67246811852784	0.528110222109849	4.430857563635	1.64860997753606	0.0554284932368327	0.0449456204987355	0.553081485010979	0.553081485010979	thallus	GTX0536PRED_000191	mRNA	GTX0536_1	1068905	1074874	-		hypothetical protein	NA	NA		PF01256	IPR000631 ATP/ADP-dependent (S)-NAD(P)H-hydrate dehydratase;IPR029056 Ribokinase-like	NA	GO_function: GO:0052855 - ADP-dependent NAD(P)H-hydrate dehydratase activity [Evidence IEA]			No
GTX0536PRED_002971-T1	3.99281429847893e-20	4.22786298925731e-19	2.58565365296923	0.281408696522924	5.40789183067947	1.53893927575351	0.0492108678960731	0.0399689787521257	0.12356917823934	0.12356917823934	thallus	GTX0536PRED_002971	mRNA	GTX0536_3	3387737	3396657	+		hypothetical protein	NA	NA		PF13460	IPR011009 Protein kinase-like domain superfamily;IPR016040 NAD(P)-binding domain;IPR036291 NAD(P)-binding domain superfamily	NA				No
GTX0536PRED_011308-T1	3.76878685357349e-17	3.88794702614972e-16	2.57697605399953	0.306058621768315	7.41688934458672	1.63284054600338	0.00162144264522003	0.202753568173807	0.101167276409083	0.202753568173807	thallus	GTX0536PRED_011308	mRNA	GTX0536_16	1840657	1842117	+		hypothetical protein	NA	NA		PF02427	IPR003375 Photosystem I PsaE, reaction centre subunit IV;IPR008990 Electron transport accessory-like domain superfamily	NA	GO_component: GO:0009538 - photosystem I reaction center [Evidence IEA];GO_component: GO:0009522 - photosystem I [Evidence IEA];GO_process: GO:0015979 - photosynthesis [Evidence IEA]			No
GTX0536PRED_005279-T1	0.00657978564768212	0.0233411865074539	2.54682750167332	0.937230946407517	1.94261758411826	1.78641078412336	0.335066804847055	0.0773903516666755	1.58144631567061	1.58144631567061	thallus	GTX0536PRED_005279	mRNA	GTX0536_6	1799580	1800075	+		hypothetical protein	NA	NA		PF01221	IPR001372 Dynein light chain, type 1/2;IPR037177 Dynein light chain superfamily	NA	GO_component: GO:0030286 - dynein complex [Evidence IEA];GO_process: GO:0007017 - microtubule-based process [Evidence IEA]			No
GTX0536PRED_000829-T1	1.39890577182724e-20	1.48686727111638e-19	2.54673796732898	0.273830394210401	6.78422643255823	1.56233935360925	0.00321993258218436	0.160379525148922	0.0887787035368245	0.160379525148922	thallus	GTX0536PRED_000829	mRNA	GTX0536_1	4914529	4915906	+		hypothetical protein	NA	NA				NA				No
GTX0536PRED_007445-T1	0.00110703399533004	0.00489958579005691	2.52150701704358	0.773039258162792	1.62089895519759	2.52002720419419	0.308138642180535	0.950558824217053	0.995693418897749	0.995693418897749	thallus	GTX0536PRED_007445	mRNA	GTX0536_9	1447659	1448657	-		hypothetical protein	NA	NA				NA				No
GTX0536PRED_005972-T1	4.6046569787873e-09	3.67064417115829e-08	2.50659742055725	0.427683960848332	6.45865051750853	1.73001878444651	0.00466324080971642	0.394420912718104	0.0897291894666178	0.394420912718104	thallus	GTX0536PRED_005972	mRNA	GTX0536_7	1361886	1364487	-		hypothetical protein	NA	NA				NA				No
GTX0536PRED_004930-T1	0.0113250498543124	0.036780196633334	2.43275834210653	0.960613140190947	1.07613161369935	3.10326798481233	0.102515738869251	1.91081721772896	0.316836413496137	1.91081721772896	thallus	GTX0536PRED_004930	mRNA	GTX0536_5	4168391	4170925	-		hypothetical protein	NA	NA			IPR011009 Protein kinase-like domain superfamily;IPR017441 Protein kinase, ATP binding site	NA	GO_function: GO:0005524 - ATP binding [Evidence IEA]			No
GTX0536PRED_001511-T1	1.12420626692286e-12	1.03767196874524e-11	2.4322840579151	0.341882998554195	7.19073929620152	1.52028253106	0.00200484258531139	0.253014760397397	0.0944210745452566	0.253014760397397	thallus	GTX0536PRED_001511	mRNA	GTX0536_2	1824234	1826487	+		hypothetical protein	NA	NA		PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
GTX0536PRED_011268-T1	2.30302708590968e-24	2.53423294237747e-23	2.3381720387015	0.22956011604086	7.70686610237219	1.20429660112395	0.000645239516358104	0.0121170083832637	0.114331880941881	0.114331880941881	thallus	GTX0536PRED_011268	mRNA	GTX0536_16	1618737	1620438	+		hypothetical protein	NA	NA		PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
GTX0536PRED_011224-T1	0.00694568556158689	0.0243924827106544	2.33006130685342	0.863165579563012	1.79071720021165	2.64756633891853	0.228926195132816	1.39664795266868	1.28987934160931	1.39664795266868	thallus	GTX0536PRED_011224	mRNA	GTX0536_16	1305088	1305826	-		hypothetical protein	NA	NA				NA				No
GTX0536PRED_008762-T1	1.25350719869023e-12	1.15322662279501e-11	2.26840431764184	0.319523101521924	4.91754071789946	1.20770196888143	0.0112958466382101	0.0831629515218933	0.211456907702567	0.211456907702567	thallus	GTX0536PRED_008762	mRNA	GTX0536_11	2061780	2062465	+		hypothetical protein	NA	NA				NA				Yes
GTX0536PRED_007868-T1	2.66044869158223e-15	2.61937509774727e-14	2.26646870246405	0.286681351887167	8.42987673409171	1.20132218188903	0.000546900444294877	0.0889511895134349	0.178768439599022	0.178768439599022	thallus	GTX0536PRED_007868	mRNA	GTX0536_10	488583	492581	+	THI12	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase	NA	NA		PF01946;PF13450	IPR002922 Thiazole biosynthetic enzyme Thi4 family;IPR027495 Thiamine thiazole synthase;IPR036188 FAD/NAD(P)-binding domain superfamily	NA	GO_process: GO:0009228 - thiamine biosynthetic process [Evidence IEA]			No
GTX0536PRED_009519-T1	6.37470214329597e-17	6.55216637878699e-16	2.25551672171768	0.269860616982122	8.26081253578557	1.13181565949473	0.000394208782487838	0.0238803990727302	0.158496160522178	0.158496160522178	thallus	GTX0536PRED_009519	mRNA	GTX0536_12	2910599	2911262	-		hypothetical protein	NA	NA				NA				No
GTX0536PRED_007189-T1	1.98301537131632e-09	1.60819107858774e-08	2.24326557912495	0.373927939986581	7.78192685268047	1.37250314120952	0.000455383522835227	0.304611025864674	0.118698029225449	0.304611025864674	thallus	GTX0536PRED_007189	mRNA	GTX0536_9	99640	100199	-		hypothetical protein	NA	NA	10044at3041	PF00127;PF13473	IPR000923 Blue (type 1) copper domain;IPR001235 Blue (type 1) copper protein, plastocyanin-type;IPR002387 Plastocyanin;IPR008972 Cupredoxin;IPR028871 Blue (type 1) copper protein, binding site	NA	GO_function: GO:0005507 - copper ion binding [Evidence IEA];GO_function: GO:0009055 - electron transfer activity [Evidence IEA]			No
GTX0536PRED_008578-T1	3.42341750017778e-27	3.84244380219955e-26	2.23879114759032	0.207285918679154	7.09991355473837	1.10704709957759	0.00127492199621362	0.0137020648001926	0.0924722461841372	0.0924722461841372	thallus	GTX0536PRED_008578	mRNA	GTX0536_11	1160275	1162694	-		hypothetical protein	NA	NA	6113at3041	PF00834	IPR000056 Ribulose-phosphate 3-epimerase-like;IPR011060 Ribulose-phosphate binding barrel;IPR013785 Aldolase-type TIM barrel;IPR026019 Ribulose-phosphate 3-epimerase	NA	GO_function: GO:0016857 - racemase and epimerase activity, acting on carbohydrates and derivatives [Evidence IEA];GO_function: GO:0003824 - catalytic activity [Evidence IEA];GO_function: GO:0004750 - ribulose-phosphate 3-epimerase activity [Evidence IEA];GO_process: GO:0005975 - carbohydrate metabolic process [Evidence IEA];GO_process: GO:0006098 - pentose-phosphate shunt [Evidence IEA]			No
GTX0536PRED_008991-T1	0.00797207069471429	0.0274137627075592	2.2290531867767	0.84012168162392	3.88897777259627	1.2065700236444	0.0333537159991141	0.102751617065322	1.5065832438582	1.5065832438582	thallus	GTX0536PRED_008991	mRNA	GTX0536_12	132852	134822	-		hypothetical protein	NA	NA		PF00134;PF02984	IPR004367 Cyclin, C-terminal domain;IPR006671 Cyclin, N-terminal;IPR013763 Cyclin-like domain;IPR036915 Cyclin-like superfamily;IPR039361 Cyclin	NA				No
GTX0536PRED_001763-T1	1.09905952542406e-08	8.63854629787093e-08	2.09009317612516	0.365740604145113	6.79524461112056	1.21579313248775	0.00397707237841901	0.287876432029797	0.0888302065567604	0.287876432029797	thallus	GTX0536PRED_001763	mRNA	GTX0536_2	2938803	2939798	-		hypothetical protein	NA	NA		PF08041	IPR012595 PetM of cytochrome b6/f complex subunit 7	NA	GO_component: GO:0009512 - cytochrome b6f complex [Evidence IEA]			No
GTX0536PRED_005938-T1	3.15417703686184e-12	2.86427856486547e-11	2.06905964675649	0.296823310282704	5.01802186027908	1.03458116126539	0.0145293928505155	0.097185152756822	0.17769768539061	0.17769768539061	thallus	GTX0536PRED_005938	mRNA	GTX0536_7	1226414	1232605	+		hypothetical protein	NA	NA		PF05834	IPR010108 Lycopene cyclase, beta/epsilon;IPR036188 FAD/NAD(P)-binding domain superfamily	NA	GO_function: GO:0016705 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [Evidence IEA];GO_process: GO:0016117 - carotenoid biosynthetic process [Evidence IEA]			No
GTX0536PRED_007002-T1	7.58486563700197e-16	7.62836307434679e-15	2.06741799510594	0.256480678738439	8.10456500399772	0.980025778413078	0.000578147490775775	0.0521655255368043	0.142946954835327	0.142946954835327	thallus	GTX0536PRED_007002	mRNA	GTX0536_8	2745111	2749177	-	LHCB4	Chlorophyll a-b binding protein CP29.1, chloroplastic	NA	NA		PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
GTX0536PRED_004185-T1	3.99411379964463e-23	4.3439857836445e-22	2.06091648694329	0.208086470125964	7.04557167593687	1.01172579874909	0.00167983621350739	0.0927928453490028	0.0915016474205696	0.0927928453490028	thallus	GTX0536PRED_004185	mRNA	GTX0536_5	442642	449652	+		hypothetical protein	NA	NA		PF00484	IPR001765 Carbonic anhydrase;IPR036874 Carbonic anhydrase superfamily	NA	GO_function: GO:0008270 - zinc ion binding [Evidence IEA];GO_function: GO:0004089 - carbonate dehydratase activity [Evidence IEA]			No
GTX0536PRED_004138-T1	2.09456867464916e-06	1.3668278374571e-05	2.05123185580072	0.432377234490232	6.32334762423738	1.28511333434192	0.00698876907223856	0.400902299085043	0.0915574004596174	0.400902299085043	thallus	GTX0536PRED_004138	mRNA	GTX0536_5	220848	221708	+		hypothetical protein	NA	NA				NA				No
GTX0536PRED_005394-T1	8.64193468729699e-23	9.3266418202136e-22	2.0369988479175	0.20729264385938	7.09556215791867	0.924138951159699	0.00136403782537045	0.0195505204933501	0.0923892135161828	0.0923892135161828	thallus	GTX0536PRED_005394	mRNA	GTX0536_6	2377097	2380534	+		hypothetical protein	NA	NA	784at3041	PF01494	IPR002938 FAD-binding domain;IPR010253 Geranylgeranyl reductase, plant/prokaryotic;IPR011774 Geranylgeranyl reductase, plant/cyanobacteria;IPR011777 Geranylgeranyl reductase family;IPR036188 FAD/NAD(P)-binding domain superfamily	NA	GO_function: GO:0071949 - FAD binding [Evidence IEA];GO_function: GO:0045550 - geranylgeranyl reductase activity [Evidence IEA];GO_function: GO:0016628 - oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [Evidence IEA];GO_process: GO:0015995 - chlorophyll biosynthetic process [Evidence IEA];GO_process: GO:0015979 - photosynthesis [Evidence IEA]			No
GTX0536PRED_012123-T1	3.163363473676e-23	3.45385132573341e-22	2.03530584201946	0.205018621650261	6.97180492726099	0.972584478280811	0.00129635432859755	0.0751179458480125	0.0904112134314885	0.0904112134314885	thallus	GTX0536PRED_012123	mRNA	GTX0536_18	2107464	2112332	-		hypothetical protein	NA	NA		PF00504	IPR001344 Chlorophyll A-B binding protein, plant and chromista;IPR022796 Chlorophyll A-B binding protein;IPR023329 None	NA	GO_component: GO:0016020 - membrane [Evidence IEA];GO_process: GO:0009765 - photosynthesis, light harvesting [Evidence IEA]			No
