gene	database	ID	Description	Scientific.Name	Max.Score	E.value	Per..ident	cover	taxid	kingdom	phylum	class	order	family	genus	taxonomy
GTX0536PRED_004195	nt	XM_053147791.1	Fusarium falciforme Hypothetical protein (NCS54_00218800), partial mRNA	Fusarium falciforme	332	5e-109	49.85	99	195108	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_064877588.1	Knufia obscura uncharacterized protein (PMZ80_009193), partial mRNA	Knufia obscura	332	7e-109	53.69	99	1635080	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Fungi
GTX0536PRED_004195	nt	XM_057201119.1	Penicillium riverlandense uncharacterized protein (N7474_009709), partial mRNA	Penicillium riverlandense	330	2e-108	53.13	99	1903569	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Fungi
GTX0536PRED_004195	nt	XM_043174091.1	Diaporthe citri uncharacterized protein (INS49_013392), partial mRNA	Diaporthe citri	330	3e-108	52.54	99	83186	Fungi	Ascomycota	Sordariomycetes	Diaporthales	Diaporthaceae	Diaporthe	Fungi
GTX0536PRED_004195	nt	XM_003039440.1	Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_89149), partial mRNA	Fusarium vanettenii 77-13-4	330	3e-108	51.64	98	660122	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_046241359.1	Ilyonectria robusta WW domain-containing oxidoreductase (BGZ61DRAFT_362423), partial mRNA	Ilyonectria robusta	330	3e-108	50.89	99	1079257	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Fungi
GTX0536PRED_004195	nt	XM_049280401.1	Colletotrichum lupini short-chain dehydrogenase (CLUP02_01360), partial mRNA	Colletotrichum lupini	329	5e-108	50.59	100	145971	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_053194193.2	Colletotrichum fioriniae uncharacterized protein (N0V96_001608), partial mRNA	Colletotrichum fioriniae	329	5e-108	50.89	100	710243	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_060499940.1	Colletotrichum paranaense short-chain dehydrogenase (CPAR01_15692), partial mRNA	Colletotrichum paranaense	329	6e-108	50.59	100	1914294	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_060451320.1	Colletotrichum costaricense short-chain dehydrogenase (CCOS01_03134), partial mRNA	Colletotrichum costaricense	329	6e-108	50.59	100	1209916	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_046247966.1	Ilyonectria robusta uncharacterized protein (BGZ61DRAFT_469541), mRNA	Ilyonectria robusta	331	7e-108	51.5	99	1079257	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Fungi
GTX0536PRED_004195	nt	XM_013414858.1	Rhinocladiella mackenziei CBS 650.93 uncharacterized protein (Z518_06727), partial mRNA	Rhinocladiella mackenziei CBS 650.93	329	7e-108	52.8	99	1442369	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Rhinocladiella	Fungi
GTX0536PRED_004195	nt	XM_060589964.1	Colletotrichum phormii short-chain dehydrogenase (BDP81DRAFT_422079), mRNA	Colletotrichum phormii	333	7e-108	50.59	100	359342	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_047906565.1	Fulvia fulva Short-chain dehydrogenase/reductase prx1 (CLAFUR5_07417), partial mRNA	Fulvia fulva	329	8e-108	50.89	99	5499	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Fulvia	Fungi
GTX0536PRED_004195	nt	XM_033815191.1	Zasmidium cellare ATCC 36951 uncharacterized protein (M409DRAFT_62478), partial mRNA	Zasmidium cellare ATCC 36951	329	9e-108	49.7	99	1080233	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Zasmidium	Fungi
GTX0536PRED_004195	nt	XM_060549300.1	Colletotrichum abscissum short-chain dehydrogenase (CABS01_15968), partial mRNA	Colletotrichum abscissum	329	9e-108	50.59	100	1671311	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_035478932.1	Colletotrichum scovillei short-chain dehydrogenase (HER10_EVM0009446), mRNA	Colletotrichum scovillei	330	7e-107	50.89	100	1209932	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_046250045.1	Ilyonectria robusta WW domain-containing oxidoreductase (BGZ61DRAFT_487910), partial mRNA	Ilyonectria robusta	326	1e-106	52.55	98	1079257	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Fungi
GTX0536PRED_004195	nt	XM_007725551.1	Capronia coronata CBS 617.96 uncharacterized protein (A1O1_04660), partial mRNA	Capronia coronata CBS 617.96	326	1e-106	52.66	99	1182541	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Capronia	Fungi
GTX0536PRED_004195	nt	XM_015550729.1	Aspergillus nomiae NRRL 13137 short-chain dehydrogenase (ANOM_005472), partial mRNA	Aspergillus nomiae NRRL 13137	325	1e-106	49.85	99	1509407	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Fungi
GTX0536PRED_004195	nt	XM_060518220.1	Colletotrichum tamarilloi short-chain dehydrogenase (CTAM01_02181), partial mRNA	Colletotrichum tamarilloi	326	1e-106	50.3	100	1209934	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_028641442.1	Verticillium nonalfalfae uncharacterized protein (D7B24_007332), partial mRNA	Verticillium nonalfalfae	326	1e-106	50.59	99	1051616	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Fungi
GTX0536PRED_004195	nt	XM_022623803.1	Colletotrichum orchidophilum short-chain dehydrogenase (CORC01_12182), partial mRNA	Colletotrichum orchidophilum	326	1e-106	49.7	100	1209926	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_049272843.1	Colletotrichum spaethianum WW domain-containing oxidoreductase (ColSpa_06631), partial mRNA	Colletotrichum spaethianum	325	2e-106	50.9	99	700344	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_040830715.1	Aspergillus wentii DTO 134E9 uncharacterized protein (ASPWEDRAFT_171048), partial mRNA	Aspergillus wentii DTO 134E9	325	2e-106	52.1	99	1073089	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Fungi
GTX0536PRED_004195	nt	XM_060554266.1	Colletotrichum navitas short chain dehydrogenase (LY79DRAFT_511425), partial mRNA	Colletotrichum navitas	325	2e-106	52.07	100	681940	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_007781755.1	Coniosporium apollinis CBS 100218 uncharacterized protein (W97_03861), partial mRNA	Coniosporium apollinis CBS 100218	325	3e-106	49.7	98	1168221	Fungi	Ascomycota	Dothideomycetes	NA	NA	Coniosporium	Fungi
GTX0536PRED_004195	nt	XM_056636641.1	Penicillium cosmopolitanum uncharacterized protein (N7509_012004), partial mRNA	Penicillium cosmopolitanum	324	4e-106	51.64	99	1131564	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Fungi
GTX0536PRED_004195	nt	XM_043301906.1	Aspergillus pseudoviridinutans uncharacterized protein (Asppvi_005998), partial mRNA	Aspergillus pseudoviridinutans	324	5e-106	51.5	99	1517512	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Fungi
GTX0536PRED_004195	nt	XM_060502675.1	Colletotrichum acutatum short-chain dehydrogenase (BDZ83DRAFT_375008), mRNA	Colletotrichum acutatum	329	6e-106	50.3	100	27357	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_007915167.1	Phaeoacremonium minimum UCRPA7 putative ww domain-containing oxidoreductase protein partial mRNA	Phaeoacremonium minimum UCRPA7	324	7e-106	51.34	98	1286976	Fungi	Ascomycota	Sordariomycetes	Togniniales	Togniniaceae	Phaeoacremonium	Fungi
GTX0536PRED_004195	nt	XM_023604424.2	Cercospora beticola uncharacterized protein (RHO25_008607), partial mRNA	Cercospora beticola	324	8e-106	50.3	98	122368	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Fungi
GTX0536PRED_004195	nt	XM_046190823.1	Fusarium redolens uncharacterized protein (BKA55DRAFT_545505), partial mRNA	Fusarium redolens	323	9e-106	51.79	99	48865	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_046282673.2	Fusarium solani uncharacterized protein (MRS44_015299), partial mRNA	Fusarium solani	323	1e-105	49.24	98	169388	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_016352973.1	Verruconis gallopava uncharacterized protein (PV09_00259), mRNA	Verruconis gallopava	325	1e-105	50.15	99	253628	Fungi	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Verruconis	Fungi
GTX0536PRED_004195	nt	XM_046129806.1	Fusarium flagelliforme uncharacterized protein (B0J16DRAFT_362414), partial mRNA	Fusarium flagelliforme	324	1e-105	50	98	2675880	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_028653398.1	Alternaria arborescens hypothetical protein (AA0111_g7100), partial mRNA	Alternaria arborescens	323	1e-105	51.49	99	156630	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Fungi
GTX0536PRED_004195	nt	XM_003039274.1	Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_73270), mRNA	Fusarium vanettenii 77-13-4	326	2e-105	50.9	99	660122	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_069451835.1	Alternaria dauci uncharacterized protein (ACET3X_005611), mRNA	Alternaria dauci	325	2e-105	52.21	100	48095	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Fungi
GTX0536PRED_004195	nt	XM_022530939.1	Aspergillus bombycis short-chain dehydrogenase (ABOM_003809), partial mRNA	Aspergillus bombycis	323	2e-105	50.15	99	109264	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Fungi
GTX0536PRED_004195	nt	XM_018270577.2	Pseudogymnoascus verrucosus uncharacterized protein (VE01_01049), mRNA	Pseudogymnoascus verrucosus	328	2e-105	53.15	99	342668	Fungi	Ascomycota	Leotiomycetes	Thelebolales	Thelebolaceae	Pseudogymnoascus	Fungi
GTX0536PRED_004195	nt	XM_011323565.1	Fusarium graminearum PH-1 uncharacterized protein (FGSG_03818), partial mRNA	Fusarium graminearum PH-1	322	3e-105	50.75	99	229533	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_020267034.1	Talaromyces atroroseus hypothetical protein (UA08_04732), partial mRNA	Talaromyces atroroseus	322	3e-105	51.8	99	1441469	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Fungi
GTX0536PRED_004195	nt	XM_044801008.1	Cercospora kikuchii uncharacterized protein (CKM354_000572600), partial mRNA	Cercospora kikuchii	323	3e-105	50	98	84275	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Cercospora	Fungi
GTX0536PRED_004195	nt	XM_035490802.1	Talaromyces rugulosus uncharacterized protein (TRUGW13939_07664), partial mRNA	Talaromyces rugulosus	322	3e-105	53.25	99	121627	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Fungi
GTX0536PRED_004195	nt	XM_056623679.1	Penicillium argentinense NAD(P)-binding protein (N7532_011188), partial mRNA	Penicillium argentinense	322	3e-105	51.64	99	1131581	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Fungi
GTX0536PRED_004195	nt	XM_065615579.1	Fusarium solani uncharacterized protein (MRS44_017670), partial mRNA	Fusarium solani	322	3e-105	50.73	99	169388	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_025732626.2	Fusarium venenatum uncharacterized protein (EDB82DRAFT_481902), mRNA	Fusarium venenatum	328	3e-105	50.45	99	56646	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_051735643.1	Alternaria postmessia uncharacterized protein (J4E82_009418), partial mRNA	Alternaria postmessia	322	3e-105	51.49	99	1187938	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Fungi
GTX0536PRED_004195	nt	XM_018527836.1	Alternaria alternata NAD(P)-binding protein partial mRNA	Alternaria alternata	322	3e-105	51.49	99	5599	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	Fungi
GTX0536PRED_004195	nt	XM_037348285.1	Fusarium tjaetaba alcohol dehydrogenase (FTJAE_2123), partial mRNA	Fusarium tjaetaba	322	3e-105	50.6	99	1567544	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_067616988.1	Aspergillus brasiliensis CBS 101740 uncharacterized protein (ASPBRDRAFT_116535), partial mRNA	Aspergillus brasiliensis CBS 101740	322	3e-105	51.2	99	767769	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Fungi
GTX0536PRED_004195	nt	XM_046254893.1	Ilyonectria robusta uncharacterized protein (BGZ61DRAFT_540347), partial mRNA	Ilyonectria robusta	322	4e-105	51.04	99	1079257	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Fungi
GTX0536PRED_004195	nt	XM_038897511.1	Botrytis sinoallii uncharacterized protein (EAF02_001463), partial mRNA	Botrytis sinoallii	322	4e-105	49.85	99	1463999	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Fungi
GTX0536PRED_004195	nt	XM_035517035.1	Lasiodiplodia theobromae Short-chain dehydrogenase (LTHEOB_7646), partial mRNA	Lasiodiplodia theobromae	322	6e-105	48.51	100	45133	Fungi	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Fungi
GTX0536PRED_004195	nt	XM_033690061.1	Lindgomyces ingoldianus NAD(P)-binding protein (BDR25DRAFT_303710), mRNA	Lindgomyces ingoldianus	325	6e-105	50	99	673940	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lindgomycetaceae	Lindgomyces	Fungi
GTX0536PRED_004195	nt	XM_058462726.1	Penicillium antarcticum short-chain dehydrogenase (N7508_004660), partial mRNA	Penicillium antarcticum	321	7e-105	52.12	98	416450	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Fungi
GTX0536PRED_004195	nt	XM_037340150.1	Botrytis fragariae putative ww domain-containing oxidoreductase protein (Bfra_009812), partial mRNA	Botrytis fragariae	321	8e-105	49.56	99	1964551	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Fungi
GTX0536PRED_004195	nt	XM_057076173.1	Penicillium macrosclerotiorum uncharacterized protein (N7462_004447), partial mRNA	Penicillium macrosclerotiorum	321	1e-104	49.55	100	303699	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Fungi
GTX0536PRED_004195	nt	XM_033559649.1	Aspergillus lentulus short-chain dehydrogenase TIC 32, chloroplastic (IFM58399_05238), partial mRNA	Aspergillus lentulus	321	1e-104	51.8	99	293939	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Fungi
GTX0536PRED_004195	nt	XM_039074527.1	Penicillium roqueforti uncharacterized protein (LCP9604111_1080), partial mRNA	Penicillium roqueforti	321	1e-104	49.09	98	5082	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Fungi
GTX0536PRED_004195	nt	XM_065615973.1	Fusarium solani uncharacterized protein (MRS44_018494), partial mRNA	Fusarium solani	324	2e-104	50.6	99	169388	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_009257674.1	Fusarium pseudograminearum CS3096 uncharacterized protein (FPSE_04556), partial mRNA	Fusarium pseudograminearum CS3096	320	2e-104	50.3	99	1028729	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_036687307.1	Fusarium subglutinans alcohol dehydrogenase (FSUBG_8857), partial mRNA	Fusarium subglutinans	320	2e-104	50.6	99	42677	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_038882119.1	Botrytis byssoidea uncharacterized protein (EAE97_011604), partial mRNA	Botrytis byssoidea	320	2e-104	50.15	99	139641	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Fungi
GTX0536PRED_004195	nt	XM_054703595.1	Fusarium oxysporum Fo47 uncharacterized protein (FOBCDRAFT_270284), partial mRNA	Fusarium oxysporum Fo47	320	2e-104	51.8	99	660027	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_009655453.1	Verticillium dahliae VdLs.17 WW domain-containing oxidoreductase (VDAG_09151), partial mRNA	Verticillium dahliae VdLs.17	320	2e-104	52.24	99	498257	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Fungi
GTX0536PRED_004195	nt	XM_003041813.1	Fusarium vanettenii 77-13-4 uncharacterized protein (NECHADRAFT_53150), partial mRNA	Fusarium vanettenii 77-13-4	320	2e-104	48.64	98	660122	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_023569453.1	Fusarium fujikuroi IMI 58289 related to reductases (FFUJ_10645), partial mRNA	Fusarium fujikuroi IMI 58289	320	3e-104	50.3	99	1279085	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_038954848.1	Botrytis deweyae uncharacterized protein (EAE98_007225), partial mRNA	Botrytis deweyae	320	3e-104	49.56	99	2478750	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Fungi
GTX0536PRED_004195	nt	XM_041833001.1	Fusarium mangiferae related to reductases (FMAN_13522), partial mRNA	Fusarium mangiferae	319	3e-104	50.3	99	192010	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_046279721.1	Fusarium solani uncharacterized protein (MRS44_015356), partial mRNA	Fusarium solani	319	3e-104	51.5	99	169388	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_001797329.1	Parastagonospora nodorum SN15 hypothetical protein (SNOG_07026), partial mRNA	Parastagonospora nodorum SN15	320	4e-104	51.05	99	321614	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Fungi
GTX0536PRED_004195	nt	XM_067649101.1	Cenococcum geophilum 1.58 NAD(P)-binding protein (K441DRAFT_662810), mRNA	Cenococcum geophilum 1.58	328	4e-104	51.04	99	794803	Fungi	Ascomycota	Dothideomycetes	Gloniales	Gloniaceae	Cenococcum	Fungi
GTX0536PRED_004195	nt	XM_053183361.1	Colletotrichum chrysophilum uncharacterized protein (COL26b_010669), partial mRNA	Colletotrichum chrysophilum	320	4e-104	50.3	100	1836956	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_009655216.1	Verticillium dahliae VdLs.17 WW domain-containing oxidoreductase (VDAG_05819), partial mRNA	Verticillium dahliae VdLs.17	319	6e-104	49.7	99	498257	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Fungi
GTX0536PRED_004195	nt	XM_008101041.1	Colletotrichum graminicola M1.001 short chain dehydrogenase (GLRG_10356), partial mRNA	Colletotrichum graminicola M1.001	319	6e-104	51.18	100	645133	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_043272410.1	Aspergillus viridinutans uncharacterized protein (Aspvir_009261), partial mRNA	Aspergillus viridinutans	319	6e-104	52.4	99	75553	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Fungi
GTX0536PRED_004195	nt	XM_033735207.1	Neohortaea acidophila uncharacterized protein (BDY17DRAFT_308409), partial mRNA	Neohortaea acidophila	319	6e-104	48.53	99	245834	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Neohortaea	Fungi
GTX0536PRED_004195	nt	XM_031214661.1	Fusarium odoratissimum NRRL 54006 alcohol dehydrogenase (FOIG_13503), partial mRNA	Fusarium odoratissimum NRRL 54006	318	7e-104	49.7	99	1089451	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_046188811.1	Fusarium redolens uncharacterized protein (BKA55DRAFT_526157), partial mRNA	Fusarium redolens	319	7e-104	50.6	99	48865	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fungi
GTX0536PRED_004195	nt	XM_046241737.1	Ilyonectria robusta uncharacterized protein (BGZ61DRAFT_366997), partial mRNA	Ilyonectria robusta	319	8e-104	50.3	99	1079257	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Ilyonectria	Fungi
GTX0536PRED_004195	nt	XM_049273477.1	Colletotrichum spaethianum retinol dehydrogenase 14 (ColSpa_07265), partial mRNA	Colletotrichum spaethianum	319	8e-104	52.07	100	700344	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
GTX0536PRED_004195	nt	XM_009656474.1	Verticillium dahliae VdLs.17 WW domain-containing oxidoreductase (VDAG_07569), partial mRNA	Verticillium dahliae VdLs.17	319	8e-104	49.55	99	498257	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	Fungi
GTX0536PRED_004195	nt	XM_053198074.2	Colletotrichum fioriniae uncharacterized protein (N0V96_009836), partial mRNA	Colletotrichum fioriniae	318	1e-103	49.85	99	710243	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	Fungi
