,T. sp. A48,T. SL0000003,descriptions
PF13426,7,8,PAS domain
PF11209,1,1,LmeA-like phospholipid-binding
PF07842,3,2,GC-rich sequence DNA-binding factor-like protein
PF01847,5,0,VHL beta domain
PF01596,4,3,O-methyltransferase
PF13578,8,6,Methyltransferase domain
PF04193,7,5,PQ loop repeat
PF00583,35,21,Acetyltransferase (GNAT) family
PF10394,1,1,Histone acetyl transferase HAT1 N-terminus
PF15341,1,0,Ribosome biogenesis protein SLX9
PF02230,2,1,Phospholipase/Carboxylesterase
PF00227,16,16,Proteasome subunit
PF13391,5,3,HNH endonuclease
PF13516,39,21,Leucine Rich repeat
PF02152,1,0,Dihydroneopterin aldolase
PF05721,6,6,Phytanoyl-CoA dioxygenase (PhyH)
PF01595,4,2,Cyclin M transmembrane N-terminal domain
PF00230,11,5,Major intrinsic protein
PF03223,1,1,V-ATPase subunit C
PF01471,2,1,Putative peptidoglycan binding domain
PF01357,6,2,Expansin C-terminal domain
PF07915,3,1,Glucosidase II beta subunit-like protein
PF01546,12,9,Peptidase family M20/M25/M40
PF07687,7,5,Peptidase dimerisation domain
PF13230,1,1,Glutamine amidotransferases class-II
PF13522,7,5,Glutamine amidotransferase domain
PF01239,2,2,Protein prenyltransferase alpha subunit repeat
PF01248,6,5,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
PF02138,4,3,Beige/BEACH domain
PF03227,2,0,Gamma interferon inducible lysosomal thiol reductase (GILT)
PF04982,4,2,HPP family
PF02146,6,3,Sir2 family
PF09588,2,2,YqaJ-like viral recombinase domain
PF00300,14,9,Histidine phosphatase superfamily (branch 1)
PF01968,1,2,Hydantoinase/oxoprolinase
PF02538,1,1,Hydantoinase B/oxoprolinase
PF05378,1,1,Hydantoinase/oxoprolinase N-terminal region
PF19278,1,1,Hydantoinase/oxoprolinase C-terminal domain
PF02057,2,0,Glycosyl hydrolase family 59
PF14587,4,2,O-Glycosyl hydrolase family 30
PF13508,24,13,Acetyltransferase (GNAT) domain
PF13673,21,11,Acetyltransferase (GNAT) domain
PF00025,25,20,ADP-ribosylation factor family
PF00071,27,24,Ras family
PF08477,24,23,"Ras of Complex, Roc, domain of DAPkinase"
PF06650,3,3,SHR-binding domain of vacuolar-sorting associated protein 13
PF01156,4,3,Inosine-uridine preferring nucleoside hydrolase
PF15906,1,1,Zinc-finger of nitric oxide synthase-interacting protein
PF00118,11,11,TCP-1/cpn60 chaperonin family
PF01494,12,13,FAD binding domain
PF06911,1,1,Senescence domain
PF08495,2,1,FIST N domain
PF10442,2,1,FIST C domain
PF01465,3,3,GRIP domain
PF00888,3,3,Cullin family
PF10557,3,3,Cullin protein neddylation domain
PF02545,2,2,Maf-like protein
PF04750,2,0,FAR-17a/AIG1-like protein
PF11262,1,1,Transcription factor/nuclear export subunit protein 2
PF11732,1,1,Transcription- and export-related complex subunit
PF03178,4,3,CPSF A subunit region
PF01467,5,4,Cytidylyltransferase-like
PF01504,3,3,Phosphatidylinositol-4-phosphate 5-Kinase
PF02493,15,11,MORN repeat
PF00485,5,5,Phosphoribulokinase / Uridine kinase family
PF01928,2,2,CYTH domain
PF01342,9,8,SAND domain
PF03372,18,6,Endonuclease/Exonuclease/phosphatase family
PF06201,2,2,PITH domain
PF08819,1,0,Domain of unknown function (DUF1802)
PF11051,7,6,Mannosyltransferase putative
PF03040,1,1,CemA family
PF13881,1,1,Ubiquitin-2 like Rad60 SUMO-like
PF02791,2,3,DDT domain
PF13409,21,14,"Glutathione S-transferase, N-terminal domain"
PF13410,19,16,"Glutathione S-transferase, C-terminal domain"
PF13417,26,18,"Glutathione S-transferase, N-terminal domain"
PF14308,3,3,X-domain of DnaJ-containing
PF01753,14,2,MYND finger
PF20173,2,5,Family of unknown function (DUF6539)
PF08883,3,2,"Dopa 4,5-dioxygenase family"
PF00004,87,62,ATPase family associated with various cellular activities (AAA)
PF13771,8,5,PHD-like zinc-binding domain
PF13832,9,5,PHD-zinc-finger like domain
PF17862,30,26,AAA+ lid domain
PF00995,5,4,Sec1 family
PF13202,21,17,EF hand
PF00078,8,0,Reverse transcriptase (RNA-dependent DNA polymerase)
PF02450,2,2,Lecithin:cholesterol acyltransferase
PF00808,21,15,Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF08662,5,4,Eukaryotic translation initiation factor eIF2A
PF14311,49,9,Probable Zinc-ribbon domain
PF00406,10,8,Adenylate kinase
PF13207,8,7,AAA domain
PF06747,2,1,CHCH domain
PF01282,1,1,Ribosomal protein S24e
PF01849,2,2,NAC domain
PF19026,2,2,HYPK UBA domain
PF01846,3,3,FF domain
PF09439,11,9,Signal recognition particle receptor beta subunit
PF01789,10,10,PsbP
PF02463,9,8,RecF/RecN/SMC N terminal domain
PF06470,6,5,SMC proteins Flexible Hinge Domain
PF13476,9,4,AAA domain
PF13640,19,11,2OG-Fe(II) oxygenase superfamily
PF01294,2,1,Ribosomal protein L13e
PF12799,13,9,Leucine Rich repeats (2 copies)
PF13855,36,19,Leucine rich repeat
PF02453,2,2,Reticulon
PF03810,12,8,Importin-beta N-terminal domain
PF08389,4,4,Exportin 1-like protein
PF01184,3,3,GPR1/FUN34/yaaH family
PF01974,2,2,"tRNA intron endonuclease, catalytic C-terminal domain"
PF02759,3,1,RUN domain
PF15140,3,0,Domain of unknown function (DUF4573)
PF13901,1,1,Putative zinc-RING and/or ribbon
PF05742,3,1,Transport and Golgi organisation 2
PF02358,3,1,Trehalose-phosphatase
PF00121,2,2,Triosephosphate isomerase
PF04525,7,2,LURP-one-related
PF00169,13,5,PH domain
PF02181,4,4,Formin Homology 2 Domain
PF06371,1,1,Diaphanous GTPase-binding Domain
PF04502,2,2,Saf4/Yju2 protein
PF14580,16,11,Leucine-rich repeat
PF00320,10,5,GATA zinc finger
PF01207,5,4,Dihydrouridine synthase (Dus)
PF08491,1,1,Squalene epoxidase
PF05187,2,1,"Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S"
PF10444,1,1,Nbl1 / Borealin N terminal
PF04506,3,1,Rft protein
PF00380,2,2,Ribosomal protein S9/S16
PF17123,13,6,RING-like zinc finger
PF00867,6,4,XPG I-region
PF00752,4,2,XPG N-terminal domain
PF01253,3,3,Translation initiation factor SUI1
PF04577,20,14,Glycosyltransferase 61
PF00753,9,8,Metallo-beta-lactamase superfamily
PF02178,2,0,AT hook motif
PF07521,3,3,Zn-dependent metallo-hydrolase RNA specificity domain
PF12706,16,5,Beta-lactamase superfamily domain
PF00483,6,5,Nucleotidyl transferase
PF01722,3,2,BolA-like protein
PF01656,8,8,CobQ/CobB/MinD/ParA nucleotide binding domain
PF09140,1,1,ATPase MipZ
PF10609,3,3,NUBPL iron-transfer P-loop NTPase
PF02373,26,13,"JmjC domain, hydroxylase"
PF00205,4,4,"Thiamine pyrophosphate enzyme, central domain"
PF02775,8,8,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain"
PF02776,6,4,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain"
PF00179,23,17,Ubiquitin-conjugating enzyme
PF04117,11,10,Mpv17 / PMP22 family
PF00201,1,5,UDP-glucoronosyl and UDP-glucosyl transferase
PF05091,1,1,Eukaryotic translation initiation factor 3 subunit 7 (eIF-3)
PF00909,3,3,Ammonium Transporter Family
PF00580,3,1,UvrD/REP helicase N-terminal domain
PF11595,1,1,Protein of unknown function (DUF3245)
PF02668,5,5,"Taurine catabolism dioxygenase TauD, TfdA family"
PF02685,2,2,Glucokinase
PF06831,4,2,Formamidopyrimidine-DNA glycosylase H2TH domain
PF01149,1,1,Formamidopyrimidine-DNA glycosylase N-terminal domain
PF02229,1,1,Transcriptional Coactivator p15 (PC4)
PF08766,3,2,DEK C terminal domain
PF00441,5,6,"Acyl-CoA dehydrogenase, C-terminal domain"
PF01756,4,4,Acyl-CoA oxidase
PF02770,8,8,"Acyl-CoA dehydrogenase, middle domain"
PF06524,1,1,NOA36 protein
PF00570,5,2,HRDC domain
PF05856,1,1,ARP2/3 complex 20 kDa subunit (ARPC4)
PF13519,11,4,von Willebrand factor type A domain
PF17868,3,2,AAA lid domain
PF20030,3,2,MoxR domain in the MoxR-vWA-beta-propeller ternary systems
PF00581,19,15,Rhodanese-like domain
PF00782,16,11,"Dual specificity phosphatase, catalytic domain"
PF16697,5,4,"Inner membrane component of T3SS, cytoplasmic domain"
PF06293,5,4,Lipopolysaccharide kinase (Kdo/WaaP) family
PF13242,12,10,HAD-hyrolase-like
PF13419,13,9,Haloacid dehalogenase-like hydrolase
PF12171,3,3,Zinc-finger double-stranded RNA-binding
PF12874,5,4,Zinc-finger of C2H2 type
PF01243,7,6,Pyridoxamine 5'-phosphate oxidase
PF13883,4,3,Pyridoxamine 5'-phosphate oxidase
PF06549,2,2,Protein of unknown function (DUF1118)
PF00763,2,2,"Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain"
PF02416,2,2,mttA/Hcf106 family
PF01351,2,1,Ribonuclease HII
PF12483,1,1,E3 Ubiquitin ligase
PF14447,7,2,Prokaryotic RING finger family 4
PF08445,13,5,FR47-like protein
PF12812,1,1,PDZ-like domain
PF13180,12,6,PDZ domain
PF13365,15,15,Trypsin-like peptidase domain
PF17820,9,7,PDZ domain
PF14833,7,6,NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
PF01090,1,1,Ribosomal protein S19e
PF14772,2,2,Sperm tail
PF14775,2,2,Sperm tail C-terminal domain
PF01535,18,15,PPR repeat
PF02984,6,6,"Cyclin, C-terminal domain"
PF12854,7,8,PPR repeat
PF13041,15,14,PPR repeat family
PF13812,18,15,Pentatricopeptide repeat domain
PF17177,13,9,Pentacotripeptide-repeat region of PRORP
PF05116,3,3,Sucrose-6F-phosphate phosphohydrolase
PF00385,7,4,Chromo (CHRromatin Organisation MOdifier) domain
PF02431,2,1,Chalcone-flavanone isomerase
PF16036,3,1,Chalcone isomerase-like
PF00848,1,1,Ring hydroxylating alpha subunit (catalytic domain)
PF04051,4,2,Transport protein particle (TRAPP) component
PF02575,1,1,YbaB/EbfC DNA-binding family
PF01434,9,9,Peptidase family M41
PF01287,1,1,"Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold"
PF00254,17,12,FKBP-type peptidyl-prolyl cis-trans isomerase
PF05697,1,0,Bacterial trigger factor protein (TF)
PF05698,1,0,Bacterial trigger factor protein (TF) C-terminus
PF00288,6,5,GHMP kinases N terminal domain
PF08544,5,4,GHMP kinases C terminal
PF10509,1,1,Galactokinase galactose-binding signature
PF02678,4,3,Pirin
PF17954,2,2,Quercetinase C-terminal cupin domain
PF07160,1,1,Spindle and kinetochore-associated protein 1
PF11708,1,1,Pre-mRNA splicing Prp18-interacting factor
PF00569,6,3,"Zinc finger, ZZ type"
PF07910,2,2,Peptidase family C78
PF00450,5,5,Serine carboxypeptidase
PF00447,2,1,HSF-type DNA-binding
PF00255,3,4,Glutathione peroxidase
PF00578,17,14,AhpC/TSA family
PF01490,21,19,Transmembrane amino acid transporter protein
PF08240,21,19,Alcohol dehydrogenase GroES-like domain
PF02415,2,1,Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat
PF00627,17,14,UBA/TS-N domain
PF00117,9,9,Glutamine amidotransferase class-I
PF06418,1,1,CTP synthase N-terminus
PF07722,6,6,Peptidase C26
PF13862,1,1,BCCIP
PF04359,1,1,Protein of unknown function (DUF493)
PF01201,2,2,Ribosomal protein S8e
PF09837,2,1,Uncharacterized protein conserved in bacteria (DUF2064)
PF09243,1,1,Mitochondrial small ribosomal subunit Rsm22
PF13489,44,30,Methyltransferase domain
PF09747,1,1,"Coiled-coil domain containing protein 97-like, C-terminal"
PF10615,1,2,Domain of unknown function (DUF2470)
PF14771,2,2,Domain of unknown function (DUF4476)
PF00847,19,15,AP2 domain
PF01066,4,3,CDP-alcohol phosphatidyltransferase
PF08584,1,0,Ribonuclease P 40kDa (Rpp40) subunit
PF05292,1,1,Malonyl-CoA decarboxylase C-terminal domain
PF17408,1,0,Malonyl-CoA decarboxylase N-terminal domain
PF05773,7,4,RWD domain
PF06544,2,2,Protein of unknown function (DUF1115)
PF00464,3,3,Serine hydroxymethyltransferase
PF01529,15,7,DHHC palmitoyltransferase
PF00428,3,3,60s Acidic ribosomal protein
PF07814,1,0,Wings apart-like protein regulation of heterochromatin
PF10996,2,2,Beta-Casp domain
PF16661,2,2,Metallo-beta-lactamase superfamily domain
PF06733,7,4,DEAD_2
PF13307,6,5,Helicase C-terminal domain
PF01288,1,1,"7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)"
PF12146,25,20,"Serine aminopeptidase, S33"
PF00046,2,2,Homeodomain
PF05066,5,4,"HB1, ASXL, restriction endonuclease HTH domain"
PF15612,2,2,"WSTF, HB1, Itc1p, MBD9 motif 1"
PF15613,3,2,"Williams-Beuren syndrome DDT (WSD), D-TOX E motif"
PF01852,3,3,START domain
PF01249,1,1,Ribosomal protein S21e
PF13020,2,2,"Protein NO VEIN, C-terminal"
PF01179,3,3,"Copper amine oxidase, enzyme domain"
