GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
GTX0536PRED_000030	GTX0536_1:173024-176725	-	470	hypothetical protein											GO:0016491 oxidoreductase activity		
GTX0536PRED_000031	GTX0536_1:177703-179408	-	231	hypothetical protein													
GTX0536PRED_000032	GTX0536_1:180529-182782	+	386	hypothetical protein													
GTX0536PRED_000033	GTX0536_1:183915-201948	-	2341	hypothetical protein											GO:0005515 protein binding		
GTX0536PRED_000034	GTX0536_1:202426-210871	+	633	hypothetical protein													
GTX0536PRED_000035	GTX0536_1:214944-215491	+	134	hypothetical protein													
GTX0536PRED_000036	GTX0536_1:215591-216228	-	138	hypothetical protein													
GTX0536PRED_000037	GTX0536_1:216476-219463	+	502	hypothetical protein													
GTX0536PRED_000038	GTX0536_1:220340-231240	-	1268	hypothetical protein													
GTX0536PRED_000038	GTX0536_1:221737-231000	-	1038	hypothetical protein													
GTX0536PRED_000039	GTX0536_1:231563-232125	+	112	hypothetical protein											GO:0004865 protein serine/threonine phosphatase inhibitor activity; GO:0032515 negative regulation of phosphoprotein phosphatase activity		
GTX0536PRED_000040	GTX0536_1:232844-234600	-	290	hypothetical protein													
GTX0536PRED_000041	GTX0536_1:236382-236963	-	111	hypothetical protein													
GTX0536PRED_000042	GTX0536_1:236987-237480	-	90	hypothetical protein													
GTX0536PRED_000043	GTX0536_1:237572-238409	-	169	hypothetical protein													
GTX0536PRED_000044	GTX0536_1:240801-241227	-	70	hypothetical protein													
GTX0536PRED_000045	GTX0536_1:242689-244044	-	164	60S ribosomal protein L21-2											GO:0005840 ribosome; GO:0003735 structural constituent of ribosome; GO:0006412 translation		
GTX0536PRED_000046	GTX0536_1:244362-246004	+	236	Plasma membrane sulfite pump involved in sulfite metabolism											GO:0016836 hydro-lyase activity		
GTX0536PRED_000047	GTX0536_1:246077-248643	-	318	hypothetical protein													
GTX0536PRED_000047	GTX0536_1:247451-248643	-	243	hypothetical protein													
GTX0536PRED_000048	GTX0536_1:249175-261459	+	2408	hypothetical protein											GO:0046872 metal ion binding		
GTX0536PRED_000049	GTX0536_1:262618-263447	+	191	hypothetical protein											GO:0016592 mediator complex; GO:0003712 transcription coregulator activity; GO:0006357 regulation of transcription by RNA polymerase II		
GTX0536PRED_000050	GTX0536_1:264696-265562	-	175	hypothetical protein													
GTX0536PRED_000051	GTX0536_1:266199-278927	-	948	hypothetical protein													
GTX0536PRED_000052	GTX0536_1:278984-279921	+	191	hypothetical protein													
GTX0536PRED_000053	GTX0536_1:280668-282727	-	256	hypothetical protein													
GTX0536PRED_000054	GTX0536_1:283064-290962	+	821	hypothetical protein											GO:0003887 DNA-directed DNA polymerase activity; GO:0003684 damaged DNA binding; GO:0006281 DNA repair		
GTX0536PRED_000055	GTX0536_1:291354-292367	-	183	iron-binding protein											GO:0051536 iron-sulfur cluster binding; GO:0005506 iron ion binding; GO:0016226 iron-sulfur cluster assembly		
GTX0536PRED_000056	GTX0536_1:292594-297764	+	540	hypothetical protein											GO:0003872 6-phosphofructokinase activity; GO:0006002 fructose 6-phosphate metabolic process; GO:0006096 glycolytic process		
GTX0536PRED_000057	GTX0536_1:298477-299752	+	265	hypothetical protein											GO:0042651 thylakoid membrane; GO:0009654 photosystem II oxygen evolving complex; GO:0009523 photosystem II; GO:0015979 photosynthesis		
GTX0536PRED_000058	GTX0536_1:300844-320905	-	2340	hypothetical protein													
GTX0536PRED_000059	GTX0536_1:322376-325277	+	292	hypothetical protein													
GTX0536PRED_000060	GTX0536_1:329637-331907	-	529	hypothetical protein											GO:0003700 DNA-binding transcription factor activity; GO:0006355 regulation of DNA-templated transcription		
GTX0536PRED_000060	GTX0536_1:329847-331907	-	563	hypothetical protein											GO:0003700 DNA-binding transcription factor activity; GO:0006355 regulation of DNA-templated transcription		
GTX0536PRED_000061	GTX0536_1:335619-336388	+	100	Ubiquitin-related modifier 1											GO:0005737 cytoplasm; GO:0034227 tRNA thio-modification		
GTX0536PRED_000062	GTX0536_1:338892-342019	-	460	hypothetical protein											GO:0003700 DNA-binding transcription factor activity		
GTX0536PRED_000063	GTX0536_1:346561-355574	+	906	hypothetical protein											GO:0003824 catalytic activity; GO:0005992 trehalose biosynthetic process		
GTX0536PRED_000064	GTX0536_1:357011-361394	+	539	hypothetical protein													
GTX0536PRED_000065	GTX0536_1:363046-365649	-	364	hypothetical protein													
GTX0536PRED_000066	GTX0536_1:369713-375195	+	744	hypothetical protein													
GTX0536PRED_000066	GTX0536_1:369713-373933	+	537	hypothetical protein													
GTX0536PRED_000067	GTX0536_1:375644-382126	-	1469	hypothetical protein													
GTX0536PRED_000068	GTX0536_1:382606-383857	+	229	hypothetical protein													
GTX0536PRED_000069	GTX0536_1:385005-385353	+	91	hypothetical protein													
GTX0536PRED_000070	GTX0536_1:385478-388958	+	323	hypothetical protein											GO:0016020 membrane; GO:0005524 ATP binding; GO:0055085 transmembrane transport		
GTX0536PRED_000071	GTX0536_1:389734-391916	-	337	hypothetical protein													
GTX0536PRED_000072	GTX0536_1:394639-395622	-	116	hypothetical protein													
GTX0536PRED_000073	GTX0536_1:396461-398802	-	304	hypothetical protein											GO:0016491 oxidoreductase activity		
GTX0536PRED_000074	GTX0536_1:400513-410892	-	885	hypothetical protein											GO:0016020 membrane; GO:0005216 monoatomic ion channel activity; GO:0005249 voltage-gated potassium channel activity; GO:0006811 monoatomic ion transport; GO:0006813 potassium ion transport; GO:0055085 transmembrane transport		
GTX0536PRED_000075	GTX0536_1:411527-415610	+	401	hypothetical protein													
GTX0536PRED_000076	GTX0536_1:416486-430278	-	1372	hypothetical protein											GO:0005634 nucleus		
GTX0536PRED_000076	GTX0536_1:416486-427476	-	1143	hypothetical protein											GO:0005634 nucleus		
GTX0536PRED_000077	GTX0536_1:430633-434247	+	638	hypothetical protein											GO:0003676 nucleic acid binding; GO:0008408 3'-5' exonuclease activity; GO:0006139 nucleobase-containing compound metabolic process		
GTX0536PRED_000077	GTX0536_1:430876-434247	+	557	hypothetical protein											GO:0003676 nucleic acid binding; GO:0008408 3'-5' exonuclease activity; GO:0006139 nucleobase-containing compound metabolic process		
GTX0536PRED_000077	GTX0536_1:430876-432911	+	309	hypothetical protein											GO:0003676 nucleic acid binding; GO:0008408 3'-5' exonuclease activity; GO:0006139 nucleobase-containing compound metabolic process		
GTX0536PRED_000078	GTX0536_1:435008-436100	+	363	hypothetical protein													
GTX0536PRED_000079	GTX0536_1:437781-442532	-	698	hypothetical protein													
GTX0536PRED_000080	GTX0536_1:442875-449836	+	1091	hypothetical protein													
GTX0536PRED_000081	GTX0536_1:450654-455023	+	580	hypothetical protein											GO:0008236 serine-type peptidase activity; GO:0005515 protein binding; GO:0006508 proteolysis		
GTX0536PRED_000082	GTX0536_1:455489-456939	-	329	hypothetical protein											GO:0006629 lipid metabolic process		
GTX0536PRED_000083	GTX0536_1:457380-463553	+	873	hypothetical protein													
GTX0536PRED_000084	GTX0536_1:463890-467844	-	884	hypothetical protein													
GTX0536PRED_000085	GTX0536_1:469968-470424	+	151	hypothetical protein													
GTX0536PRED_000086	GTX0536_1:470656-472789	-	613	hypothetical protein													
GTX0536PRED_000087	GTX0536_1:474295-476519	-	314	hypothetical protein													
GTX0536PRED_000088	GTX0536_1:477736-481866	-	305	hypothetical protein											GO:0016274 protein-arginine N-methyltransferase activity; GO:0018216 peptidyl-arginine methylation		
GTX0536PRED_000089	GTX0536_1:482043-487507	-	431	hypothetical protein											GO:0016274 protein-arginine N-methyltransferase activity; GO:0005515 protein binding; GO:0018216 peptidyl-arginine methylation		
GTX0536PRED_000090	GTX0536_1:491424-498422	+	1144	hypothetical protein											GO:0035735 intraciliary transport involved in cilium assembly		
GTX0536PRED_000091	GTX0536_1:503310-506004	-	381	hypothetical protein											GO:0055085 transmembrane transport		
GTX0536PRED_000092	GTX0536_1:506259-508820	+	326	hypothetical protein											GO:0003700 DNA-binding transcription factor activity; GO:0006355 regulation of DNA-templated transcription		
GTX0536PRED_000093	GTX0536_1:509100-509466	-	121	hypothetical protein													
GTX0536PRED_000094	GTX0536_1:511541-513512	-	167	hypothetical protein													
GTX0536PRED_000094	GTX0536_1:512508-513512	-	139	hypothetical protein													
GTX0536PRED_000095	GTX0536_1:513727-514811	-	225	hypothetical protein													
GTX0536PRED_000096	GTX0536_1:515733-516379	+	132	hypothetical protein													
GTX0536PRED_012622	GTX0536_1:518425-532692	+	1745	hypothetical protein											GO:0006355 regulation of DNA-templated transcription		
GTX0536PRED_000097	GTX0536_1:533400-535462	+	418	hypothetical protein											GO:0015629 actin cytoskeleton; GO:0005885 Arp2/3 protein complex; GO:0005515 protein binding; GO:0034314 Arp2/3 complex-mediated actin nucleation; GO:0030833 regulation of actin filament polymerization		
GTX0536PRED_000097	GTX0536_1:533400-534900	+	347	hypothetical protein											GO:0015629 actin cytoskeleton; GO:0005885 Arp2/3 protein complex; GO:0005515 protein binding; GO:0034314 Arp2/3 complex-mediated actin nucleation; GO:0030833 regulation of actin filament polymerization		
GTX0536PRED_000098	GTX0536_1:537874-538534	+	219	hypothetical protein													
GTX0536PRED_000099	GTX0536_1:539833-544517	-	397	hypothetical protein													
GTX0536PRED_000100	GTX0536_1:544712-545242	-	122	hypothetical protein													
GTX0536PRED_000101	GTX0536_1:545821-553027	-	736	hypothetical protein													
GTX0536PRED_000102	GTX0536_1:553454-555098	-	169	hypothetical protein											GO:0005515 protein binding		
GTX0536PRED_000103	GTX0536_1:555487-556742	+	355	hypothetical protein													
GTX0536PRED_000104	GTX0536_1:558042-566563	-	1501	hypothetical protein											GO:0000155 phosphorelay sensor kinase activity; GO:0016772 transferase activity, transferring phosphorus-containing groups; GO:0016310 phosphorylation; GO:0000160 phosphorelay signal transduction system; GO:0007165 signal transduction		
GTX0536PRED_000104	GTX0536_1:558373-566563	-	1480	hypothetical protein											GO:0000155 phosphorelay sensor kinase activity; GO:0016772 transferase activity, transferring phosphorus-containing groups; GO:0016310 phosphorylation; GO:0000160 phosphorelay signal transduction system; GO:0007165 signal transduction		
GTX0536PRED_000105	GTX0536_1:567535-571876	-	428	hypothetical protein											GO:0030170 pyridoxal phosphate binding; GO:0003824 catalytic activity; GO:0016740 transferase activity; GO:0009058 biosynthetic process		
GTX0536PRED_000106	GTX0536_1:574006-574375	-	122	hypothetical protein													
GTX0536PRED_000107	GTX0536_1:575594-577927	-	244	hypothetical protein											GO:0003700 DNA-binding transcription factor activity; GO:0006355 regulation of DNA-templated transcription		
GTX0536PRED_000107	GTX0536_1:576581-577927	-	185	hypothetical protein											GO:0003700 DNA-binding transcription factor activity; GO:0006355 regulation of DNA-templated transcription		
GTX0536PRED_000108	GTX0536_1:580199-588734	+	827	hypothetical protein											GO:0030170 pyridoxal phosphate binding; GO:0005524 ATP binding; GO:0008483 transaminase activity; GO:0000287 magnesium ion binding; GO:0004141 dethiobiotin synthase activity; GO:0003824 catalytic activity; GO:0009102 biotin biosynthetic process		
GTX0536PRED_000109	GTX0536_1:588805-589850	-	208	hypothetical protein											GO:0016787 hydrolase activity		
GTX0536PRED_000110	GTX0536_1:590234-594960	+	430	hypothetical protein											GO:0051536 iron-sulfur cluster binding; GO:0003824 catalytic activity; GO:0004076 biotin synthase activity; GO:0009102 biotin biosynthetic process		
GTX0536PRED_000111	GTX0536_1:596794-597250	+	151	hypothetical protein													
GTX0536PRED_000112	GTX0536_1:598387-600163	-	266	hypothetical protein													
GTX0536PRED_000113	GTX0536_1:601043-603080	-	273	hypothetical protein													
GTX0536PRED_000114	GTX0536_1:603564-607506	+	710	hypothetical protein											GO:0005515 protein binding		
GTX0536PRED_000115	GTX0536_1:608235-609345	-	233	hypothetical protein													
GTX0536PRED_000116	GTX0536_1:609830-612238	-	287	hypothetical protein											GO:0005737 cytoplasm; GO:0005852 eukaryotic translation initiation factor 3 complex; GO:0003676 nucleic acid binding; GO:0003743 translation initiation factor activity		
GTX0536PRED_000117	GTX0536_1:612543-623601	+	1247	hypothetical protein											GO:0005524 ATP binding; GO:0070615 ATP-dependent chromatin remodeler activity		
GTX0536PRED_000117	GTX0536_1:613012-622697	+	1013	hypothetical protein											GO:0005524 ATP binding; GO:0070615 ATP-dependent chromatin remodeler activity		
GTX0536PRED_000118	GTX0536_1:624460-631331	+	1230	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
GTX0536PRED_000119	GTX0536_1:631583-631952	+	122	hypothetical protein													
GTX0536PRED_000120	GTX0536_1:632701-673827	+	4177	hypothetical protein											GO:0005858 axonemal dynein complex; GO:0030286 dynein complex; GO:0003777 microtubule motor activity; GO:0005524 ATP binding; GO:0008569 minus-end-directed microtubule motor activity; GO:0016887 ATP hydrolysis activity; GO:0007018 microtubule-based movement; GO:0060285 cilium-dependent cell motility		
GTX0536PRED_000121	GTX0536_1:674563-675660	-	224	hypothetical protein											GO:0030145 manganese ion binding		
GTX0536PRED_000122	GTX0536_1:678655-682664	-	595	hypothetical protein													
GTX0536PRED_000123	GTX0536_1:682992-695524	+	1077	hypothetical protein											GO:0000145 exocyst; GO:0006904 vesicle docking involved in exocytosis; GO:0090522 vesicle tethering involved in exocytosis		
GTX0536PRED_000124	GTX0536_1:697592-698465	-	87	hypothetical protein											GO:0004114 3',5'-cyclic-nucleotide phosphodiesterase activity; GO:0007165 signal transduction		
GTX0536PRED_000125	GTX0536_1:702099-708462	-	514	hypothetical protein											GO:0071949 FAD binding		
GTX0536PRED_000126	GTX0536_1:709022-713905	-	245	hypothetical protein											GO:0005674 transcription factor TFIIF complex; GO:0006367 transcription initiation at RNA polymerase II promoter; GO:0006366 transcription by RNA polymerase II		
GTX0536PRED_000127	GTX0536_1:714156-725177	-	1123	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
GTX0536PRED_000128	GTX0536_1:725837-729073	+	358	hypothetical protein											GO:0005515 protein binding		
GTX0536PRED_000129	GTX0536_1:733576-735386	-	492	hypothetical protein											GO:0003676 nucleic acid binding		
GTX0536PRED_000129	GTX0536_1:733595-735386	-	489	hypothetical protein											GO:0003676 nucleic acid binding		
GTX0536PRED_000130	GTX0536_1:735906-740147	-	448	hypothetical protein											GO:0004407 histone deacetylase activity; GO:0016575 histone deacetylation		
GTX0536PRED_000130	GTX0536_1:735906-740116	-	400	hypothetical protein											GO:0004407 histone deacetylase activity; GO:0016575 histone deacetylation		
GTX0536PRED_000131	GTX0536_1:740765-743335	+	732	hypothetical protein													
GTX0536PRED_000132	GTX0536_1:744850-749558	-	458	hypothetical protein											GO:0016790 thiolester hydrolase activity		
GTX0536PRED_000133	GTX0536_1:749819-750764	+	150	hypothetical protein													
GTX0536PRED_000134	GTX0536_1:752023-762653	-	1153	hypothetical protein											GO:0005634 nucleus; GO:0006357 regulation of transcription by RNA polymerase II; GO:0051726 regulation of cell cycle		
GTX0536PRED_000135	GTX0536_1:764561-764924	+	120	hypothetical protein													
GTX0536PRED_000136	GTX0536_1:767482-771799	-	323	hypothetical protein											GO:0003824 catalytic activity		
GTX0536PRED_000137	GTX0536_1:772313-776115	+	433	hypothetical protein											GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0005975 carbohydrate metabolic process		
GTX0536PRED_000138	GTX0536_1:779231-780747	-	217	hypothetical protein											GO:0016021 membrane; GO:0016192 vesicle-mediated transport		
GTX0536PRED_000139	GTX0536_1:781334-786012	+	447	hypothetical protein													
GTX0536PRED_000140	GTX0536_1:786346-793045	-	812	hypothetical protein													
GTX0536PRED_000140	GTX0536_1:786346-792334	-	657	hypothetical protein													
GTX0536PRED_000141	GTX0536_1:793422-793808	+	113	hypothetical protein													
GTX0536PRED_000142	GTX0536_1:799006-800860	+	173	hypothetical protein													
GTX0536PRED_000143	GTX0536_1:802700-811336	-	984	hypothetical protein											GO:0016757 glycosyltransferase activity; GO:0005515 protein binding; GO:0006493 protein O-linked glycosylation		
GTX0536PRED_000144	GTX0536_1:812421-814187	-	170	hypothetical protein													
GTX0536PRED_012623	GTX0536_1:817539-820077	+	365	hypothetical protein													
GTX0536PRED_000145	GTX0536_1:823910-824402	-	163	hypothetical protein											GO:0005515 protein binding; GO:0051260 protein homooligomerization		
GTX0536PRED_000146	GTX0536_1:828946-839114	+	840	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
GTX0536PRED_000146	GTX0536_1:828946-839055	+	876	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
GTX0536PRED_000146	GTX0536_1:828946-835594	+	768	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
GTX0536PRED_000147	GTX0536_1:840310-844012	-	595	hypothetical protein											GO:0003677 DNA binding		
GTX0536PRED_000148	GTX0536_1:846199-849065	+	611	hypothetical protein											GO:0003676 nucleic acid binding		
GTX0536PRED_000149	GTX0536_1:850552-854645	-	502	hypothetical protein											GO:0016491 oxidoreductase activity		
GTX0536PRED_000150	GTX0536_1:854960-855908	+	138	hypothetical protein													
GTX0536PRED_000151	GTX0536_1:856509-866816	-	522	hypothetical protein													
GTX0536PRED_000152	GTX0536_1:867095-868761	+	350	hypothetical protein													
GTX0536PRED_000153	GTX0536_1:869037-875278	-	604	hypothetical protein													
GTX0536PRED_000154	GTX0536_1:875540-877972	+	488	hypothetical protein													
GTX0536PRED_000155	GTX0536_1:878934-882755	+	407	hypothetical protein											GO:0005885 Arp2/3 protein complex; GO:0005524 ATP binding; GO:0034314 Arp2/3 complex-mediated actin nucleation; GO:0007015 actin filament organization		
GTX0536PRED_000156	GTX0536_1:883638-894794	+	1236	hypothetical protein											GO:0004842 ubiquitin-protein transferase activity; GO:0005515 protein binding		
GTX0536PRED_000157	GTX0536_1:897286-904781	-	550	hypothetical protein													
GTX0536PRED_000157	GTX0536_1:897927-904781	-	523	hypothetical protein													
GTX0536PRED_000158	GTX0536_1:905500-911415	-	469	hypothetical protein											GO:0015419 ABC-type sulfate transporter activity; GO:0008272 sulfate transport		
GTX0536PRED_000158	GTX0536_1:905500-911182	-	439	hypothetical protein											GO:0015419 ABC-type sulfate transporter activity; GO:0008272 sulfate transport		
GTX0536PRED_000159	GTX0536_1:912427-913731	-	408	hypothetical protein											GO:0005524 ATP binding; GO:0004672 protein kinase activity; GO:0006468 protein phosphorylation		
GTX0536PRED_000160	GTX0536_1:915385-916208	-	179	hypothetical protein													
GTX0536PRED_000160	GTX0536_1:915527-916208	-	162	hypothetical protein													
GTX0536PRED_000161	GTX0536_1:920445-921516	+	227	hypothetical protein													
GTX0536PRED_000162	GTX0536_1:924621-925955	-	226	hypothetical protein													
GTX0536PRED_000163	GTX0536_1:926594-935402	+	1605	hypothetical protein													
GTX0536PRED_000164	GTX0536_1:936146-936865	-	187	hypothetical protein													
GTX0536PRED_000165	GTX0536_1:937780-943254	+	553	hypothetical protein											GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0004563 beta-N-acetylhexosaminidase activity; GO:0005975 carbohydrate metabolic process		
GTX0536PRED_000166	GTX0536_1:943989-951552	-	940	hypothetical protein													
GTX0536PRED_000167	GTX0536_1:954882-957814	-	420	hypothetical protein													
GTX0536PRED_000167	GTX0536_1:954882-957370	-	320	hypothetical protein													
GTX0536PRED_000167	GTX0536_1:954882-956428	-	262	hypothetical protein													
GTX0536PRED_000167	GTX0536_1:955969-957814	-	310	hypothetical protein													
GTX0536PRED_000168	GTX0536_1:958986-961952	+	274	hypothetical protein													
GTX0536PRED_000169	GTX0536_1:962741-965118	+	256	hypothetical protein											GO:0016021 membrane		
GTX0536PRED_000170	GTX0536_1:966003-966939	+	215	hypothetical protein											GO:0003899 DNA-directed 5'-3' RNA polymerase activity; GO:0006352 DNA-templated transcription initiation; GO:0006351 DNA-templated transcription		
GTX0536PRED_000171	GTX0536_1:967743-969500	-	260	hypothetical protein											GO:0016020 membrane		
GTX0536PRED_000172	GTX0536_1:970243-973717	-	404	hypothetical protein											GO:0016791 phosphatase activity		
GTX0536PRED_000173	GTX0536_1:977367-980864	+	735	hypothetical protein													
GTX0536PRED_012624	GTX0536_1:982355-990730	+	734	hypothetical protein											GO:0003678 DNA helicase activity; GO:0006281 DNA repair; GO:0000723 telomere maintenance		
GTX0536PRED_012624	GTX0536_1:982355-990681	+	737	hypothetical protein											GO:0003678 DNA helicase activity; GO:0006281 DNA repair; GO:0000723 telomere maintenance		
GTX0536PRED_012624	GTX0536_1:982355-983430	+	234	hypothetical protein											GO:0003678 DNA helicase activity; GO:0006281 DNA repair; GO:0000723 telomere maintenance		
GTX0536PRED_000174	GTX0536_1:991258-994294	-	413	hypothetical protein													
GTX0536PRED_000175	GTX0536_1:994586-997462	+	352	COP9/signalosome complex subunit Csn4, variant 2											GO:0008180 COP9 signalosome		
GTX0536PRED_000175	GTX0536_1:995282-997885	+	270	COP9/signalosome complex subunit Csn4											GO:0008180 COP9 signalosome		
GTX0536PRED_000176	GTX0536_1:998497-1009377	+	908	hypothetical protein											GO:0005515 protein binding		
GTX0536PRED_000177	GTX0536_1:1011411-1011780	+	122	hypothetical protein													
GTX0536PRED_000178	GTX0536_1:1014447-1015344	+	134	hypothetical protein													
GTX0536PRED_000179	GTX0536_1:1016648-1017232	-	159	hypothetical protein													
GTX0536PRED_000180	GTX0536_1:1018594-1022017	-	346	hypothetical protein											GO:0016491 oxidoreductase activity; GO:0047834 D-threo-aldose 1-dehydrogenase activity		
GTX0536PRED_000181	GTX0536_1:1022465-1032239	+	730	hypothetical protein													
GTX0536PRED_000181	GTX0536_1:1022465-1032024	+	782	hypothetical protein													
GTX0536PRED_000182	GTX0536_1:1034385-1036124	-	253	hypothetical protein											GO:1902979 mitotic DNA replication termination		
GTX0536PRED_000183	GTX0536_1:1036756-1037246	+	133	hypothetical protein													
GTX0536PRED_000184	GTX0536_1:1038784-1043566	+	453	hypothetical protein													
GTX0536PRED_000184	GTX0536_1:1038784-1042537	+	357	hypothetical protein													
GTX0536PRED_000185	GTX0536_1:1044233-1045282	-	260	hypothetical protein											GO:0008270 zinc ion binding		
GTX0536PRED_000186	GTX0536_1:1046021-1048819	-	428	hypothetical protein											GO:0003690 double-stranded DNA binding; GO:0006355 regulation of DNA-templated transcription		
GTX0536PRED_000187	GTX0536_1:1049097-1050700	+	225	hypothetical protein											GO:0030991 intraciliary transport particle A		
GTX0536PRED_000188	GTX0536_1:1057706-1064581	+	634	hypothetical protein											GO:0005515 protein binding		
GTX0536PRED_000189	GTX0536_1:1065376-1067115	-	468	hypothetical protein													
GTX0536PRED_000189	GTX0536_1:1065376-1066462	-	361	hypothetical protein													
GTX0536PRED_000190	GTX0536_1:1067617-1068263	+	178	hypothetical protein													
GTX0536PRED_000191	GTX0536_1:1069342-1074743	-	362	hypothetical protein											GO:0052855 ADP-dependent NAD(P)H-hydrate dehydratase activity		
GTX0536PRED_000191	GTX0536_1:1069342-1074258	-	327	hypothetical protein											GO:0052855 ADP-dependent NAD(P)H-hydrate dehydratase activity		
GTX0536PRED_000192	GTX0536_1:1075212-1076861	+	287	hypothetical protein											GO:0016746 acyltransferase activity; GO:0006644 phospholipid metabolic process		
