GeneID	scaffold:start-end	strand	length	description	Ortho Group	EggNog	BUSCO	Secreted	TransMembrane	Protease family	CAZyme family	Transcription factor	InterPro Domains	PFAM Domains	GO terms	SecMet Cluster	SMCOG
SL003_000027	scaffold_1:181197-192645	-	1609	hypothetical protein											GO:0003950 NAD+ ADP-ribosyltransferase activity		
SL003_000028	scaffold_1:203908-213509	+	667	hypothetical protein											GO:0008374 O-acyltransferase activity; GO:0004144 diacylglycerol O-acyltransferase activity; GO:0019432 triglyceride biosynthetic process		
SL003_000029	scaffold_1:216953-230129	+	1355	hypothetical protein											GO:0006355 regulation of DNA-templated transcription; GO:0032784 regulation of DNA-templated transcription elongation; GO:0006357 regulation of transcription by RNA polymerase II		
SL003_000030	scaffold_1:233982-235505	+	211	hypothetical protein													
SL003_000031	scaffold_1:236552-240362	+	485	hypothetical protein													
SL003_000032	scaffold_1:240999-244268	-	452	Acyl-coenzyme A oxidase 4, peroxisomal											GO:0050660 flavin adenine dinucleotide binding; GO:0003995 acyl-CoA dehydrogenase activity; GO:0016627 oxidoreductase activity, acting on the CH-CH group of donors; GO:0006635 fatty acid beta-oxidation		
SL003_000033	scaffold_1:244650-252486	-	855	hypothetical protein											GO:1990939 microtubule motor activity; GO:0003777 microtubule motor activity; GO:0008017 microtubule binding; GO:0005524 ATP binding; GO:0007018 microtubule-based movement		
SL003_000034	scaffold_1:253823-257651	-	558	hypothetical protein											GO:0003676 nucleic acid binding		
SL003_000035	scaffold_1:260283-267728	-	1087	hypothetical protein													
SL003_000036	scaffold_1:268567-286169	+	1541	hypothetical protein											GO:0016757 glycosyltransferase activity; GO:0016787 hydrolase activity; GO:0004373 glycogen (starch) synthase activity; GO:0005515 protein binding		
SL003_000037	scaffold_1:286795-289963	-	400	hypothetical protein													
SL003_000038	scaffold_1:293631-303951	-	1597	hypothetical protein											GO:0004842 ubiquitin-protein transferase activity; GO:0016567 protein ubiquitination		
SL003_000039	scaffold_1:304475-308573	+	511	hypothetical protein											GO:0016021 membrane; GO:0015293 symporter activity		
SL003_000040	scaffold_1:309231-312561	-	316	hypothetical protein											GO:0005515 protein binding; GO:0006406 mRNA export from nucleus		
SL003_000041	scaffold_1:327342-328490	-	173	hypothetical protein													
SL003_000042	scaffold_1:328855-329200	+	114	hypothetical protein													
SL003_000043	scaffold_1:330727-337405	+	857	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_000044	scaffold_1:340749-343009	+	213	hypothetical protein													
SL003_000045	scaffold_1:343032-343461	+	142	hypothetical protein													
SL003_000046	scaffold_1:345004-351647	+	821	hypothetical protein											GO:0004672 protein kinase activity; GO:0005524 ATP binding; GO:0006468 protein phosphorylation		
SL003_000047	scaffold_1:357723-362064	-	357	hypothetical protein													
SL003_000048	scaffold_1:366190-370056	+	575	hypothetical protein													
SL003_000049	scaffold_1:379870-381265	-	267	hypothetical protein											GO:0030145 manganese ion binding		
SL003_000050	scaffold_1:382739-383158	-	72	hypothetical protein													
SL003_000051	scaffold_1:386195-387293	-	194	hypothetical protein											GO:0030145 manganese ion binding		
SL003_000052	scaffold_1:392796-396088	+	455	hypothetical protein													
SL003_000053	scaffold_1:397099-399384	-	141	hypothetical protein													
SL003_000054	scaffold_1:404414-404830	+	111	hypothetical protein													
SL003_000055	scaffold_1:406292-410245	-	410	hypothetical protein											GO:0004619 phosphoglycerate mutase activity; GO:0016868 intramolecular transferase activity, phosphotransferases; GO:0003824 catalytic activity; GO:0006096 glycolytic process		
SL003_000056	scaffold_1:414596-418660	+	303	hypothetical protein													
SL003_000057	scaffold_1:419534-422916	-	406	hypothetical protein											GO:0016020 membrane; GO:0016021 membrane; GO:0005385 zinc ion transmembrane transporter activity; GO:0046873 metal ion transmembrane transporter activity; GO:0071577 zinc ion transmembrane transport; GO:0055085 transmembrane transport; GO:0030001 metal ion transport		
SL003_000058	scaffold_1:425476-425812	+	111	hypothetical protein													
SL003_000059	scaffold_1:427067-428299	-	329	hypothetical protein											GO:0016020 membrane; GO:0016021 membrane; GO:0005385 zinc ion transmembrane transporter activity; GO:0046873 metal ion transmembrane transporter activity; GO:0071577 zinc ion transmembrane transport; GO:0055085 transmembrane transport; GO:0030001 metal ion transport		
SL003_000060	scaffold_1:431643-433572	+	62	hypothetical protein													
SL003_000061	scaffold_1:439126-441175	-	212	hypothetical protein													
SL003_000063	scaffold_1:442924-444343	-	201	hypothetical protein													
SL003_000064	scaffold_1:456159-457865	-	124	hypothetical protein													
SL003_000065	scaffold_1:459532-460620	-	239	hypothetical protein													
SL003_000066	scaffold_1:462073-464234	+	318	hypothetical protein													
SL003_000067	scaffold_1:464736-465507	-	256	hypothetical protein													
SL003_000068	scaffold_1:465667-468788	+	388	hypothetical protein											GO:0003676 nucleic acid binding		
SL003_000069	scaffold_1:471878-473009	-	376	hypothetical protein													
SL003_000070	scaffold_1:473560-476952	+	453	hypothetical protein											GO:0003676 nucleic acid binding; GO:0031124 mRNA 3'-end processing		
SL003_000071	scaffold_1:477967-498821	-	3215	hypothetical protein											GO:1990939 microtubule motor activity; GO:0003777 microtubule motor activity; GO:0008017 microtubule binding; GO:0005524 ATP binding; GO:0007018 microtubule-based movement		
SL003_000072	scaffold_1:499226-501680	+	561	hypothetical protein													
SL003_000073	scaffold_1:502954-506539	+	593	hypothetical protein											GO:0016757 glycosyltransferase activity; GO:0000026 alpha-1,2-mannosyltransferase activity; GO:0004376 glycolipid mannosyltransferase activity; GO:0006506 GPI anchor biosynthetic process		
SL003_000074	scaffold_1:507023-507868	+	108	hypothetical protein													
SL003_000075	scaffold_1:509174-512005	+	522	hypothetical protein													
SL003_000076	scaffold_1:512343-513442	-	208	hypothetical protein													
SL003_000077	scaffold_1:515277-515932	-	117	hypothetical protein													
SL003_000078	scaffold_1:520414-521358	-	106	hypothetical protein											GO:0016884 carbon-nitrogen ligase activity, with glutamine as amido-N-donor		
SL003_000079	scaffold_1:521404-527024	-	393	hypothetical protein											GO:0016884 carbon-nitrogen ligase activity, with glutamine as amido-N-donor; GO:0003824 catalytic activity; GO:0016874 ligase activity		
SL003_000080	scaffold_1:527155-527634	+	141	hypothetical protein											GO:0017054 negative cofactor 2 complex; GO:0140223 general transcription initiation factor activity; GO:0046982 protein heterodimerization activity; GO:0000122 negative regulation of transcription by RNA polymerase II		
SL003_000081	scaffold_1:528543-531895	-	528	hypothetical protein													
SL003_000082	scaffold_1:538947-548104	-	1026	hypothetical protein											GO:0005515 protein binding		
SL003_000083	scaffold_1:553067-557540	+	572	hypothetical protein											GO:0050660 flavin adenine dinucleotide binding; GO:0004499 N,N-dimethylaniline monooxygenase activity; GO:0050661 NADP binding		
SL003_000084	scaffold_1:559255-560772	+	255	Chlorophyll a-b binding protein of LHCII type I, chloroplastic											GO:0016020 membrane; GO:0009765 photosynthesis, light harvesting		
SL003_000085	scaffold_1:561844-576031	-	1516	hypothetical protein													
SL003_000086	scaffold_1:579193-583436	-	541	hypothetical protein											GO:0004396 hexokinase activity; GO:0005536 glucose binding; GO:0016773 phosphotransferase activity, alcohol group as acceptor; GO:0005524 ATP binding; GO:0001678 intracellular glucose homeostasis; GO:0005975 carbohydrate metabolic process		
SL003_000087	scaffold_1:583986-594238	+	1080	hypothetical protein											GO:0004519 endonuclease activity; GO:0030983 mismatched DNA binding; GO:0016887 ATP hydrolysis activity; GO:0005524 ATP binding; GO:0006298 mismatch repair; GO:0045910 negative regulation of DNA recombination		
SL003_000088	scaffold_1:597249-601017	-	573	hypothetical protein											GO:0003676 nucleic acid binding		
SL003_000089	scaffold_1:603953-606210	-	400	hypothetical protein													
SL003_000090	scaffold_1:607035-608909	+	297	hypothetical protein													
SL003_000091	scaffold_1:610234-627784	-	1479	hypothetical protein													
SL003_000092	scaffold_1:629643-630846	+	221	hypothetical protein											GO:0016021 membrane; GO:0005484 SNAP receptor activity; GO:0016192 vesicle-mediated transport; GO:0006890 retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum; GO:0006888 endoplasmic reticulum to Golgi vesicle-mediated transport		
SL003_000093	scaffold_1:632567-641110	+	1001	hypothetical protein													
SL003_000094	scaffold_1:647437-649374	+	332	hypothetical protein													
SL003_000095	scaffold_1:652757-660174	-	522	hypothetical protein											GO:0020037 heme binding; GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0004497 monooxygenase activity; GO:0005506 iron ion binding		
SL003_000096	scaffold_1:661069-672153	-	838	hypothetical protein											GO:0016020 membrane; GO:0005249 voltage-gated potassium channel activity; GO:0005515 protein binding; GO:0006813 potassium ion transport		
SL003_000097	scaffold_1:673198-675290	-	288	hypothetical protein													
SL003_000098	scaffold_1:675957-677903	+	283	hypothetical protein													
SL003_000099	scaffold_1:678759-684984	-	532	hypothetical protein											GO:0016491 oxidoreductase activity		
SL003_000100	scaffold_1:686198-687212	-	130	hypothetical protein													
SL003_000101	scaffold_1:688078-690109	+	213	hypothetical protein											GO:0030145 manganese ion binding		
SL003_000102	scaffold_1:695855-699272	+	615	hypothetical protein											GO:0016021 membrane		
SL003_000103	scaffold_1:700519-703954	-	896	hypothetical protein													
SL003_000104	scaffold_1:704998-711955	+	648	hypothetical protein													
SL003_000105	scaffold_1:712456-713416	-	139	Peptide methionine sulfoxide reductase B5											GO:0016671 oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor; GO:0033743 peptide-methionine (R)-S-oxide reductase activity; GO:0030091 protein repair; GO:0006979 response to oxidative stress		
SL003_000106	scaffold_1:717661-718088	-	103	hypothetical protein													
SL003_000107	scaffold_1:718601-720841	+	441	cAMP-dependent protein kinase regulatory subunit Cgs1											GO:0003962 cystathionine gamma-synthase activity; GO:0030170 pyridoxal phosphate binding; GO:0003824 catalytic activity; GO:0009086 methionine biosynthetic process; GO:0019346 transsulfuration		
SL003_000108	scaffold_1:721329-725290	-	415	hypothetical protein											GO:0016791 phosphatase activity; GO:0004722 protein serine/threonine phosphatase activity; GO:0043169 cation binding; GO:0006470 protein dephosphorylation		
SL003_000109	scaffold_1:727437-729962	-	226	hypothetical protein													
SL003_000110	scaffold_1:735977-740149	-	495	nucleoside triphosphate pyrophosphohydrolase ham1											GO:0004402 histone acetyltransferase activity; GO:0006355 regulation of DNA-templated transcription; GO:0016573 histone acetylation		
SL003_000111	scaffold_1:741610-743765	-	215	hypothetical protein											GO:0016776 phosphotransferase activity, phosphate group as acceptor; GO:0004017 adenylate kinase activity; GO:0019205 nucleobase-containing compound kinase activity; GO:0005524 ATP binding; GO:0006139 nucleobase-containing compound metabolic process		
SL003_000112	scaffold_1:744583-753601	+	769	hypothetical protein											GO:0005634 nucleus; GO:0005524 ATP binding; GO:0003678 DNA helicase activity; GO:0003677 DNA binding; GO:0016818 hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides; GO:0016787 hydrolase activity; GO:0003676 nucleic acid binding; GO:0004386 helicase activity; GO:0006139 nucleobase-containing compound metabolic process; GO:0006289 nucleotide-excision repair		
SL003_000113	scaffold_1:754179-755763	-	239	hypothetical protein											GO:0003676 nucleic acid binding		
SL003_000114	scaffold_1:756471-759549	+	325	hypothetical protein											GO:0016747 acyltransferase activity, transferring groups other than amino-acyl groups		
SL003_000115	scaffold_1:761152-776037	-	1263	hypothetical protein											GO:0008168 methyltransferase activity; GO:0003682 chromatin binding		
SL003_000116	scaffold_1:777183-791257	+	1099	hypothetical protein											GO:0003677 DNA binding; GO:0005524 ATP binding		
SL003_000117	scaffold_1:791826-792276	+	149	hypothetical protein													
SL003_000118	scaffold_1:793402-795564	+	253	hypothetical protein											GO:0005783 endoplasmic reticulum; GO:0003756 protein disulfide isomerase activity		
SL003_000119	scaffold_1:796321-801939	+	620	hypothetical protein													
SL003_000121	scaffold_1:806717-808092	-	199	hypothetical protein											GO:0004619 phosphoglycerate mutase activity; GO:0016868 intramolecular transferase activity, phosphotransferases; GO:0006096 glycolytic process		
SL003_000122	scaffold_1:808801-817693	-	631	hypothetical protein											GO:0016208 AMP binding; GO:0003987 acetate-CoA ligase activity; GO:0019427 acetyl-CoA biosynthetic process from acetate		
SL003_000123	scaffold_1:818889-819658	+	160	hypothetical protein													
SL003_000124	scaffold_1:820403-823906	-	411	hypothetical protein											GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0003824 catalytic activity; GO:0005975 carbohydrate metabolic process		
SL003_000125	scaffold_1:824345-827235	-	375	hypothetical protein											GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0003824 catalytic activity; GO:0005975 carbohydrate metabolic process		
SL003_000126	scaffold_1:827814-847999	+	1882	hypothetical protein											GO:0007064 mitotic sister chromatid cohesion		
SL003_000127	scaffold_1:849744-852159	-	378	hypothetical protein													
SL003_000128	scaffold_1:853125-858222	+	600	hypothetical protein											GO:0016491 oxidoreductase activity		
SL003_000129	scaffold_1:858580-859799	-	225	hypothetical protein											GO:0005515 protein binding		
SL003_000130	scaffold_1:860931-866729	+	451	hypothetical protein													
SL003_000131	scaffold_1:867919-868441	-	146	hypothetical protein													
SL003_000132	scaffold_1:872691-873156	-	154	hypothetical protein													
SL003_000133	scaffold_1:873303-874418	-	179	hypothetical protein													
SL003_000134	scaffold_1:876267-878625	-	326	hypothetical protein											GO:0004721 phosphoprotein phosphatase activity; GO:0004725 protein tyrosine phosphatase activity; GO:0016311 dephosphorylation		
SL003_000135	scaffold_1:879663-880731	+	355	hypothetical protein													
SL003_000136	scaffold_1:881040-881914	+	91	hypothetical protein													
SL003_000137	scaffold_1:885460-886861	-	274	hypothetical protein											GO:0055085 transmembrane transport		
SL003_000138	scaffold_1:888036-889965	+	225	hypothetical protein													
SL003_000139	scaffold_1:890022-891817	+	336	hypothetical protein													
SL003_000140	scaffold_1:896099-903241	+	696	hypothetical protein											GO:0005777 peroxisome; GO:0050660 flavin adenine dinucleotide binding; GO:0071949 FAD binding; GO:0003997 acyl-CoA oxidase activity; GO:0016627 oxidoreductase activity, acting on the CH-CH group of donors; GO:0006635 fatty acid beta-oxidation; GO:0006631 fatty acid metabolic process		
SL003_000141	scaffold_1:906366-908609	+	303	hypothetical protein													
SL003_000142	scaffold_1:910031-914117	-	544	hypothetical protein													
SL003_000143	scaffold_1:914791-920359	+	859	hypothetical protein											GO:0004553 hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0003824 catalytic activity; GO:0005975 carbohydrate metabolic process		
SL003_000144	scaffold_1:922819-931812	+	759	hypothetical protein											GO:0004252 serine-type endopeptidase activity; GO:0008236 serine-type peptidase activity; GO:0006508 proteolysis		
SL003_000145	scaffold_1:932734-933841	-	168	hypothetical protein											GO:0006412 translation		
SL003_000146	scaffold_1:934681-936934	+	392	Ribosomal RNA assembly protein mis3											GO:0003723 RNA binding; GO:0003676 nucleic acid binding		
SL003_000147	scaffold_1:937411-938687	-	258	hypothetical protein													
SL003_000148	scaffold_1:939689-954981	-	2139	hypothetical protein											GO:0006606 protein import into nucleus		
SL003_000149	scaffold_1:955289-962176	+	1036	hypothetical protein											GO:0035101 FACT complex		
SL003_000150	scaffold_1:962544-962940	-	99	hypothetical protein													
SL003_000151	scaffold_1:964051-965679	+	184	hypothetical protein											GO:0016020 membrane; GO:0008241 peptidyl-dipeptidase activity; GO:0008237 metallopeptidase activity; GO:0006508 proteolysis		
SL003_000152	scaffold_1:965798-970472	+	438	hypothetical protein											GO:0004222 metalloendopeptidase activity; GO:0006508 proteolysis		
SL003_000153	scaffold_1:971229-972536	-	291	hypothetical protein											GO:0008168 methyltransferase activity		
SL003_000154	scaffold_1:973106-981473	+	973	hypothetical protein											GO:0005634 nucleus; GO:0003676 nucleic acid binding; GO:0005515 protein binding		
SL003_000155	scaffold_1:981891-983542	+	221	hypothetical protein											GO:0005634 nucleus; GO:0003676 nucleic acid binding; GO:0005515 protein binding		
SL003_000156	scaffold_1:983616-986845	-	473	hypothetical protein											GO:0005525 GTP binding; GO:0003924 GTPase activity		
SL003_000157	scaffold_1:991152-1000802	+	1382	hypothetical protein													
SL003_000158	scaffold_1:1001178-1023270	+	3031	Dynein-1-beta heavy chain, flagellar inner arm I1 complex											GO:0030286 dynein complex; GO:0008569 minus-end-directed microtubule motor activity; GO:0005524 ATP binding; GO:0007018 microtubule-based movement		
SL003_000159	scaffold_1:1024168-1030333	-	882	hypothetical protein											GO:0050464 nitrate reductase (NADPH) activity; GO:0016491 oxidoreductase activity; GO:0043546 molybdopterin cofactor binding; GO:0020037 heme binding; GO:0030151 molybdenum ion binding; GO:0042128 nitrate assimilation; GO:0006809 nitric oxide biosynthetic process		
SL003_000160	scaffold_1:1031112-1037517	+	682	hypothetical protein											GO:0016491 oxidoreductase activity		
SL003_000161	scaffold_1:1042553-1043677	+	160	hypothetical protein													
SL003_000162	scaffold_1:1044255-1047027	-	430	hypothetical protein											GO:0008289 lipid binding		
SL003_000163	scaffold_1:1047599-1050428	-	503	hypothetical protein											GO:0005737 cytoplasm; GO:0000287 magnesium ion binding; GO:0046872 metal ion binding; GO:0043874 acireductone synthase activity; GO:0019509 L-methionine salvage from methylthioadenosine		
SL003_000164	scaffold_1:1050931-1051907	+	194	hypothetical protein											GO:0005794 Golgi apparatus; GO:0005484 SNAP receptor activity; GO:0016192 vesicle-mediated transport		
SL003_000165	scaffold_1:1052954-1054090	-	242	hypothetical protein											GO:0031965 nuclear membrane; GO:0017056 structural constituent of nuclear pore; GO:0003676 nucleic acid binding; GO:0006913 nucleocytoplasmic transport		
SL003_000166	scaffold_1:1054495-1058566	+	588	hypothetical protein											GO:0005515 protein binding		
SL003_000167	scaffold_1:1059377-1060727	-	252	hypothetical protein													
SL003_000168	scaffold_1:1061933-1062566	-	210	hypothetical protein													
SL003_000169	scaffold_1:1065148-1066266	+	228	hypothetical protein											GO:0031262 Ndc80 complex; GO:0007059 chromosome segregation		
SL003_000170	scaffold_1:1067011-1070737	-	431	hypothetical protein													
SL003_000171	scaffold_1:1086838-1090196	-	608	hypothetical protein											GO:0003676 nucleic acid binding; GO:0006397 mRNA processing		
SL003_000172	scaffold_1:1090799-1091645	+	175	hypothetical protein													
SL003_000173	scaffold_1:1092505-1097025	-	829	hypothetical protein											GO:0005515 protein binding		
SL003_000174	scaffold_1:1104985-1109734	-	693	hypothetical protein													
SL003_000175	scaffold_1:1111614-1112825	+	357	hypothetical protein													
SL003_000176	scaffold_1:1119705-1120251	-	131	hypothetical protein													
SL003_000177	scaffold_1:1129488-1130151	-	124	hypothetical protein													
SL003_000178	scaffold_1:1158437-1160536	-	654	hypothetical protein											GO:0004190 aspartic-type endopeptidase activity; GO:0008270 zinc ion binding; GO:0003676 nucleic acid binding; GO:0006508 proteolysis		
SL003_000180	scaffold_1:1172790-1174690	+	524	hypothetical protein											GO:0008270 zinc ion binding; GO:0003676 nucleic acid binding		
SL003_000181	scaffold_1:1180740-1181273	+	87	hypothetical protein													
SL003_000182	scaffold_1:1182609-1188620	-	790	hypothetical protein													
SL003_000183	scaffold_1:1190286-1197312	+	771	hypothetical protein											GO:0020037 heme binding; GO:0016705 oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; GO:0004497 monooxygenase activity; GO:0005506 iron ion binding		
SL003_000184	scaffold_1:1199447-1200705	+	83	hypothetical protein													
SL003_000185	scaffold_1:1201353-1208493	-	1405	hypothetical protein											GO:0031213 RSF complex; GO:0006355 regulation of DNA-templated transcription		
SL003_000186	scaffold_1:1210513-1212214	+	308	hypothetical protein													
SL003_000187	scaffold_1:1213515-1215973	+	359	hypothetical protein											GO:0004739 pyruvate dehydrogenase (acetyl-transferring) activity; GO:0003824 catalytic activity; GO:0006086 acetyl-CoA biosynthetic process from pyruvate		
SL003_000188	scaffold_1:1216039-1224564	+	1358	hypothetical protein													
SL003_000189	scaffold_1:1225351-1228454	-	522	hypothetical protein											GO:0005783 endoplasmic reticulum; GO:0016758 hexosyltransferase activity; GO:0042281 dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity; GO:0006488 dolichol-linked oligosaccharide biosynthetic process		
SL003_000190	scaffold_1:1229110-1235562	+	605	hypothetical protein													
SL003_000191	scaffold_1:1236431-1240711	-	526	dihydrolipoamide dehydrogenase precursor											GO:0050660 flavin adenine dinucleotide binding; GO:0016491 oxidoreductase activity; GO:0016668 oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor; GO:0045454 cell redox homeostasis		
SL003_000192	scaffold_1:1242941-1243976	-	344	hypothetical protein													
SL003_000193	scaffold_1:1244427-1245882	+	330	hypothetical protein													
SL003_000194	scaffold_1:1248613-1250384	-	291	hypothetical protein													
SL003_000195	scaffold_1:1250915-1253454	+	327	hypothetical protein											GO:0050660 flavin adenine dinucleotide binding; GO:0009055 electron transfer activity		
SL003_000196	scaffold_1:1255378-1260461	+	908	hypothetical protein											GO:0009415 response to water		
SL003_000197	scaffold_1:1261552-1262722	-	223	GTP-binding nuclear protein											GO:0005525 GTP binding; GO:0003924 GTPase activity; GO:0006913 nucleocytoplasmic transport		
SL003_000198	scaffold_1:1264404-1265151	-	149	hypothetical protein													
SL003_000199	scaffold_1:1265456-1267664	+	415	hypothetical protein													
SL003_000200	scaffold_1:1268642-1273662	-	543	hypothetical protein													
SL003_000201	scaffold_1:1274131-1274494	-	120	hypothetical protein													
SL003_000202	scaffold_1:1277361-1287703	+	1750	hypothetical protein													
SL003_000203	scaffold_1:1288607-1292338	-	549	hypothetical protein											GO:0005643 nuclear pore; GO:0017056 structural constituent of nuclear pore; GO:0008139 nuclear localization sequence binding; GO:0006913 nucleocytoplasmic transport		
SL003_000204	scaffold_1:1296455-1297952	-	265	hypothetical protein													
SL003_000205	scaffold_1:1298167-1299661	+	200	hypothetical protein											GO:0003725 double-stranded RNA binding		
SL003_000206	scaffold_1:1302730-1303545	-	194	hypothetical protein													
SL003_000207	scaffold_1:1306889-1311098	+	520	hypothetical protein													
SL003_000208	scaffold_1:1313942-1318172	+	707	hypothetical protein											GO:0005085 guanyl-nucleotide exchange factor activity; GO:0016192 vesicle-mediated transport		
SL003_000209	scaffold_1:1318733-1323700	-	702	hypothetical protein											GO:0016020 membrane; GO:0005524 ATP binding		
SL003_000210	scaffold_1:1326767-1343530	+	2923	hypothetical protein											GO:0004842 ubiquitin-protein transferase activity; GO:0016887 ATP hydrolysis activity		
SL003_000211	scaffold_1:1343738-1354523	+	2207	hypothetical protein													
SL003_000212	scaffold_1:1355035-1355645	+	150	hypothetical protein													
SL003_000213	scaffold_1:1357029-1360360	-	756	hypothetical protein											GO:0005515 protein binding		
SL003_000214	scaffold_1:1361497-1362936	+	191	hypothetical protein											GO:0005515 protein binding		
SL003_000215	scaffold_1:1364367-1366413	+	406	hypothetical protein											GO:0005515 protein binding		
SL003_000216	scaffold_1:1366759-1368226	-	243	Ras-related protein Rab-23											GO:0005525 GTP binding; GO:0003924 GTPase activity		
SL003_000217	scaffold_1:1369684-1370859	+	131	nucleoside diphosphate kinase											GO:0004550 nucleoside diphosphate kinase activity; GO:0006241 CTP biosynthetic process; GO:0006165; GO:0006228 UTP biosynthetic process; GO:0006183 GTP biosynthetic process		
SL003_000218	scaffold_1:1371097-1377064	-	640	hypothetical protein											GO:0005515 protein binding		
SL003_000219	scaffold_1:1378524-1379276	-	145	hypothetical protein											GO:0005730 nucleolus; GO:1990904 ribonucleoprotein complex; GO:0003723 RNA binding; GO:0042254 ribosome biogenesis		
SL003_000220	scaffold_1:1379607-1382391	+	558	hypothetical protein											GO:0070122; GO:0061578 K63-linked deubiquitinase activity; GO:0005515 protein binding; GO:0008237 metallopeptidase activity; GO:0070536 protein K63-linked deubiquitination; GO:0016579 protein deubiquitination		
SL003_000221	scaffold_1:1383209-1384000	-	195	hypothetical protein													
SL003_000222	scaffold_1:1385703-1386912	+	402	hypothetical protein													
SL003_000223	scaffold_1:1389260-1391302	+	236	hypothetical protein													
SL003_000224	scaffold_1:1392082-1396173	+	580	hypothetical protein													
SL003_000225	scaffold_1:1396940-1398243	-	265	hypothetical protein													
SL003_000226	scaffold_1:1398713-1402812	+	522	hypothetical protein													
SL003_000227	scaffold_1:1403059-1404797	-	387	hypothetical protein											GO:0003723 RNA binding; GO:0003676 nucleic acid binding		
